Created as New Dataset,ABS yellow
cm-1,%T
4000.00,99.26
3999.00,99.26
3998.00,99.26
3997.00,99.26
3996.00,99.26
3995.00,99.26
3994.00,99.26
3993.00,99.26
3992.00,99.26
3991.00,99.26
3990.00,99.26
3989.00,99.26
3988.00,99.26
3987.00,99.26
3986.00,99.26
3985.00,99.26
3984.00,99.26
3983.00,99.26
3982.00,99.26
3981.00,99.26
3980.00,99.26
3979.00,99.26
3978.00,99.26
3977.00,99.26
3976.00,99.26
3975.00,99.26
3974.00,99.26
3973.00,99.27
3972.00,99.27
3971.00,99.27
3970.00,99.26
3969.00,99.26
3968.00,99.26
3967.00,99.26
3966.00,99.26
3965.00,99.26
3964.00,99.26
3963.00,99.25
3962.00,99.25
3961.00,99.25
3960.00,99.25
3959.00,99.25
3958.00,99.26
3957.00,99.26
3956.00,99.26
3955.00,99.26
3954.00,99.26
3953.00,99.26
3952.00,99.26
3951.00,99.26
3950.00,99.26
3949.00,99.26
3948.00,99.26
3947.00,99.25
3946.00,99.25
3945.00,99.25
3944.00,99.25
3943.00,99.25
3942.00,99.25
3941.00,99.25
3940.00,99.25
3939.00,99.25
3938.00,99.25
3937.00,99.24
3936.00,99.24
3935.00,99.24
3934.00,99.24
3933.00,99.25
3932.00,99.25
3931.00,99.25
3930.00,99.25
3929.00,99.25
3928.00,99.25
3927.00,99.25
3926.00,99.25
3925.00,99.25
3924.00,99.25
3923.00,99.25
3922.00,99.25
3921.00,99.25
3920.00,99.25
3919.00,99.25
3918.00,99.25
3917.00,99.25
3916.00,99.25
3915.00,99.25
3914.00,99.25
3913.00,99.25
3912.00,99.25
3911.00,99.25
3910.00,99.24
3909.00,99.24
3908.00,99.24
3907.00,99.23
3906.00,99.23
3905.00,99.23
3904.00,99.24
3903.00,99.24
3902.00,99.24
3901.00,99.24
3900.00,99.24
3899.00,99.24
3898.00,99.25
3897.00,99.25
3896.00,99.25
3895.00,99.24
3894.00,99.24
3893.00,99.24
3892.00,99.24
3891.00,99.24
3890.00,99.24
3889.00,99.25
3888.00,99.25
3887.00,99.25
3886.00,99.25
3885.00,99.25
3884.00,99.24
3883.00,99.24
3882.00,99.24
3881.00,99.25
3880.00,99.25
3879.00,99.24
3878.00,99.24
3877.00,99.24
3876.00,99.24
3875.00,99.24
3874.00,99.23
3873.00,99.23
3872.00,99.22
3871.00,99.23
3870.00,99.23
3869.00,99.24
3868.00,99.23
3867.00,99.23
3866.00,99.23
3865.00,99.23
3864.00,99.23
3863.00,99.23
3862.00,99.23
3861.00,99.23
3860.00,99.23
3859.00,99.23
3858.00,99.23
3857.00,99.24
3856.00,99.25
3855.00,99.26
3854.00,99.27
3853.00,99.26
3852.00,99.26
3851.00,99.26
3850.00,99.26
3849.00,99.26
3848.00,99.25
3847.00,99.25
3846.00,99.24
3845.00,99.23
3844.00,99.23
3843.00,99.22
3842.00,99.22
3841.00,99.22
3840.00,99.22
3839.00,99.22
3838.00,99.22
3837.00,99.22
3836.00,99.23
3835.00,99.23
3834.00,99.23
3833.00,99.23
3832.00,99.22
3831.00,99.22
3830.00,99.22
3829.00,99.22
3828.00,99.22
3827.00,99.22
3826.00,99.22
3825.00,99.22
3824.00,99.22
3823.00,99.22
3822.00,99.23
3821.00,99.22
3820.00,99.22
3819.00,99.21
3818.00,99.22
3817.00,99.22
3816.00,99.22
3815.00,99.22
3814.00,99.22
3813.00,99.22
3812.00,99.22
3811.00,99.22
3810.00,99.22
3809.00,99.22
3808.00,99.21
3807.00,99.21
3806.00,99.21
3805.00,99.21
3804.00,99.21
3803.00,99.21
3802.00,99.22
3801.00,99.22
3800.00,99.22
3799.00,99.22
3798.00,99.22
3797.00,99.22
3796.00,99.22
3795.00,99.22
3794.00,99.21
3793.00,99.21
3792.00,99.21
3791.00,99.21
3790.00,99.21
3789.00,99.21
3788.00,99.21
3787.00,99.21
3786.00,99.21
3785.00,99.21
3784.00,99.21
3783.00,99.21
3782.00,99.20
3781.00,99.21
3780.00,99.21
3779.00,99.20
3778.00,99.20
3777.00,99.20
3776.00,99.20
3775.00,99.20
3774.00,99.20
3773.00,99.20
3772.00,99.20
3771.00,99.20
3770.00,99.21
3769.00,99.20
3768.00,99.20
3767.00,99.20
3766.00,99.20
3765.00,99.20
3764.00,99.20
3763.00,99.20
3762.00,99.19
3761.00,99.19
3760.00,99.19
3759.00,99.19
3758.00,99.19
3757.00,99.19
3756.00,99.19
3755.00,99.19
3754.00,99.19
3753.00,99.19
3752.00,99.19
3751.00,99.19
3750.00,99.19
3749.00,99.19
3748.00,99.20
3747.00,99.20
3746.00,99.20
3745.00,99.21
3744.00,99.21
3743.00,99.20
3742.00,99.20
3741.00,99.20
3740.00,99.19
3739.00,99.19
3738.00,99.19
3737.00,99.19
3736.00,99.19
3735.00,99.18
3734.00,99.18
3733.00,99.18
3732.00,99.18
3731.00,99.19
3730.00,99.19
3729.00,99.19
3728.00,99.18
3727.00,99.18
3726.00,99.17
3725.00,99.17
3724.00,99.16
3723.00,99.16
3722.00,99.16
3721.00,99.16
3720.00,99.17
3719.00,99.17
3718.00,99.18
3717.00,99.18
3716.00,99.18
3715.00,99.18
3714.00,99.19
3713.00,99.19
3712.00,99.19
3711.00,99.19
3710.00,99.19
3709.00,99.19
3708.00,99.19
3707.00,99.19
3706.00,99.19
3705.00,99.18
3704.00,99.18
3703.00,99.18
3702.00,99.18
3701.00,99.18
3700.00,99.18
3699.00,99.18
3698.00,99.18
3697.00,99.18
3696.00,99.17
3695.00,99.17
3694.00,99.17
3693.00,99.16
3692.00,99.16
3691.00,99.16
3690.00,99.17
3689.00,99.17
3688.00,99.18
3687.00,99.18
3686.00,99.18
3685.00,99.18
3684.00,99.17
3683.00,99.16
3682.00,99.15
3681.00,99.14
3680.00,99.14
3679.00,99.13
3678.00,99.13
3677.00,99.13
3676.00,99.13
3675.00,99.14
3674.00,99.13
3673.00,99.13
3672.00,99.13
3671.00,99.13
3670.00,99.13
3669.00,99.13
3668.00,99.12
3667.00,99.12
3666.00,99.11
3665.00,99.11
3664.00,99.10
3663.00,99.10
3662.00,99.10
3661.00,99.10
3660.00,99.10
3659.00,99.10
3658.00,99.11
3657.00,99.11
3656.00,99.10
3655.00,99.10
3654.00,99.09
3653.00,99.09
3652.00,99.09
3651.00,99.08
3650.00,99.08
3649.00,99.08
3648.00,99.08
3647.00,99.09
3646.00,99.09
3645.00,99.09
3644.00,99.09
3643.00,99.09
3642.00,99.10
3641.00,99.10
3640.00,99.10
3639.00,99.09
3638.00,99.09
3637.00,99.09
3636.00,99.10
3635.00,99.10
3634.00,99.10
3633.00,99.10
3632.00,99.10
3631.00,99.11
3630.00,99.12
3629.00,99.12
3628.00,99.12
3627.00,99.12
3626.00,99.13
3625.00,99.12
3624.00,99.12
3623.00,99.11
3622.00,99.11
3621.00,99.11
3620.00,99.11
3619.00,99.11
3618.00,99.12
3617.00,99.12
3616.00,99.13
3615.00,99.14
3614.00,99.14
3613.00,99.13
3612.00,99.13
3611.00,99.12
3610.00,99.12
3609.00,99.12
3608.00,99.13
3607.00,99.13
3606.00,99.14
3605.00,99.14
3604.00,99.14
3603.00,99.15
3602.00,99.15
3601.00,99.15
3600.00,99.14
3599.00,99.14
3598.00,99.14
3597.00,99.14
3596.00,99.14
3595.00,99.14
3594.00,99.14
3593.00,99.14
3592.00,99.14
3591.00,99.14
3590.00,99.14
3589.00,99.14
3588.00,99.14
3587.00,99.14
3586.00,99.13
3585.00,99.13
3584.00,99.13
3583.00,99.13
3582.00,99.14
3581.00,99.14
3580.00,99.14
3579.00,99.14
3578.00,99.14
3577.00,99.14
3576.00,99.13
3575.00,99.13
3574.00,99.13
3573.00,99.13
3572.00,99.12
3571.00,99.12
3570.00,99.12
3569.00,99.12
3568.00,99.11
3567.00,99.10
3566.00,99.10
3565.00,99.10
3564.00,99.10
3563.00,99.11
3562.00,99.12
3561.00,99.12
3560.00,99.12
3559.00,99.12
3558.00,99.12
3557.00,99.12
3556.00,99.11
3555.00,99.11
3554.00,99.11
3553.00,99.11
3552.00,99.10
3551.00,99.09
3550.00,99.09
3549.00,99.09
3548.00,99.09
3547.00,99.09
3546.00,99.09
3545.00,99.08
3544.00,99.08
3543.00,99.08
3542.00,99.09
3541.00,99.09
3540.00,99.09
3539.00,99.09
3538.00,99.09
3537.00,99.09
3536.00,99.09
3535.00,99.09
3534.00,99.09
3533.00,99.09
3532.00,99.09
3531.00,99.08
3530.00,99.08
3529.00,99.08
3528.00,99.09
3527.00,99.09
3526.00,99.09
3525.00,99.09
3524.00,99.09
3523.00,99.09
3522.00,99.09
3521.00,99.10
3520.00,99.10
3519.00,99.11
3518.00,99.11
3517.00,99.11
3516.00,99.11
3515.00,99.11
3514.00,99.10
3513.00,99.10
3512.00,99.10
3511.00,99.10
3510.00,99.11
3509.00,99.11
3508.00,99.11
3507.00,99.11
3506.00,99.11
3505.00,99.11
3504.00,99.11
3503.00,99.11
3502.00,99.11
3501.00,99.11
3500.00,99.11
3499.00,99.11
3498.00,99.12
3497.00,99.12
3496.00,99.12
3495.00,99.12
3494.00,99.12
3493.00,99.11
3492.00,99.11
