Created as New Dataset,EVA (25% vinyl acetate) Sigma
cm-1,%T
4000.00,99.80
3999.00,99.80
3998.00,99.79
3997.00,99.79
3996.00,99.79
3995.00,99.79
3994.00,99.79
3993.00,99.79
3992.00,99.79
3991.00,99.79
3990.00,99.79
3989.00,99.80
3988.00,99.80
3987.00,99.80
3986.00,99.79
3985.00,99.79
3984.00,99.79
3983.00,99.79
3982.00,99.79
3981.00,99.79
3980.00,99.79
3979.00,99.79
3978.00,99.79
3977.00,99.79
3976.00,99.79
3975.00,99.78
3974.00,99.78
3973.00,99.78
3972.00,99.78
3971.00,99.78
3970.00,99.79
3969.00,99.79
3968.00,99.80
3967.00,99.80
3966.00,99.79
3965.00,99.79
3964.00,99.79
3963.00,99.79
3962.00,99.79
3961.00,99.79
3960.00,99.79
3959.00,99.79
3958.00,99.80
3957.00,99.80
3956.00,99.80
3955.00,99.80
3954.00,99.80
3953.00,99.80
3952.00,99.80
3951.00,99.80
3950.00,99.80
3949.00,99.80
3948.00,99.79
3947.00,99.79
3946.00,99.80
3945.00,99.80
3944.00,99.80
3943.00,99.80
3942.00,99.80
3941.00,99.80
3940.00,99.80
3939.00,99.80
3938.00,99.80
3937.00,99.80
3936.00,99.80
3935.00,99.80
3934.00,99.80
3933.00,99.80
3932.00,99.80
3931.00,99.80
3930.00,99.80
3929.00,99.80
3928.00,99.80
3927.00,99.80
3926.00,99.80
3925.00,99.80
3924.00,99.79
3923.00,99.79
3922.00,99.79
3921.00,99.78
3920.00,99.78
3919.00,99.78
3918.00,99.79
3917.00,99.79
3916.00,99.79
3915.00,99.79
3914.00,99.80
3913.00,99.80
3912.00,99.80
3911.00,99.80
3910.00,99.80
3909.00,99.79
3908.00,99.79
3907.00,99.78
3906.00,99.78
3905.00,99.78
3904.00,99.78
3903.00,99.78
3902.00,99.78
3901.00,99.78
3900.00,99.78
3899.00,99.78
3898.00,99.79
3897.00,99.79
3896.00,99.79
3895.00,99.79
3894.00,99.79
3893.00,99.79
3892.00,99.79
3891.00,99.79
3890.00,99.79
3889.00,99.78
3888.00,99.78
3887.00,99.78
3886.00,99.79
3885.00,99.79
3884.00,99.79
3883.00,99.78
3882.00,99.78
3881.00,99.79
3880.00,99.79
3879.00,99.79
3878.00,99.79
3877.00,99.79
3876.00,99.79
3875.00,99.79
3874.00,99.79
