Created as New Dataset,EVA (ethylene vinyl acetate) GF
cm-1,%T
4000.00,97.91
3999.00,97.91
3998.00,97.91
3997.00,97.91
3996.00,97.91
3995.00,97.92
3994.00,97.92
3993.00,97.92
3992.00,97.92
3991.00,97.92
3990.00,97.92
3989.00,97.92
3988.00,97.92
3987.00,97.92
3986.00,97.92
3985.00,97.91
3984.00,97.92
3983.00,97.92
3982.00,97.92
3981.00,97.92
3980.00,97.92
3979.00,97.92
3978.00,97.92
3977.00,97.92
3976.00,97.92
3975.00,97.92
3974.00,97.92
3973.00,97.92
3972.00,97.92
3971.00,97.92
3970.00,97.92
3969.00,97.92
3968.00,97.92
3967.00,97.92
3966.00,97.92
3965.00,97.92
3964.00,97.92
3963.00,97.92
3962.00,97.92
3961.00,97.92
3960.00,97.92
3959.00,97.92
3958.00,97.92
3957.00,97.92
3956.00,97.92
3955.00,97.93
3954.00,97.93
3953.00,97.93
3952.00,97.93
3951.00,97.93
3950.00,97.93
3949.00,97.93
3948.00,97.93
3947.00,97.93
3946.00,97.93
3945.00,97.93
3944.00,97.93
3943.00,97.94
3942.00,97.94
3941.00,97.93
3940.00,97.93
3939.00,97.93
3938.00,97.93
3937.00,97.94
3936.00,97.94
3935.00,97.94
3934.00,97.93
3933.00,97.93
3932.00,97.93
3931.00,97.93
3930.00,97.93
3929.00,97.93
3928.00,97.93
3927.00,97.93
3926.00,97.93
3925.00,97.93
3924.00,97.94
3923.00,97.94
3922.00,97.93
3921.00,97.93
3920.00,97.93
3919.00,97.93
3918.00,97.93
3917.00,97.93
3916.00,97.93
3915.00,97.93
3914.00,97.92
3913.00,97.92
3912.00,97.92
3911.00,97.92
3910.00,97.93
3909.00,97.93
3908.00,97.94
3907.00,97.95
3906.00,97.95
3905.00,97.95
3904.00,97.96
3903.00,97.95
3902.00,97.95
3901.00,97.94
3900.00,97.93
3899.00,97.93
3898.00,97.93
3897.00,97.93
3896.00,97.93
3895.00,97.94
3894.00,97.94
3893.00,97.94
3892.00,97.94
3891.00,97.94
3890.00,97.95
3889.00,97.94
3888.00,97.94
3887.00,97.93
3886.00,97.93
3885.00,97.94
3884.00,97.95
3883.00,97.95
3882.00,97.94
3881.00,97.94
3880.00,97.94
3879.00,97.94
3878.00,97.94
3877.00,97.93
3876.00,97.93
3875.00,97.94
3874.00,97.95
3873.00,97.95
3872.00,97.95
3871.00,97.94
3870.00,97.94
3869.00,97.95
3868.00,97.96
3867.00,97.95
3866.00,97.94
3865.00,97.94
