Created as New Dataset,EVOH (32 mol% ethylene) Sigma
cm-1,%T
4000.00,99.65
3999.00,99.65
3998.00,99.65
3997.00,99.65
3996.00,99.65
3995.00,99.65
3994.00,99.65
3993.00,99.64
3992.00,99.64
3991.00,99.65
3990.00,99.65
3989.00,99.65
3988.00,99.65
3987.00,99.65
3986.00,99.65
3985.00,99.65
3984.00,99.65
3983.00,99.65
3982.00,99.65
3981.00,99.65
3980.00,99.65
3979.00,99.65
3978.00,99.65
3977.00,99.65
3976.00,99.65
3975.00,99.65
3974.00,99.65
3973.00,99.65
3972.00,99.65
3971.00,99.65
3970.00,99.65
3969.00,99.65
3968.00,99.65
3967.00,99.65
3966.00,99.65
3965.00,99.65
3964.00,99.65
3963.00,99.65
3962.00,99.65
3961.00,99.65
3960.00,99.65
3959.00,99.65
3958.00,99.65
3957.00,99.65
3956.00,99.65
3955.00,99.65
3954.00,99.65
3953.00,99.65
3952.00,99.65
3951.00,99.65
3950.00,99.65
3949.00,99.65
3948.00,99.65
3947.00,99.65
3946.00,99.65
3945.00,99.65
3944.00,99.65
3943.00,99.65
3942.00,99.65
3941.00,99.66
3940.00,99.66
3939.00,99.65
3938.00,99.65
3937.00,99.65
3936.00,99.65
3935.00,99.65
3934.00,99.65
3933.00,99.65
3932.00,99.65
3931.00,99.65
3930.00,99.65
3929.00,99.65
3928.00,99.65
3927.00,99.65
3926.00,99.65
3925.00,99.65
3924.00,99.65
3923.00,99.65
3922.00,99.65
3921.00,99.65
3920.00,99.65
3919.00,99.65
3918.00,99.65
3917.00,99.65
3916.00,99.65
3915.00,99.65
3914.00,99.65
3913.00,99.65
3912.00,99.65
3911.00,99.65
3910.00,99.66
3909.00,99.66
3908.00,99.65
3907.00,99.65
3906.00,99.65
3905.00,99.64
3904.00,99.64
3903.00,99.64
3902.00,99.64
3901.00,99.63
3900.00,99.63
3899.00,99.64
3898.00,99.64
3897.00,99.65
3896.00,99.65
3895.00,99.65
3894.00,99.65
3893.00,99.65
3892.00,99.65
3891.00,99.65
3890.00,99.65
3889.00,99.65
3888.00,99.65
3887.00,99.65
3886.00,99.65
3885.00,99.65
3884.00,99.65
3883.00,99.64
3882.00,99.64
3881.00,99.63
3880.00,99.64
3879.00,99.64
3878.00,99.64
3877.00,99.64
3876.00,99.64
3875.00,99.64
3874.00,99.64
3873.00,99.64
3872.00,99.64
3871.00,99.64
3870.00,99.64
3869.00,99.65
3868.00,99.65
3867.00,99.65
3866.00,99.64
3865.00,99.64
3864.00,99.64
