Created as New Dataset,EVOH (32mol% ethylene) Soarnol
cm-1,%T
4000.00,98.17
3999.00,98.17
3998.00,98.17
3997.00,98.17
3996.00,98.17
3995.00,98.17
3994.00,98.17
3993.00,98.17
3992.00,98.17
3991.00,98.17
3990.00,98.17
3989.00,98.17
3988.00,98.18
3987.00,98.18
3986.00,98.18
3985.00,98.18
3984.00,98.18
3983.00,98.18
3982.00,98.18
3981.00,98.18
3980.00,98.18
3979.00,98.18
3978.00,98.18
3977.00,98.18
3976.00,98.18
3975.00,98.18
3974.00,98.18
3973.00,98.18
3972.00,98.18
3971.00,98.18
3970.00,98.18
3969.00,98.18
3968.00,98.19
3967.00,98.19
3966.00,98.19
3965.00,98.19
3964.00,98.19
3963.00,98.19
3962.00,98.19
3961.00,98.19
3960.00,98.18
3959.00,98.18
3958.00,98.18
3957.00,98.18
3956.00,98.19
3955.00,98.19
3954.00,98.19
3953.00,98.19
3952.00,98.19
3951.00,98.19
3950.00,98.19
3949.00,98.18
3948.00,98.18
3947.00,98.18
3946.00,98.18
3945.00,98.18
3944.00,98.19
3943.00,98.19
3942.00,98.19
3941.00,98.19
3940.00,98.18
3939.00,98.18
3938.00,98.18
3937.00,98.18
3936.00,98.18
3935.00,98.18
3934.00,98.18
3933.00,98.19
3932.00,98.19
3931.00,98.19
3930.00,98.19
3929.00,98.19
3928.00,98.18
3927.00,98.18
3926.00,98.18
3925.00,98.19
3924.00,98.19
3923.00,98.19
3922.00,98.19
3921.00,98.19
3920.00,98.20
3919.00,98.20
3918.00,98.20
3917.00,98.20
3916.00,98.20
3915.00,98.20
3914.00,98.20
3913.00,98.20
3912.00,98.20
3911.00,98.20
3910.00,98.19
3909.00,98.19
3908.00,98.19
3907.00,98.19
3906.00,98.19
3905.00,98.19
3904.00,98.19
3903.00,98.19
3902.00,98.19
3901.00,98.20
3900.00,98.20
3899.00,98.20
3898.00,98.20
3897.00,98.19
3896.00,98.19
3895.00,98.19
3894.00,98.19
3893.00,98.19
3892.00,98.19
3891.00,98.20
3890.00,98.20
3889.00,98.19
3888.00,98.19
3887.00,98.18
3886.00,98.18
3885.00,98.18
3884.00,98.19
3883.00,98.19
3882.00,98.19
3881.00,98.19
