Created as New Dataset,Nylon (6) GF
cm-1,%T
4000.00,99.66
3999.00,99.66
3998.00,99.67
3997.00,99.67
3996.00,99.68
3995.00,99.68
3994.00,99.68
3993.00,99.69
3992.00,99.69
3991.00,99.69
3990.00,99.69
3989.00,99.69
3988.00,99.69
3987.00,99.69
3986.00,99.69
3985.00,99.69
3984.00,99.69
3983.00,99.69
3982.00,99.69
3981.00,99.69
3980.00,99.70
3979.00,99.70
3978.00,99.70
3977.00,99.70
3976.00,99.70
3975.00,99.70
3974.00,99.71
3973.00,99.71
3972.00,99.71
3971.00,99.71
3970.00,99.71
3969.00,99.71
3968.00,99.71
3967.00,99.71
3966.00,99.71
3965.00,99.71
3964.00,99.72
3963.00,99.72
3962.00,99.72
3961.00,99.72
3960.00,99.72
3959.00,99.71
3958.00,99.71
3957.00,99.71
3956.00,99.71
3955.00,99.71
3954.00,99.71
3953.00,99.71
3952.00,99.71
3951.00,99.72
3950.00,99.72
3949.00,99.72
3948.00,99.72
3947.00,99.72
3946.00,99.73
3945.00,99.73
3944.00,99.73
3943.00,99.73
3942.00,99.73
3941.00,99.73
3940.00,99.73
3939.00,99.73
3938.00,99.73
3937.00,99.73
3936.00,99.73
3935.00,99.73
3934.00,99.73
3933.00,99.73
3932.00,99.73
3931.00,99.73
3930.00,99.73
3929.00,99.74
3928.00,99.74
3927.00,99.74
3926.00,99.75
3925.00,99.75
3924.00,99.75
3923.00,99.74
3922.00,99.74
3921.00,99.74
3920.00,99.74
3919.00,99.75
3918.00,99.75
3917.00,99.75
3916.00,99.75
3915.00,99.75
3914.00,99.75
3913.00,99.75
3912.00,99.75
3911.00,99.75
3910.00,99.75
3909.00,99.75
3908.00,99.75
3907.00,99.75
3906.00,99.75
3905.00,99.75
3904.00,99.76
3903.00,99.76
3902.00,99.76
3901.00,99.76
3900.00,99.76
3899.00,99.77
3898.00,99.77
3897.00,99.77
3896.00,99.77
3895.00,99.76
3894.00,99.77
3893.00,99.77
3892.00,99.77
3891.00,99.77
3890.00,99.78
3889.00,99.77
3888.00,99.77
3887.00,99.76
3886.00,99.76
3885.00,99.76
3884.00,99.76
3883.00,99.77
3882.00,99.77
3881.00,99.77
3880.00,99.77
3879.00,99.77
3878.00,99.77
3877.00,99.77
3876.00,99.77
3875.00,99.77
3874.00,99.77
3873.00,99.77
3872.00,99.77
3871.00,99.77
3870.00,99.77
3869.00,99.77
3868.00,99.77
3867.00,99.77
3866.00,99.77
3865.00,99.77
3864.00,99.77
3863.00,99.77
3862.00,99.77
3861.00,99.76
3860.00,99.76
3859.00,99.76
3858.00,99.76
3857.00,99.76
3856.00,99.76
3855.00,99.76
3854.00,99.76
3853.00,99.77
3852.00,99.78
3851.00,99.78
3850.00,99.77
3849.00,99.76
3848.00,99.75
3847.00,99.75
3846.00,99.75
3845.00,99.75
3844.00,99.76
3843.00,99.76
3842.00,99.76
3841.00,99.77
3840.00,99.77
3839.00,99.77
3838.00,99.77
3837.00,99.77
3836.00,99.77
3835.00,99.77
3834.00,99.77
3833.00,99.76
3832.00,99.76
3831.00,99.76
3830.00,99.76
3829.00,99.75
3828.00,99.75
3827.00,99.75
3826.00,99.75
3825.00,99.75
3824.00,99.75
3823.00,99.75
3822.00,99.75
3821.00,99.76
3820.00,99.76
3819.00,99.77
3818.00,99.77
3817.00,99.77
3816.00,99.77
3815.00,99.77
3814.00,99.77
3813.00,99.77
3812.00,99.76
3811.00,99.76
3810.00,99.76
3809.00,99.76
3808.00,99.76
3807.00,99.76
3806.00,99.76
3805.00,99.76
3804.00,99.76
3803.00,99.76
3802.00,99.76
3801.00,99.77
3800.00,99.77
3799.00,99.77
3798.00,99.77
3797.00,99.76
3796.00,99.75
3795.00,99.75
3794.00,99.75
3793.00,99.75
3792.00,99.75
3791.00,99.75
3790.00,99.75
3789.00,99.75
3788.00,99.75
3787.00,99.75
3786.00,99.75
3785.00,99.75
3784.00,99.75
3783.00,99.75
3782.00,99.74
3781.00,99.74
3780.00,99.74
3779.00,99.74
3778.00,99.74
3777.00,99.75
3776.00,99.75
3775.00,99.74
3774.00,99.74
3773.00,99.74
3772.00,99.73
3771.00,99.73
3770.00,99.74
3769.00,99.74
3768.00,99.75
3767.00,99.74
3766.00,99.74
3765.00,99.73
3764.00,99.73
3763.00,99.73
3762.00,99.73
3761.00,99.73
3760.00,99.73
3759.00,99.73
3758.00,99.73
3757.00,99.73
3756.00,99.73
3755.00,99.73
3754.00,99.73
3753.00,99.73
3752.00,99.74
3751.00,99.74
3750.00,99.74
3749.00,99.74
3748.00,99.74
3747.00,99.74
3746.00,99.74
3745.00,99.74
3744.00,99.74
3743.00,99.74
3742.00,99.74
3741.00,99.73
3740.00,99.72
3739.00,99.72
3738.00,99.72
3737.00,99.73
3736.00,99.73
3735.00,99.74
3734.00,99.74
3733.00,99.74
3732.00,99.74
3731.00,99.74
3730.00,99.74
3729.00,99.74
3728.00,99.73
3727.00,99.73
3726.00,99.73
3725.00,99.73
3724.00,99.73
3723.00,99.73
3722.00,99.72
3721.00,99.72
3720.00,99.72
3719.00,99.71
3718.00,99.71
3717.00,99.70
3716.00,99.70
3715.00,99.71
3714.00,99.71
3713.00,99.72
3712.00,99.72
3711.00,99.72
3710.00,99.72
3709.00,99.71
3708.00,99.71
3707.00,99.71
3706.00,99.71
3705.00,99.70
3704.00,99.70
3703.00,99.70
3702.00,99.69
3701.00,99.69
3700.00,99.69
3699.00,99.69
3698.00,99.69
3697.00,99.69
3696.00,99.69
3695.00,99.69
3694.00,99.68
3693.00,99.67
3692.00,99.67
3691.00,99.66
3690.00,99.66
3689.00,99.66
3688.00,99.66
3687.00,99.65
3686.00,99.63
3685.00,99.61
3684.00,99.59
3683.00,99.57
3682.00,99.56
3681.00,99.55
3680.00,99.54
3679.00,99.53
3678.00,99.53
3677.00,99.52
3676.00,99.51
3675.00,99.51
3674.00,99.51
3673.00,99.51
3672.00,99.50
3671.00,99.49
3670.00,99.49
3669.00,99.49
3668.00,99.49
3667.00,99.48
3666.00,99.48
3665.00,99.47
3664.00,99.46
3663.00,99.46
3662.00,99.46
3661.00,99.45
3660.00,99.44
3659.00,99.44
3658.00,99.43
3657.00,99.42
3656.00,99.41
3655.00,99.40
3654.00,99.40
3653.00,99.39
3652.00,99.38
3651.00,99.37
3650.00,99.37
3649.00,99.36
3648.00,99.36
3647.00,99.35
3646.00,99.34
3645.00,99.33
3644.00,99.32
3643.00,99.31
3642.00,99.30
3641.00,99.28
3640.00,99.27
3639.00,99.25
3638.00,99.24
3637.00,99.23
3636.00,99.22
3635.00,99.21
3634.00,99.20
3633.00,99.19
3632.00,99.18
3631.00,99.17
3630.00,99.15
3629.00,99.14
3628.00,99.13
3627.00,99.12
3626.00,99.10
3625.00,99.09
3624.00,99.07
3623.00,99.06
3622.00,99.04
3621.00,99.03
3620.00,99.01
3619.00,98.99
3618.00,98.98
3617.00,98.97
3616.00,98.96
3615.00,98.94
3614.00,98.93
3613.00,98.91
3612.00,98.89
3611.00,98.88
3610.00,98.86
3609.00,98.84
3608.00,98.82
3607.00,98.80
3606.00,98.78
3605.00,98.76
3604.00,98.75
3603.00,98.73
3602.00,98.71
3601.00,98.69
3600.00,98.67
3599.00,98.65
3598.00,98.63
3597.00,98.62
3596.00,98.60
3595.00,98.58
3594.00,98.56
3593.00,98.53
3592.00,98.52
3591.00,98.50
3590.00,98.48
3589.00,98.46
3588.00,98.43
3587.00,98.41
3586.00,98.38
3585.00,98.36
3584.00,98.34
3583.00,98.32
3582.00,98.29
3581.00,98.27
3580.00,98.24
3579.00,98.21
3578.00,98.19
3577.00,98.16
3576.00,98.14
3575.00,98.11
3574.00,98.09
3573.00,98.06
3572.00,98.04
3571.00,98.02
3570.00,97.99
3569.00,97.97
3568.00,97.93
3567.00,97.90
3566.00,97.86
3565.00,97.83
3564.00,97.80
3563.00,97.77
3562.00,97.74
3561.00,97.71
3560.00,97.68
3559.00,97.65
3558.00,97.62
3557.00,97.59
3556.00,97.56
3555.00,97.53
3554.00,97.49
3553.00,97.46
3552.00,97.43
3551.00,97.40
3550.00,97.37
3549.00,97.34
3548.00,97.31
3547.00,97.27
3546.00,97.23
3545.00,97.19
3544.00,97.15
3543.00,97.12
3542.00,97.09
3541.00,97.05
3540.00,97.02
3539.00,96.99
3538.00,96.95
3537.00,96.91
3536.00,96.87
3535.00,96.84
3534.00,96.80
3533.00,96.77
3532.00,96.73
3531.00,96.70
3530.00,96.66
3529.00,96.62
3528.00,96.59
3527.00,96.55
3526.00,96.52
3525.00,96.48
3524.00,96.44
3523.00,96.41
3522.00,96.37
3521.00,96.34
3520.00,96.31
3519.00,96.28
3518.00,96.24
3517.00,96.21
3516.00,96.17
3515.00,96.14
3514.00,96.10
3513.00,96.07
3512.00,96.04
3511.00,96.01
3510.00,95.98
3509.00,95.96
3508.00,95.93
3507.00,95.90
3506.00,95.87
3505.00,95.84
3504.00,95.81
3503.00,95.79
3502.00,95.76
3501.00,95.74
3500.00,95.71
3499.00,95.69
3498.00,95.67
3497.00,95.64
3496.00,95.62
3495.00,95.61
3494.00,95.59
3493.00,95.57
3492.00,95.56
3491.00,95.54
3490.00,95.53
3489.00,95.51
3488.00,95.49
3487.00,95.48
3486.00,95.46
3485.00,95.44
3484.00,95.43
3483.00,95.42
3482.00,95.40
3481.00,95.39
3480.00,95.38
3479.00,95.37
3478.00,95.37
3477.00,95.36
3476.00,95.35
3475.00,95.34
3474.00,95.33
3473.00,95.31
3472.00,95.30
3471.00,95.29
3470.00,95.28
3469.00,95.26
3468.00,95.25
3467.00,95.24
3466.00,95.22
3465.00,95.21
3464.00,95.20
3463.00,95.19
3462.00,95.18
3461.00,95.17
3460.00,95.16
3459.00,95.15
3458.00,95.13
3457.00,95.12
3456.00,95.11
3455.00,95.10
3454.00,95.08
3453.00,95.07
3452.00,95.06
3451.00,95.04
3450.00,95.03
3449.00,95.02
3448.00,95.01
3447.00,95.01
3446.00,95.00
3445.00,94.99
3444.00,94.98
3443.00,94.97
3442.00,94.95
3441.00,94.94
3440.00,94.93
3439.00,94.92
3438.00,94.90
3437.00,94.89
3436.00,94.88
3435.00,94.87
3434.00,94.85
3433.00,94.84
3432.00,94.83
3431.00,94.81
3430.00,94.80
3429.00,94.78
3428.00,94.76
3427.00,94.75
3426.00,94.73
3425.00,94.71
3424.00,94.70
3423.00,94.68
3422.00,94.66
3421.00,94.64
3420.00,94.63
3419.00,94.61
3418.00,94.59
3417.00,94.57
3416.00,94.54
3415.00,94.52
3414.00,94.50
3413.00,94.48
3412.00,94.46
3411.00,94.44
3410.00,94.42
3409.00,94.39
3408.00,94.37
3407.00,94.34
3406.00,94.32
3405.00,94.30
3404.00,94.27
3403.00,94.24
3402.00,94.21
3401.00,94.18
3400.00,94.15
