Created as New Dataset,Nylon (6,6) GF
cm-1,%T
4000.00,98.25
3999.00,98.25
3998.00,98.25
3997.00,98.25
3996.00,98.25
3995.00,98.25
3994.00,98.26
3993.00,98.26
3992.00,98.27
3991.00,98.27
3990.00,98.27
3989.00,98.27
3988.00,98.27
3987.00,98.27
3986.00,98.27
3985.00,98.27
3984.00,98.28
3983.00,98.28
3982.00,98.28
3981.00,98.28
3980.00,98.29
3979.00,98.28
3978.00,98.28
3977.00,98.29
3976.00,98.29
3975.00,98.29
3974.00,98.29
3973.00,98.30
3972.00,98.30
3971.00,98.30
3970.00,98.31
3969.00,98.31
3968.00,98.31
3967.00,98.31
3966.00,98.31
3965.00,98.31
3964.00,98.31
3963.00,98.32
3962.00,98.32
3961.00,98.32
3960.00,98.32
3959.00,98.32
3958.00,98.32
3957.00,98.32
3956.00,98.32
3955.00,98.32
3954.00,98.32
3953.00,98.32
3952.00,98.32
3951.00,98.32
3950.00,98.32
3949.00,98.32
3948.00,98.32
3947.00,98.33
3946.00,98.33
3945.00,98.33
3944.00,98.33
3943.00,98.33
3942.00,98.33
3941.00,98.34
3940.00,98.34
3939.00,98.34
3938.00,98.34
3937.00,98.34
3936.00,98.34
3935.00,98.34
3934.00,98.34
3933.00,98.34
3932.00,98.34
3931.00,98.33
3930.00,98.33
3929.00,98.33
3928.00,98.33
3927.00,98.33
3926.00,98.33
3925.00,98.33
3924.00,98.34
3923.00,98.34
3922.00,98.33
3921.00,98.33
3920.00,98.34
3919.00,98.34
3918.00,98.34
3917.00,98.34
3916.00,98.34
3915.00,98.34
3914.00,98.34
3913.00,98.35
3912.00,98.35
3911.00,98.35
3910.00,98.35
3909.00,98.35
3908.00,98.35
3907.00,98.34
3906.00,98.34
3905.00,98.34
3904.00,98.34
3903.00,98.34
3902.00,98.34
3901.00,98.34
3900.00,98.34
3899.00,98.34
3898.00,98.34
3897.00,98.34
3896.00,98.34
3895.00,98.34
3894.00,98.34
3893.00,98.35
3892.00,98.35
3891.00,98.35
3890.00,98.35
3889.00,98.35
3888.00,98.34
3887.00,98.34
3886.00,98.34
3885.00,98.34
3884.00,98.34
3883.00,98.34
3882.00,98.34
3881.00,98.34
3880.00,98.35
3879.00,98.35
3878.00,98.35
3877.00,98.35
3876.00,98.35
3875.00,98.35
3874.00,98.35
3873.00,98.35
3872.00,98.35
3871.00,98.35
3870.00,98.35
3869.00,98.36
3868.00,98.36
3867.00,98.35
3866.00,98.35
3865.00,98.35
3864.00,98.35
3863.00,98.35
3862.00,98.35
3861.00,98.34
3860.00,98.34
3859.00,98.34
3858.00,98.34
3857.00,98.34
3856.00,98.34
3855.00,98.34
3854.00,98.34
3853.00,98.34
3852.00,98.34
3851.00,98.34
3850.00,98.34
3849.00,98.34
3848.00,98.34
3847.00,98.34
3846.00,98.34
3845.00,98.34
3844.00,98.33
3843.00,98.33
3842.00,98.33
3841.00,98.33
3840.00,98.33
3839.00,98.33
3838.00,98.32
3837.00,98.32
3836.00,98.33
3835.00,98.33
3834.00,98.33
3833.00,98.34
3832.00,98.34
3831.00,98.34
3830.00,98.34
3829.00,98.34
3828.00,98.34
3827.00,98.34
3826.00,98.34
3825.00,98.33
3824.00,98.33
3823.00,98.33
3822.00,98.33
3821.00,98.33
3820.00,98.33
3819.00,98.32
3818.00,98.32
3817.00,98.32
3816.00,98.32
3815.00,98.33
3814.00,98.33
3813.00,98.33
3812.00,98.33
3811.00,98.33
3810.00,98.33
3809.00,98.33
3808.00,98.33
3807.00,98.33
3806.00,98.32
3805.00,98.32
3804.00,98.32
3803.00,98.32
3802.00,98.32
3801.00,98.33
3800.00,98.32
3799.00,98.32
3798.00,98.32
3797.00,98.33
3796.00,98.33
3795.00,98.33
3794.00,98.33
3793.00,98.33
3792.00,98.33
3791.00,98.33
3790.00,98.33
3789.00,98.34
3788.00,98.34
3787.00,98.34
3786.00,98.34
3785.00,98.34
3784.00,98.34
3783.00,98.34
3782.00,98.34
3781.00,98.33
3780.00,98.33
3779.00,98.33
3778.00,98.34
3777.00,98.34
3776.00,98.34
3775.00,98.34
3774.00,98.34
3773.00,98.33
3772.00,98.33
3771.00,98.33
3770.00,98.33
3769.00,98.33
3768.00,98.33
3767.00,98.33
3766.00,98.33
3765.00,98.33
3764.00,98.33
3763.00,98.33
3762.00,98.33
3761.00,98.33
3760.00,98.32
3759.00,98.32
3758.00,98.32
3757.00,98.31
3756.00,98.31
3755.00,98.31
3754.00,98.31
3753.00,98.31
3752.00,98.30
3751.00,98.31
3750.00,98.31
3749.00,98.31
3748.00,98.31
3747.00,98.32
3746.00,98.32
3745.00,98.32
3744.00,98.32
3743.00,98.32
3742.00,98.31
3741.00,98.31
3740.00,98.31
3739.00,98.31
3738.00,98.31
3737.00,98.31
3736.00,98.31
3735.00,98.31
3734.00,98.31
3733.00,98.31
3732.00,98.31
3731.00,98.31
3730.00,98.31
3729.00,98.32
3728.00,98.32
3727.00,98.32
3726.00,98.32
3725.00,98.32
3724.00,98.32
3723.00,98.32
3722.00,98.32
3721.00,98.32
3720.00,98.32
3719.00,98.32
3718.00,98.32
3717.00,98.32
3716.00,98.32
3715.00,98.32
3714.00,98.33
3713.00,98.33
3712.00,98.33
3711.00,98.33
3710.00,98.32
3709.00,98.31
3708.00,98.31
3707.00,98.32
3706.00,98.32
3705.00,98.32
3704.00,98.32
3703.00,98.32
3702.00,98.32
3701.00,98.32
3700.00,98.31
3699.00,98.31
3698.00,98.31
3697.00,98.30
3696.00,98.30
3695.00,98.30
3694.00,98.29
3693.00,98.29
3692.00,98.29
3691.00,98.29
3690.00,98.28
3689.00,98.28
3688.00,98.27
3687.00,98.26
3686.00,98.26
3685.00,98.25
3684.00,98.25
3683.00,98.24
3682.00,98.24
3681.00,98.23
3680.00,98.22
3679.00,98.21
3678.00,98.20
3677.00,98.19
3676.00,98.18
3675.00,98.18
3674.00,98.18
3673.00,98.17
3672.00,98.17
3671.00,98.17
3670.00,98.17
3669.00,98.17
3668.00,98.17
3667.00,98.17
3666.00,98.17
3665.00,98.17
3664.00,98.17
3663.00,98.17
3662.00,98.16
3661.00,98.16
3660.00,98.15
3659.00,98.14
3658.00,98.14
3657.00,98.13
3656.00,98.13
3655.00,98.12
3654.00,98.12
3653.00,98.11
3652.00,98.11
3651.00,98.10
3650.00,98.09
3649.00,98.08
3648.00,98.07
3647.00,98.08
3646.00,98.08
3645.00,98.08
3644.00,98.07
3643.00,98.07
3642.00,98.06
3641.00,98.06
3640.00,98.05
3639.00,98.04
3638.00,98.04
3637.00,98.03
3636.00,98.02
3635.00,98.02
3634.00,98.01
3633.00,98.00
3632.00,97.99
3631.00,97.98
3630.00,97.98
3629.00,97.96
3628.00,97.95
3627.00,97.95
3626.00,97.94
3625.00,97.93
3624.00,97.93
3623.00,97.92
3622.00,97.91
3621.00,97.90
3620.00,97.89
3619.00,97.87
3618.00,97.86
3617.00,97.85
3616.00,97.84
3615.00,97.83
3614.00,97.82
3613.00,97.81
3612.00,97.80
3611.00,97.79
3610.00,97.78
3609.00,97.78
3608.00,97.77
3607.00,97.76
3606.00,97.74
3605.00,97.73
3604.00,97.72
3603.00,97.71
3602.00,97.71
3601.00,97.69
3600.00,97.68
3599.00,97.67
3598.00,97.66
3597.00,97.65
3596.00,97.64
3595.00,97.63
3594.00,97.61
3593.00,97.60
3592.00,97.58
3591.00,97.57
3590.00,97.55
3589.00,97.53
3588.00,97.52
3587.00,97.51
3586.00,97.50
3585.00,97.49
3584.00,97.47
3583.00,97.46
3582.00,97.45
3581.00,97.43
3580.00,97.42
3579.00,97.40
3578.00,97.39
3577.00,97.38
3576.00,97.36
3575.00,97.35
3574.00,97.33
3573.00,97.32
3572.00,97.30
3571.00,97.29
3570.00,97.27
3569.00,97.26
3568.00,97.23
3567.00,97.21
3566.00,97.19
3565.00,97.18
3564.00,97.16
3563.00,97.14
3562.00,97.13
3561.00,97.11
3560.00,97.10
3559.00,97.08
3558.00,97.06
3557.00,97.04
3556.00,97.02
3555.00,97.01
3554.00,96.99
3553.00,96.97
3552.00,96.95
3551.00,96.93
3550.00,96.92
3549.00,96.90
3548.00,96.89
3547.00,96.87
3546.00,96.85
3545.00,96.83
3544.00,96.81
3543.00,96.79
3542.00,96.77
3541.00,96.75
3540.00,96.73
3539.00,96.72
3538.00,96.70
3537.00,96.68
3536.00,96.65
3535.00,96.63
3534.00,96.61
3533.00,96.59
3532.00,96.57
3531.00,96.56
3530.00,96.54
3529.00,96.51
3528.00,96.49
3527.00,96.47
3526.00,96.45
3525.00,96.43
3524.00,96.42
3523.00,96.40
3522.00,96.38
3521.00,96.35
3520.00,96.33
3519.00,96.31
3518.00,96.29
3517.00,96.28
3516.00,96.26
3515.00,96.25
3514.00,96.23
3513.00,96.21
3512.00,96.19
3511.00,96.17
3510.00,96.15
3509.00,96.14
3508.00,96.12
3507.00,96.11
3506.00,96.09
3505.00,96.08
3504.00,96.06
3503.00,96.05
3502.00,96.03
3501.00,96.02
3500.00,96.01
3499.00,95.99
3498.00,95.98
3497.00,95.96
3496.00,95.94
3495.00,95.93
3494.00,95.92
3493.00,95.91
3492.00,95.90
3491.00,95.88
3490.00,95.87
3489.00,95.86
3488.00,95.84
3487.00,95.83
3486.00,95.82
3485.00,95.81
3484.00,95.80
3483.00,95.80
3482.00,95.79
3481.00,95.79
3480.00,95.78
3479.00,95.77
3478.00,95.76
3477.00,95.75
3476.00,95.74
3475.00,95.73
3474.00,95.72
3473.00,95.72
3472.00,95.71
3471.00,95.70
3470.00,95.70
3469.00,95.69
3468.00,95.68
3467.00,95.67
3466.00,95.67
3465.00,95.66
3464.00,95.64
3463.00,95.63
3462.00,95.62
3461.00,95.61
3460.00,95.61
3459.00,95.60
3458.00,95.59
3457.00,95.58
3456.00,95.57
3455.00,95.56
3454.00,95.55
3453.00,95.54
3452.00,95.53
3451.00,95.52
3450.00,95.50
3449.00,95.49
3448.00,95.49
3447.00,95.48
3446.00,95.47
3445.00,95.46
3444.00,95.44
3443.00,95.43
3442.00,95.43
3441.00,95.42
3440.00,95.41
3439.00,95.40
3438.00,95.39
3437.00,95.37
3436.00,95.36
3435.00,95.35
3434.00,95.34
3433.00,95.33
3432.00,95.32
3431.00,95.30
3430.00,95.29
3429.00,95.27
3428.00,95.26
3427.00,95.24
3426.00,95.22
3425.00,95.20
3424.00,95.19
3423.00,95.17
3422.00,95.16
3421.00,95.15
3420.00,95.13
3419.00,95.11
3418.00,95.09
3417.00,95.08
3416.00,95.05
3415.00,95.03
3414.00,95.01
3413.00,94.99
3412.00,94.97
3411.00,94.95
3410.00,94.92
3409.00,94.90
3408.00,94.87
3407.00,94.85
3406.00,94.83
3405.00,94.80
3404.00,94.78
3403.00,94.75
3402.00,94.72
3401.00,94.69
3400.00,94.66
3399.00,94.62
3398.00,94.59
3397.00,94.56
3396.00,94.53
3395.00,94.50
3394.00,94.46
3393.00,94.42
3392.00,94.39
3391.00,94.35
3390.00,94.31
3389.00,94.27
3388.00,94.22
3387.00,94.18
3386.00,94.14
3385.00,94.09
3384.00,94.05
3383.00,94.01
3382.00,93.96
3381.00,93.91
3380.00,93.86
3379.00,93.80
3378.00,93.75
3377.00,93.70
3376.00,93.64
3375.00,93.59
3374.00,93.53
3373.00,93.47
3372.00,93.41
3371.00,93.35
3370.00,93.28
3369.00,93.21
3368.00,93.14
3367.00,93.06
3366.00,92.98
3365.00,92.90
3364.00,92.82
3363.00,92.73
3362.00,92.64
3361.00,92.54
3360.00,92.44
3359.00,92.34
3358.00,92.24
3357.00,92.12
3356.00,92.00
3355.00,91.88
