Created as New Dataset,PAN 230kDa GF
cm-1,%T
4000.00,99.31
3999.00,99.31
3998.00,99.32
3997.00,99.32
3996.00,99.32
3995.00,99.32
3994.00,99.32
3993.00,99.32
3992.00,99.32
3991.00,99.32
3990.00,99.32
3989.00,99.32
3988.00,99.32
3987.00,99.32
3986.00,99.32
3985.00,99.32
3984.00,99.32
3983.00,99.32
3982.00,99.32
3981.00,99.32
3980.00,99.32
3979.00,99.32
3978.00,99.32
3977.00,99.32
3976.00,99.32
3975.00,99.32
3974.00,99.31
3973.00,99.31
3972.00,99.31
3971.00,99.31
3970.00,99.32
3969.00,99.32
3968.00,99.32
3967.00,99.32
3966.00,99.32
3965.00,99.31
3964.00,99.31
3963.00,99.31
3962.00,99.31
3961.00,99.31
3960.00,99.31
3959.00,99.31
3958.00,99.31
3957.00,99.31
3956.00,99.31
3955.00,99.32
3954.00,99.32
3953.00,99.32
3952.00,99.32
3951.00,99.31
3950.00,99.31
3949.00,99.31
3948.00,99.31
3947.00,99.31
3946.00,99.31
3945.00,99.30
3944.00,99.30
3943.00,99.30
3942.00,99.31
3941.00,99.31
3940.00,99.31
3939.00,99.31
3938.00,99.31
3937.00,99.31
3936.00,99.31
3935.00,99.31
3934.00,99.31
3933.00,99.31
3932.00,99.30
3931.00,99.30
3930.00,99.30
3929.00,99.30
3928.00,99.31
3927.00,99.31
3926.00,99.31
3925.00,99.31
3924.00,99.31
3923.00,99.31
3922.00,99.31
3921.00,99.31
3920.00,99.31
3919.00,99.30
3918.00,99.30
3917.00,99.30
3916.00,99.30
3915.00,99.30
3914.00,99.30
3913.00,99.30
3912.00,99.30
3911.00,99.29
3910.00,99.30
3909.00,99.30
3908.00,99.31
3907.00,99.31
3906.00,99.31
3905.00,99.31
3904.00,99.31
3903.00,99.31
3902.00,99.31
3901.00,99.30
3900.00,99.30
3899.00,99.30
3898.00,99.29
3897.00,99.29
3896.00,99.29
3895.00,99.29
3894.00,99.29
3893.00,99.30
3892.00,99.30
3891.00,99.29
3890.00,99.29
3889.00,99.29
3888.00,99.28
3887.00,99.28
3886.00,99.29
3885.00,99.29
3884.00,99.29
3883.00,99.29
3882.00,99.29
3881.00,99.29
3880.00,99.29
3879.00,99.29
3878.00,99.29
3877.00,99.29
3876.00,99.28
3875.00,99.28
3874.00,99.28
3873.00,99.29
3872.00,99.28
3871.00,99.28
3870.00,99.28
3869.00,99.28
3868.00,99.28
3867.00,99.28
3866.00,99.28
3865.00,99.28
3864.00,99.28
3863.00,99.28
3862.00,99.28
3861.00,99.27
3860.00,99.28
3859.00,99.28
3858.00,99.28
3857.00,99.28
3856.00,99.28
3855.00,99.27
3854.00,99.27
3853.00,99.26
3852.00,99.26
3851.00,99.26
3850.00,99.26
3849.00,99.26
3848.00,99.26
3847.00,99.26
3846.00,99.27
3845.00,99.27
3844.00,99.26
3843.00,99.26
3842.00,99.26
3841.00,99.26
3840.00,99.26
3839.00,99.25
3838.00,99.25
3837.00,99.25
3836.00,99.25
3835.00,99.25
3834.00,99.25
3833.00,99.25
3832.00,99.25
3831.00,99.25
3830.00,99.25
3829.00,99.25
3828.00,99.25
3827.00,99.25
3826.00,99.25
3825.00,99.25
3824.00,99.25
3823.00,99.24
3822.00,99.24
3821.00,99.24
3820.00,99.24
3819.00,99.24
3818.00,99.24
3817.00,99.24
3816.00,99.24
3815.00,99.24
3814.00,99.24
3813.00,99.24
3812.00,99.24
3811.00,99.24
3810.00,99.24
3809.00,99.24
3808.00,99.24
3807.00,99.24
3806.00,99.24
3805.00,99.23
3804.00,99.23
3803.00,99.23
3802.00,99.23
3801.00,99.23
3800.00,99.23
3799.00,99.23
3798.00,99.22
3797.00,99.22
3796.00,99.23
3795.00,99.23
3794.00,99.23
3793.00,99.23
3792.00,99.23
3791.00,99.23
3790.00,99.23
3789.00,99.23
3788.00,99.23
3787.00,99.23
3786.00,99.23
3785.00,99.23
3784.00,99.23
3783.00,99.22
3782.00,99.22
3781.00,99.22
3780.00,99.22
3779.00,99.22
3778.00,99.21
3777.00,99.21
3776.00,99.21
3775.00,99.22
3774.00,99.22
3773.00,99.22
3772.00,99.22
3771.00,99.21
3770.00,99.21
3769.00,99.21
3768.00,99.21
3767.00,99.21
3766.00,99.21
3765.00,99.21
3764.00,99.21
3763.00,99.20
3762.00,99.20
3761.00,99.20
3760.00,99.20
3759.00,99.21
3758.00,99.21
3757.00,99.20
3756.00,99.20
3755.00,99.19
3754.00,99.19
3753.00,99.19
3752.00,99.19
3751.00,99.19
3750.00,99.18
3749.00,99.18
3748.00,99.17
3747.00,99.17
3746.00,99.17
3745.00,99.18
3744.00,99.18
3743.00,99.18
3742.00,99.17
3741.00,99.16
3740.00,99.16
3739.00,99.16
3738.00,99.16
3737.00,99.17
3736.00,99.18
3735.00,99.19
3734.00,99.20
3733.00,99.20
3732.00,99.21
3731.00,99.21
3730.00,99.22
3729.00,99.21
3728.00,99.21
3727.00,99.21
3726.00,99.20
3725.00,99.20
3724.00,99.20
3723.00,99.20
3722.00,99.20
3721.00,99.19
3720.00,99.19
3719.00,99.19
3718.00,99.19
3717.00,99.18
3716.00,99.18
3715.00,99.18
3714.00,99.18
3713.00,99.18
3712.00,99.18
3711.00,99.18
3710.00,99.18
3709.00,99.18
3708.00,99.18
3707.00,99.18
3706.00,99.18
3705.00,99.18
3704.00,99.18
3703.00,99.19
3702.00,99.19
3701.00,99.19
3700.00,99.18
3699.00,99.18
3698.00,99.18
3697.00,99.18
3696.00,99.18
3695.00,99.18
3694.00,99.17
3693.00,99.17
3692.00,99.16
3691.00,99.15
3690.00,99.14
3689.00,99.14
3688.00,99.13
3687.00,99.13
3686.00,99.13
3685.00,99.12
3684.00,99.12
3683.00,99.11
3682.00,99.11
3681.00,99.10
3680.00,99.09
3679.00,99.08
3678.00,99.08
3677.00,99.07
3676.00,99.05
3675.00,99.04
3674.00,99.04
3673.00,99.02
3672.00,99.01
3671.00,99.00
3670.00,98.99
3669.00,98.97
3668.00,98.96
3667.00,98.95
3666.00,98.94
3665.00,98.93
3664.00,98.91
3663.00,98.90
3662.00,98.88
3661.00,98.87
3660.00,98.86
3659.00,98.84
3658.00,98.83
