Created as New Dataset,PC (polycarbonate) GF
cm-1,%T
4000.00,99.81
3999.00,99.81
3998.00,99.81
3997.00,99.81
3996.00,99.81
3995.00,99.81
3994.00,99.81
3993.00,99.81
3992.00,99.81
3991.00,99.81
3990.00,99.80
3989.00,99.80
3988.00,99.80
3987.00,99.80
3986.00,99.80
3985.00,99.80
3984.00,99.80
3983.00,99.81
3982.00,99.81
3981.00,99.81
3980.00,99.81
3979.00,99.81
3978.00,99.81
3977.00,99.81
3976.00,99.82
3975.00,99.82
3974.00,99.82
3973.00,99.82
3972.00,99.82
3971.00,99.82
3970.00,99.83
3969.00,99.83
3968.00,99.83
3967.00,99.83
3966.00,99.83
3965.00,99.83
3964.00,99.83
3963.00,99.83
3962.00,99.83
3961.00,99.83
3960.00,99.83
3959.00,99.83
3958.00,99.82
3957.00,99.82
3956.00,99.82
3955.00,99.82
3954.00,99.82
3953.00,99.82
3952.00,99.82
3951.00,99.82
3950.00,99.82
3949.00,99.82
3948.00,99.81
3947.00,99.81
3946.00,99.81
3945.00,99.81
3944.00,99.82
3943.00,99.82
3942.00,99.82
3941.00,99.82
3940.00,99.82
3939.00,99.82
3938.00,99.81
3937.00,99.81
3936.00,99.81
3935.00,99.81
3934.00,99.81
3933.00,99.81
3932.00,99.81
3931.00,99.81
3930.00,99.81
3929.00,99.81
3928.00,99.81
3927.00,99.81
3926.00,99.81
3925.00,99.81
3924.00,99.81
3923.00,99.81
3922.00,99.81
3921.00,99.80
3920.00,99.80
3919.00,99.80
3918.00,99.80
3917.00,99.80
3916.00,99.80
3915.00,99.80
3914.00,99.80
3913.00,99.80
3912.00,99.80
3911.00,99.80
3910.00,99.80
3909.00,99.80
3908.00,99.80
3907.00,99.80
3906.00,99.79
3905.00,99.79
3904.00,99.78
3903.00,99.78
3902.00,99.77
3901.00,99.77
3900.00,99.77
3899.00,99.78
3898.00,99.78
3897.00,99.78
3896.00,99.78
3895.00,99.77
3894.00,99.77
3893.00,99.77
3892.00,99.77
3891.00,99.77
3890.00,99.77
3889.00,99.76
3888.00,99.76
3887.00,99.76
3886.00,99.76
3885.00,99.76
3884.00,99.76
3883.00,99.75
3882.00,99.75
3881.00,99.76
3880.00,99.76
3879.00,99.77
3878.00,99.77
3877.00,99.77
3876.00,99.77
3875.00,99.77
3874.00,99.78
3873.00,99.78
3872.00,99.78
3871.00,99.78
3870.00,99.78
3869.00,99.79
3868.00,99.79
3867.00,99.79
3866.00,99.80
3865.00,99.80
3864.00,99.80
3863.00,99.80
3862.00,99.80
3861.00,99.80
3860.00,99.81
3859.00,99.81
3858.00,99.81
3857.00,99.80
3856.00,99.80
3855.00,99.80
3854.00,99.81
3853.00,99.81
3852.00,99.81
3851.00,99.81
3850.00,99.82
3849.00,99.82
3848.00,99.83
3847.00,99.83
3846.00,99.83
3845.00,99.83
3844.00,99.84
3843.00,99.84
3842.00,99.84
3841.00,99.84
3840.00,99.84
3839.00,99.83
3838.00,99.83
3837.00,99.83
3836.00,99.83
3835.00,99.82
3834.00,99.83
3833.00,99.83
3832.00,99.83
3831.00,99.83
3830.00,99.83
3829.00,99.82
3828.00,99.83
3827.00,99.83
3826.00,99.84
3825.00,99.84
3824.00,99.83
3823.00,99.83
3822.00,99.83
3821.00,99.83
3820.00,99.83
3819.00,99.82
3818.00,99.82
3817.00,99.82
3816.00,99.82
3815.00,99.82
3814.00,99.82
3813.00,99.82
3812.00,99.82
3811.00,99.82
3810.00,99.82
3809.00,99.82
3808.00,99.83
3807.00,99.83
3806.00,99.83
3805.00,99.82
3804.00,99.82
3803.00,99.82
3802.00,99.82
3801.00,99.83
3800.00,99.82
3799.00,99.82
3798.00,99.82
3797.00,99.82
3796.00,99.83
3795.00,99.83
3794.00,99.83
3793.00,99.83
3792.00,99.83
3791.00,99.83
3790.00,99.83
3789.00,99.84
3788.00,99.83
3787.00,99.83
3786.00,99.83
3785.00,99.83
3784.00,99.83
3783.00,99.83
3782.00,99.83
3781.00,99.83
3780.00,99.83
3779.00,99.83
3778.00,99.83
3777.00,99.83
3776.00,99.82
3775.00,99.82
3774.00,99.82
3773.00,99.81
3772.00,99.81
3771.00,99.81
3770.00,99.81
3769.00,99.81
3768.00,99.81
3767.00,99.81
3766.00,99.81
3765.00,99.81
3764.00,99.81
3763.00,99.80
3762.00,99.79
3761.00,99.79
3760.00,99.79
3759.00,99.80
3758.00,99.80
3757.00,99.79
3756.00,99.79
3755.00,99.79
3754.00,99.79
3753.00,99.79
3752.00,99.78
3751.00,99.77
3750.00,99.76
3749.00,99.75
3748.00,99.74
3747.00,99.74
3746.00,99.74
3745.00,99.75
3744.00,99.75
3743.00,99.76
3742.00,99.76
3741.00,99.76
3740.00,99.77
3739.00,99.77
3738.00,99.77
3737.00,99.77
3736.00,99.77
3735.00,99.77
3734.00,99.77
3733.00,99.77
3732.00,99.77
3731.00,99.77
3730.00,99.77
3729.00,99.77
3728.00,99.77
3727.00,99.78
3726.00,99.78
3725.00,99.78
3724.00,99.78
3723.00,99.78
