Created as New Dataset,PE pellet 124kDa Alfa Aesar
cm-1,%T
4000.00,99.72
3999.00,99.72
3998.00,99.73
3997.00,99.73
3996.00,99.72
3995.00,99.72
3994.00,99.72
3993.00,99.72
3992.00,99.72
3991.00,99.71
3990.00,99.71
3989.00,99.71
3988.00,99.71
3987.00,99.71
3986.00,99.71
3985.00,99.71
3984.00,99.71
3983.00,99.71
3982.00,99.70
3981.00,99.70
3980.00,99.70
3979.00,99.70
3978.00,99.70
3977.00,99.70
3976.00,99.70
3975.00,99.70
3974.00,99.70
3973.00,99.70
3972.00,99.70
3971.00,99.70
3970.00,99.70
3969.00,99.71
3968.00,99.71
3967.00,99.71
3966.00,99.71
3965.00,99.71
3964.00,99.72
3963.00,99.72
3962.00,99.72
3961.00,99.72
3960.00,99.72
3959.00,99.72
3958.00,99.72
3957.00,99.71
3956.00,99.71
3955.00,99.71
3954.00,99.72
3953.00,99.72
3952.00,99.72
3951.00,99.71
3950.00,99.71
3949.00,99.70
3948.00,99.70
3947.00,99.70
3946.00,99.70
3945.00,99.70
3944.00,99.70
3943.00,99.70
3942.00,99.70
3941.00,99.71
3940.00,99.71
3939.00,99.71
3938.00,99.71
3937.00,99.71
3936.00,99.71
3935.00,99.71
3934.00,99.71
3933.00,99.70
3932.00,99.70
3931.00,99.70
3930.00,99.70
3929.00,99.69
3928.00,99.69
3927.00,99.69
3926.00,99.69
3925.00,99.69
3924.00,99.69
3923.00,99.69
3922.00,99.69
3921.00,99.68
3920.00,99.68
3919.00,99.68
3918.00,99.68
3917.00,99.68
3916.00,99.69
3915.00,99.69
3914.00,99.69
3913.00,99.69
3912.00,99.69
3911.00,99.69
3910.00,99.69
3909.00,99.69
3908.00,99.69
3907.00,99.69
3906.00,99.69
3905.00,99.69
3904.00,99.69
3903.00,99.68
3902.00,99.68
3901.00,99.68
3900.00,99.68
3899.00,99.68
3898.00,99.69
3897.00,99.69
3896.00,99.69
3895.00,99.69
3894.00,99.68
3893.00,99.68
3892.00,99.68
3891.00,99.68
3890.00,99.68
3889.00,99.68
3888.00,99.68
3887.00,99.68
3886.00,99.68
3885.00,99.68
3884.00,99.68
3883.00,99.68
3882.00,99.68
3881.00,99.68
3880.00,99.68
3879.00,99.68
3878.00,99.68
3877.00,99.68
3876.00,99.68
3875.00,99.68
3874.00,99.68
3873.00,99.68
3872.00,99.68
3871.00,99.68
3870.00,99.69
3869.00,99.69
3868.00,99.69
3867.00,99.69
3866.00,99.69
3865.00,99.70
3864.00,99.70
3863.00,99.70
3862.00,99.70
3861.00,99.70
3860.00,99.70
3859.00,99.70
3858.00,99.70
3857.00,99.70
3856.00,99.70
3855.00,99.70
3854.00,99.70
3853.00,99.70
3852.00,99.70
3851.00,99.70
3850.00,99.70
3849.00,99.71
3848.00,99.71
3847.00,99.71
3846.00,99.71
3845.00,99.71
3844.00,99.71
3843.00,99.71
3842.00,99.71
3841.00,99.70
3840.00,99.70
3839.00,99.70
3838.00,99.70
3837.00,99.70
3836.00,99.70
3835.00,99.70
3834.00,99.70
3833.00,99.70
3832.00,99.70
3831.00,99.69
3830.00,99.69
3829.00,99.69
3828.00,99.69
3827.00,99.70
3826.00,99.70
3825.00,99.69
3824.00,99.69
3823.00,99.68
3822.00,99.68
3821.00,99.68
3820.00,99.68
3819.00,99.68
3818.00,99.68
3817.00,99.68
3816.00,99.68
3815.00,99.69
3814.00,99.69
3813.00,99.69
3812.00,99.69
3811.00,99.69
3810.00,99.70
3809.00,99.70
3808.00,99.71
3807.00,99.71
3806.00,99.71
3805.00,99.71
3804.00,99.71
3803.00,99.71
3802.00,99.71
3801.00,99.72
3800.00,99.72
3799.00,99.72
3798.00,99.71
3797.00,99.72
3796.00,99.72
3795.00,99.72
3794.00,99.72
3793.00,99.71
3792.00,99.71
3791.00,99.71
3790.00,99.72
3789.00,99.72
3788.00,99.72
3787.00,99.72
3786.00,99.72
3785.00,99.72
3784.00,99.72
3783.00,99.72
3782.00,99.72
3781.00,99.72
3780.00,99.72
3779.00,99.71
3778.00,99.71
3777.00,99.71
3776.00,99.72
3775.00,99.72
3774.00,99.72
3773.00,99.72
3772.00,99.72
3771.00,99.72
3770.00,99.72
3769.00,99.72
3768.00,99.71
3767.00,99.71
3766.00,99.71
3765.00,99.71
3764.00,99.71
3763.00,99.71
3762.00,99.71
3761.00,99.71
3760.00,99.72
3759.00,99.72
3758.00,99.72
3757.00,99.71
3756.00,99.71
3755.00,99.71
3754.00,99.71
3753.00,99.71
3752.00,99.71
3751.00,99.71
3750.00,99.71
3749.00,99.71
3748.00,99.72
3747.00,99.72
3746.00,99.71
3745.00,99.71
3744.00,99.71
3743.00,99.71
3742.00,99.71
3741.00,99.71
3740.00,99.71
3739.00,99.71
3738.00,99.71
3737.00,99.71
3736.00,99.71
3735.00,99.71
3734.00,99.71
3733.00,99.71
3732.00,99.71
3731.00,99.71
3730.00,99.71
3729.00,99.71
3728.00,99.71
3727.00,99.71
3726.00,99.71
3725.00,99.71
3724.00,99.71
3723.00,99.71
3722.00,99.71
3721.00,99.72
3720.00,99.72
3719.00,99.72
3718.00,99.72
3717.00,99.72
3716.00,99.72
3715.00,99.72
3714.00,99.71
3713.00,99.71
3712.00,99.71
3711.00,99.72
3710.00,99.72
3709.00,99.72
3708.00,99.72
3707.00,99.72
3706.00,99.72
3705.00,99.72
3704.00,99.72
3703.00,99.71
3702.00,99.71
3701.00,99.72
3700.00,99.72
3699.00,99.72
3698.00,99.72
3697.00,99.72
3696.00,99.72
3695.00,99.72
3694.00,99.72
3693.00,99.72
3692.00,99.72
