Created as New Dataset,PE (high density) granule GF
cm-1,%T
4000.00,99.77
3999.00,99.77
3998.00,99.78
3997.00,99.78
3996.00,99.78
3995.00,99.78
3994.00,99.78
3993.00,99.78
3992.00,99.77
3991.00,99.77
3990.00,99.77
3989.00,99.78
3988.00,99.78
3987.00,99.78
3986.00,99.78
3985.00,99.78
3984.00,99.78
3983.00,99.77
3982.00,99.77
3981.00,99.76
3980.00,99.76
3979.00,99.76
3978.00,99.76
3977.00,99.76
3976.00,99.76
3975.00,99.76
3974.00,99.76
3973.00,99.76
3972.00,99.76
3971.00,99.76
3970.00,99.77
3969.00,99.77
3968.00,99.77
3967.00,99.77
3966.00,99.77
3965.00,99.78
3964.00,99.78
3963.00,99.78
3962.00,99.78
3961.00,99.78
3960.00,99.77
3959.00,99.77
3958.00,99.77
3957.00,99.77
3956.00,99.77
3955.00,99.77
3954.00,99.78
3953.00,99.78
3952.00,99.77
3951.00,99.77
3950.00,99.77
3949.00,99.77
3948.00,99.77
3947.00,99.76
3946.00,99.76
3945.00,99.76
3944.00,99.76
3943.00,99.76
3942.00,99.77
3941.00,99.77
3940.00,99.77
3939.00,99.77
3938.00,99.77
3937.00,99.76
3936.00,99.76
3935.00,99.76
3934.00,99.76
3933.00,99.76
3932.00,99.76
3931.00,99.76
3930.00,99.75
3929.00,99.75
3928.00,99.75
3927.00,99.75
3926.00,99.75
3925.00,99.75
3924.00,99.75
3923.00,99.75
3922.00,99.75
3921.00,99.75
3920.00,99.75
3919.00,99.75
3918.00,99.75
3917.00,99.75
3916.00,99.75
3915.00,99.75
3914.00,99.75
3913.00,99.75
3912.00,99.74
3911.00,99.74
3910.00,99.74
3909.00,99.74
3908.00,99.75
3907.00,99.75
3906.00,99.75
3905.00,99.75
3904.00,99.75
3903.00,99.75
3902.00,99.74
3901.00,99.74
3900.00,99.74
3899.00,99.74
3898.00,99.74
3897.00,99.74
3896.00,99.74
3895.00,99.74
3894.00,99.74
3893.00,99.74
3892.00,99.74
3891.00,99.74
3890.00,99.74
3889.00,99.74
3888.00,99.74
3887.00,99.74
3886.00,99.74
3885.00,99.74
3884.00,99.75
3883.00,99.74
3882.00,99.73
3881.00,99.73
3880.00,99.73
3879.00,99.74
3878.00,99.74
3877.00,99.74
3876.00,99.74
3875.00,99.74
3874.00,99.74
3873.00,99.74
3872.00,99.74
3871.00,99.74
3870.00,99.74
3869.00,99.75
3868.00,99.75
3867.00,99.74
3866.00,99.74
3865.00,99.75
3864.00,99.76
3863.00,99.76
3862.00,99.76
3861.00,99.76
3860.00,99.76
3859.00,99.76
3858.00,99.77
3857.00,99.77
3856.00,99.77
3855.00,99.77
3854.00,99.77
3853.00,99.77
3852.00,99.77
3851.00,99.76
3850.00,99.76
3849.00,99.76
3848.00,99.76
3847.00,99.76
3846.00,99.76
3845.00,99.76
3844.00,99.76
3843.00,99.77
3842.00,99.77
3841.00,99.77
3840.00,99.76
3839.00,99.76
3838.00,99.76
3837.00,99.76
3836.00,99.76
3835.00,99.75
3834.00,99.75
3833.00,99.75
3832.00,99.75
3831.00,99.75
3830.00,99.75
3829.00,99.75
3828.00,99.75
3827.00,99.75
3826.00,99.75
3825.00,99.75
3824.00,99.74
3823.00,99.74
3822.00,99.74
3821.00,99.74
3820.00,99.74
3819.00,99.74
3818.00,99.74
3817.00,99.74
3816.00,99.74
3815.00,99.75
3814.00,99.75
3813.00,99.74
3812.00,99.74
3811.00,99.74
3810.00,99.75
3809.00,99.75
3808.00,99.75
3807.00,99.75
3806.00,99.76
3805.00,99.76
3804.00,99.76
3803.00,99.76
3802.00,99.76
3801.00,99.76
3800.00,99.77
3799.00,99.77
3798.00,99.77
3797.00,99.77
3796.00,99.77
3795.00,99.77
3794.00,99.77
3793.00,99.77
3792.00,99.77
3791.00,99.77
3790.00,99.78
3789.00,99.78
3788.00,99.78
3787.00,99.78
3786.00,99.77
3785.00,99.77
3784.00,99.77
3783.00,99.77
3782.00,99.77
3781.00,99.77
3780.00,99.77
3779.00,99.77
3778.00,99.77
3777.00,99.77
3776.00,99.77
3775.00,99.77
3774.00,99.77
3773.00,99.77
3772.00,99.77
3771.00,99.77
3770.00,99.77
3769.00,99.77
3768.00,99.77
3767.00,99.77
3766.00,99.77
3765.00,99.77
3764.00,99.78
3763.00,99.78
3762.00,99.78
3761.00,99.77
3760.00,99.77
3759.00,99.77
3758.00,99.77
3757.00,99.77
3756.00,99.77
3755.00,99.77
3754.00,99.77
3753.00,99.77
3752.00,99.77
3751.00,99.76
3750.00,99.76
3749.00,99.76
3748.00,99.76
3747.00,99.76
3746.00,99.76
3745.00,99.76
3744.00,99.77
3743.00,99.77
3742.00,99.77
3741.00,99.76
3740.00,99.76
3739.00,99.76
3738.00,99.76
3737.00,99.76
3736.00,99.76
3735.00,99.76
3734.00,99.75
3733.00,99.75
3732.00,99.75
3731.00,99.76
3730.00,99.76
3729.00,99.76
3728.00,99.77
3727.00,99.77
3726.00,99.78
3725.00,99.78
3724.00,99.78
3723.00,99.78
3722.00,99.78
3721.00,99.78
3720.00,99.78
3719.00,99.78
3718.00,99.78
3717.00,99.78
3716.00,99.78
3715.00,99.77
3714.00,99.77
3713.00,99.77
3712.00,99.77
3711.00,99.77
3710.00,99.77
3709.00,99.77
3708.00,99.76
3707.00,99.76
3706.00,99.76
3705.00,99.76
3704.00,99.76
3703.00,99.76
3702.00,99.75
3701.00,99.76
3700.00,99.76
3699.00,99.76
3698.00,99.76
3697.00,99.76
3696.00,99.77
3695.00,99.77
3694.00,99.77
3693.00,99.77
3692.00,99.77
3691.00,99.77
3690.00,99.77
3689.00,99.76
3688.00,99.76
3687.00,99.76
3686.00,99.76
3685.00,99.76
3684.00,99.77
3683.00,99.77
3682.00,99.77
3681.00,99.77
3680.00,99.77
3679.00,99.77
3678.00,99.77
3677.00,99.76
3676.00,99.76
3675.00,99.77
3674.00,99.77
3673.00,99.76
3672.00,99.76
3671.00,99.75
3670.00,99.75
3669.00,99.75
3668.00,99.75
3667.00,99.75
3666.00,99.75
3665.00,99.75
3664.00,99.76
3663.00,99.76
3662.00,99.76
3661.00,99.76
3660.00,99.75
3659.00,99.75
3658.00,99.74
3657.00,99.74
3656.00,99.74
3655.00,99.74
3654.00,99.74
3653.00,99.73
3652.00,99.73
3651.00,99.73
3650.00,99.73
3649.00,99.72
3648.00,99.72
3647.00,99.72
3646.00,99.72
3645.00,99.72
3644.00,99.73
3643.00,99.73
3642.00,99.73
3641.00,99.73
3640.00,99.73
3639.00,99.73
3638.00,99.73
3637.00,99.73
3636.00,99.73
3635.00,99.73
3634.00,99.74
3633.00,99.74
3632.00,99.74
3631.00,99.73
3630.00,99.73
3629.00,99.72
3628.00,99.72
3627.00,99.72
3626.00,99.72
3625.00,99.72
3624.00,99.71
3623.00,99.71
3622.00,99.70
3621.00,99.70
3620.00,99.69
3619.00,99.69
3618.00,99.68
3617.00,99.68
3616.00,99.67
3615.00,99.66
3614.00,99.64
3613.00,99.63
3612.00,99.61
3611.00,99.59
3610.00,99.57
3609.00,99.56
3608.00,99.56
3607.00,99.55
3606.00,99.55
3605.00,99.55
3604.00,99.56
3603.00,99.57
3602.00,99.58
3601.00,99.60
3600.00,99.62
3599.00,99.64
3598.00,99.65
3597.00,99.67
3596.00,99.68
3595.00,99.70
3594.00,99.71
3593.00,99.72
3592.00,99.73
3591.00,99.74
3590.00,99.74
3589.00,99.74
3588.00,99.74
3587.00,99.74
3586.00,99.75
3585.00,99.75
3584.00,99.75
3583.00,99.75
3582.00,99.76
3581.00,99.76
3580.00,99.76
3579.00,99.77
3578.00,99.77
3577.00,99.77
3576.00,99.78
3575.00,99.78
3574.00,99.78
3573.00,99.78
3572.00,99.78
3571.00,99.78
3570.00,99.78
3569.00,99.77
3568.00,99.77
3567.00,99.78
3566.00,99.78
3565.00,99.78
3564.00,99.78
3563.00,99.78
3562.00,99.78
3561.00,99.78
3560.00,99.78
3559.00,99.79
3558.00,99.79
3557.00,99.79
3556.00,99.79
3555.00,99.79
3554.00,99.78
3553.00,99.78
3552.00,99.78
3551.00,99.78
3550.00,99.78
3549.00,99.78
3548.00,99.78
3547.00,99.78
3546.00,99.77
3545.00,99.77
3544.00,99.77
3543.00,99.77
3542.00,99.78
3541.00,99.78
3540.00,99.78
3539.00,99.78
3538.00,99.78
3537.00,99.77
3536.00,99.77
3535.00,99.77
3534.00,99.77
3533.00,99.77
3532.00,99.77
3531.00,99.77
3530.00,99.77
3529.00,99.77
3528.00,99.77
3527.00,99.77
3526.00,99.77
3525.00,99.77
3524.00,99.77
3523.00,99.77
3522.00,99.77
3521.00,99.77
3520.00,99.77
3519.00,99.77
3518.00,99.77
3517.00,99.77
3516.00,99.77
3515.00,99.77
3514.00,99.77
3513.00,99.77
3512.00,99.77
3511.00,99.77
3510.00,99.77
3509.00,99.76
3508.00,99.76
3507.00,99.76
3506.00,99.76
3505.00,99.76
3504.00,99.76
3503.00,99.76
3502.00,99.76
3501.00,99.76
3500.00,99.76
3499.00,99.76
3498.00,99.76
3497.00,99.76
3496.00,99.76
3495.00,99.76
3494.00,99.76
3493.00,99.75
3492.00,99.75
3491.00,99.75
3490.00,99.75
3489.00,99.75
3488.00,99.76
3487.00,99.76
3486.00,99.76
3485.00,99.76
3484.00,99.76
3483.00,99.76
3482.00,99.76
3481.00,99.75
3480.00,99.75
3479.00,99.75
3478.00,99.75
3477.00,99.75
3476.00,99.75
3475.00,99.75
3474.00,99.75
3473.00,99.75
3472.00,99.76
3471.00,99.76
3470.00,99.75
3469.00,99.75
3468.00,99.75
3467.00,99.74
3466.00,99.74
3465.00,99.74
3464.00,99.74
3463.00,99.75
3462.00,99.75
3461.00,99.75
3460.00,99.75
3459.00,99.75
3458.00,99.75
3457.00,99.75
3456.00,99.75
3455.00,99.74
3454.00,99.74
3453.00,99.73
3452.00,99.73
3451.00,99.73
3450.00,99.74
3449.00,99.74
3448.00,99.74
3447.00,99.74
3446.00,99.73
3445.00,99.73
3444.00,99.72
3443.00,99.72
3442.00,99.72
3441.00,99.72
3440.00,99.72
3439.00,99.72
3438.00,99.72
3437.00,99.72
3436.00,99.72
3435.00,99.72
3434.00,99.72
3433.00,99.72
3432.00,99.72
3431.00,99.72
3430.00,99.72
3429.00,99.72
3428.00,99.72
3427.00,99.72
3426.00,99.72
3425.00,99.72
3424.00,99.72
3423.00,99.72
3422.00,99.72
3421.00,99.72
3420.00,99.72
3419.00,99.72
3418.00,99.71
3417.00,99.71
3416.00,99.71
3415.00,99.71
3414.00,99.71
3413.00,99.71
3412.00,99.71
3411.00,99.71
