Created as New Dataset,PE (high density) granule 5mm GF
cm-1,%T
4000.00,99.29
3999.00,99.29
3998.00,99.28
3997.00,99.28
3996.00,99.28
3995.00,99.28
3994.00,99.29
3993.00,99.29
3992.00,99.29
3991.00,99.28
3990.00,99.28
3989.00,99.28
3988.00,99.28
3987.00,99.28
3986.00,99.27
3985.00,99.27
3984.00,99.27
3983.00,99.27
3982.00,99.27
3981.00,99.27
3980.00,99.27
3979.00,99.27
3978.00,99.27
3977.00,99.27
3976.00,99.27
3975.00,99.27
3974.00,99.27
3973.00,99.28
3972.00,99.27
3971.00,99.27
3970.00,99.27
3969.00,99.27
3968.00,99.27
3967.00,99.27
3966.00,99.27
3965.00,99.27
3964.00,99.28
3963.00,99.28
3962.00,99.28
3961.00,99.28
3960.00,99.28
3959.00,99.28
3958.00,99.28
3957.00,99.28
3956.00,99.28
3955.00,99.27
3954.00,99.27
3953.00,99.27
3952.00,99.27
3951.00,99.27
3950.00,99.27
3949.00,99.27
3948.00,99.27
3947.00,99.27
3946.00,99.27
3945.00,99.27
3944.00,99.27
3943.00,99.27
3942.00,99.27
3941.00,99.27
3940.00,99.27
3939.00,99.27
3938.00,99.27
3937.00,99.27
3936.00,99.26
3935.00,99.26
3934.00,99.26
3933.00,99.26
3932.00,99.26
3931.00,99.26
3930.00,99.26
3929.00,99.26
3928.00,99.26
3927.00,99.26
3926.00,99.26
3925.00,99.26
3924.00,99.25
3923.00,99.25
3922.00,99.25
3921.00,99.25
3920.00,99.25
3919.00,99.25
3918.00,99.25
3917.00,99.25
3916.00,99.25
3915.00,99.25
3914.00,99.25
3913.00,99.25
3912.00,99.25
3911.00,99.25
3910.00,99.25
3909.00,99.25
3908.00,99.25
3907.00,99.25
3906.00,99.25
3905.00,99.25
3904.00,99.25
3903.00,99.25
3902.00,99.25
3901.00,99.24
3900.00,99.24
3899.00,99.24
3898.00,99.24
3897.00,99.24
3896.00,99.24
3895.00,99.24
3894.00,99.24
3893.00,99.24
3892.00,99.24
3891.00,99.24
3890.00,99.24
3889.00,99.24
3888.00,99.24
3887.00,99.24
3886.00,99.24
3885.00,99.24
3884.00,99.24
3883.00,99.24
3882.00,99.24
3881.00,99.24
3880.00,99.24
3879.00,99.24
3878.00,99.24
3877.00,99.24
3876.00,99.24
3875.00,99.24
3874.00,99.24
3873.00,99.24
3872.00,99.25
3871.00,99.24
3870.00,99.24
3869.00,99.24
3868.00,99.24
3867.00,99.24
3866.00,99.24
3865.00,99.24
3864.00,99.24
3863.00,99.24
3862.00,99.24
3861.00,99.24
3860.00,99.24
3859.00,99.24
3858.00,99.24
3857.00,99.24
3856.00,99.25
3855.00,99.25
3854.00,99.26
3853.00,99.25
3852.00,99.26
3851.00,99.26
3850.00,99.26
3849.00,99.25
3848.00,99.25
3847.00,99.25
3846.00,99.25
3845.00,99.25
3844.00,99.25
3843.00,99.25
3842.00,99.25
3841.00,99.25
3840.00,99.25
3839.00,99.24
3838.00,99.24
3837.00,99.24
3836.00,99.24
3835.00,99.24
3834.00,99.24
3833.00,99.23
3832.00,99.23
3831.00,99.23
3830.00,99.24
3829.00,99.24
3828.00,99.24
3827.00,99.23
3826.00,99.23
3825.00,99.23
3824.00,99.23
3823.00,99.23
3822.00,99.23
3821.00,99.23
3820.00,99.23
3819.00,99.23
3818.00,99.23
3817.00,99.23
3816.00,99.23
3815.00,99.23
3814.00,99.24
3813.00,99.24
3812.00,99.24
3811.00,99.24
3810.00,99.24
3809.00,99.24
3808.00,99.24
3807.00,99.24
3806.00,99.24
3805.00,99.24
3804.00,99.24
3803.00,99.24
3802.00,99.23
3801.00,99.24
3800.00,99.24
3799.00,99.24
3798.00,99.24
3797.00,99.24
3796.00,99.24
3795.00,99.25
3794.00,99.25
3793.00,99.25
3792.00,99.25
3791.00,99.25
3790.00,99.25
3789.00,99.25
3788.00,99.25
3787.00,99.24
3786.00,99.24
3785.00,99.24
3784.00,99.24
3783.00,99.24
3782.00,99.24
3781.00,99.24
3780.00,99.24
3779.00,99.24
3778.00,99.24
3777.00,99.24
3776.00,99.24
3775.00,99.24
3774.00,99.24
3773.00,99.24
3772.00,99.24
3771.00,99.24
3770.00,99.24
3769.00,99.24
3768.00,99.24
3767.00,99.24
3766.00,99.24
3765.00,99.24
3764.00,99.24
3763.00,99.24
3762.00,99.23
3761.00,99.23
3760.00,99.23
3759.00,99.23
3758.00,99.23
3757.00,99.23
3756.00,99.23
3755.00,99.23
3754.00,99.23
3753.00,99.23
3752.00,99.23
3751.00,99.23
3750.00,99.23
3749.00,99.23
3748.00,99.23
3747.00,99.23
3746.00,99.23
3745.00,99.23
3744.00,99.23
3743.00,99.23
3742.00,99.23
3741.00,99.23
3740.00,99.23
3739.00,99.24
3738.00,99.24
3737.00,99.24
3736.00,99.25
3735.00,99.24
3734.00,99.24
3733.00,99.24
3732.00,99.24
3731.00,99.24
3730.00,99.24
3729.00,99.24
3728.00,99.25
3727.00,99.25
3726.00,99.25
3725.00,99.24
3724.00,99.24
3723.00,99.23
3722.00,99.23
3721.00,99.24
3720.00,99.24
3719.00,99.24
3718.00,99.24
3717.00,99.23
3716.00,99.23
3715.00,99.23
3714.00,99.23
3713.00,99.23
3712.00,99.23
3711.00,99.23
3710.00,99.22
3709.00,99.23
3708.00,99.23
3707.00,99.23
3706.00,99.23
3705.00,99.23
3704.00,99.23
3703.00,99.23
3702.00,99.23
3701.00,99.23
3700.00,99.24
3699.00,99.24
3698.00,99.24
3697.00,99.24
3696.00,99.24
3695.00,99.24
3694.00,99.24
3693.00,99.23
3692.00,99.23
3691.00,99.23
3690.00,99.22
3689.00,99.23
3688.00,99.23
3687.00,99.23
3686.00,99.24
3685.00,99.24
3684.00,99.23
3683.00,99.23
3682.00,99.23
3681.00,99.23
3680.00,99.22
3679.00,99.22
3678.00,99.22
3677.00,99.22
3676.00,99.22
3675.00,99.22
3674.00,99.22
3673.00,99.23
3672.00,99.22
3671.00,99.22
3670.00,99.22
3669.00,99.22
3668.00,99.22
3667.00,99.22
3666.00,99.22
3665.00,99.23
3664.00,99.23
3663.00,99.23
3662.00,99.22
3661.00,99.22
3660.00,99.22
3659.00,99.22
3658.00,99.22
3657.00,99.21
3656.00,99.21
3655.00,99.21
3654.00,99.20
3653.00,99.20
3652.00,99.19
3651.00,99.19
3650.00,99.19
3649.00,99.19
3648.00,99.19
3647.00,99.18
3646.00,99.19
3645.00,99.19
3644.00,99.19
3643.00,99.20
3642.00,99.20
3641.00,99.20
3640.00,99.20
3639.00,99.21
3638.00,99.21
3637.00,99.21
3636.00,99.21
3635.00,99.22
3634.00,99.22
3633.00,99.22
3632.00,99.22
3631.00,99.22
3630.00,99.21
3629.00,99.21
3628.00,99.21
3627.00,99.21
3626.00,99.22
3625.00,99.21
3624.00,99.21
3623.00,99.21
3622.00,99.21
3621.00,99.21
3620.00,99.21
3619.00,99.20
3618.00,99.19
3617.00,99.19
3616.00,99.18
3615.00,99.17
3614.00,99.17
3613.00,99.16
3612.00,99.15
3611.00,99.14
3610.00,99.14
3609.00,99.13
3608.00,99.13
3607.00,99.12
3606.00,99.12
3605.00,99.12
3604.00,99.12
3603.00,99.13
3602.00,99.14
3601.00,99.15
3600.00,99.16
3599.00,99.17
3598.00,99.18
3597.00,99.19
3596.00,99.20
3595.00,99.20
3594.00,99.21
3593.00,99.22
3592.00,99.23
3591.00,99.23
3590.00,99.24
3589.00,99.24
3588.00,99.25
3587.00,99.25
3586.00,99.25
3585.00,99.25
3584.00,99.24
3583.00,99.25
3582.00,99.25
3581.00,99.26
3580.00,99.26
3579.00,99.26
3578.00,99.26
3577.00,99.26
3576.00,99.26
3575.00,99.26
3574.00,99.26
3573.00,99.26
3572.00,99.26
3571.00,99.26
3570.00,99.26
3569.00,99.26
3568.00,99.26
3567.00,99.26
3566.00,99.27
3565.00,99.27
3564.00,99.27
3563.00,99.27
3562.00,99.27
3561.00,99.27
3560.00,99.27
3559.00,99.27
3558.00,99.26
3557.00,99.27
3556.00,99.27
3555.00,99.27
3554.00,99.28
3553.00,99.28
3552.00,99.27
3551.00,99.27
3550.00,99.27
3549.00,99.27
3548.00,99.27
3547.00,99.27
3546.00,99.28
3545.00,99.27
3544.00,99.27
3543.00,99.26
3542.00,99.26
3541.00,99.26
3540.00,99.26
3539.00,99.26
3538.00,99.27
3537.00,99.27
3536.00,99.27
3535.00,99.27
3534.00,99.27
3533.00,99.27
3532.00,99.27
3531.00,99.27
3530.00,99.27
3529.00,99.26
3528.00,99.26
3527.00,99.27
3526.00,99.27
3525.00,99.27
3524.00,99.28
3523.00,99.27
3522.00,99.27
3521.00,99.27
3520.00,99.27
3519.00,99.27
3518.00,99.27
3517.00,99.27
3516.00,99.27
3515.00,99.26
3514.00,99.26
3513.00,99.26
3512.00,99.26
3511.00,99.27
3510.00,99.27
3509.00,99.27
3508.00,99.27
3507.00,99.27
3506.00,99.26
3505.00,99.26
3504.00,99.25
3503.00,99.25
3502.00,99.26
3501.00,99.26
3500.00,99.26
3499.00,99.26
3498.00,99.27
3497.00,99.27
3496.00,99.27
3495.00,99.26
3494.00,99.26
3493.00,99.26
3492.00,99.26
3491.00,99.26
3490.00,99.26
3489.00,99.26
3488.00,99.26
3487.00,99.27
3486.00,99.27
3485.00,99.27
3484.00,99.27
3483.00,99.27
3482.00,99.26
3481.00,99.26
3480.00,99.26
3479.00,99.26
3478.00,99.26
