Created as New Dataset,Sample 001 By Administrator Date Tuesday, October 31 2023
cm-1,%T
4000.00,99.58
3999.00,99.58
3998.00,99.57
3997.00,99.57
3996.00,99.57
3995.00,99.57
3994.00,99.57
3993.00,99.58
3992.00,99.59
3991.00,99.60
3990.00,99.60
3989.00,99.59
3988.00,99.58
3987.00,99.58
3986.00,99.58
3985.00,99.58
3984.00,99.58
3983.00,99.57
3982.00,99.56
3981.00,99.55
3980.00,99.55
3979.00,99.56
3978.00,99.56
3977.00,99.56
3976.00,99.56
3975.00,99.56
3974.00,99.56
3973.00,99.56
3972.00,99.56
3971.00,99.56
3970.00,99.57
3969.00,99.57
3968.00,99.58
3967.00,99.58
3966.00,99.58
3965.00,99.58
3964.00,99.57
3963.00,99.57
3962.00,99.58
3961.00,99.58
3960.00,99.58
3959.00,99.58
3958.00,99.58
3957.00,99.58
3956.00,99.58
3955.00,99.58
3954.00,99.58
3953.00,99.58
3952.00,99.58
3951.00,99.58
3950.00,99.58
3949.00,99.57
3948.00,99.56
3947.00,99.56
3946.00,99.56
3945.00,99.56
3944.00,99.57
3943.00,99.57
3942.00,99.56
3941.00,99.56
3940.00,99.56
3939.00,99.57
3938.00,99.57
3937.00,99.57
3936.00,99.58
3935.00,99.57
3934.00,99.57
3933.00,99.57
3932.00,99.57
3931.00,99.57
3930.00,99.57
3929.00,99.57
3928.00,99.57
3927.00,99.57
3926.00,99.57
3925.00,99.58
3924.00,99.58
3923.00,99.58
3922.00,99.57
3921.00,99.56
3920.00,99.56
3919.00,99.55
3918.00,99.54
3917.00,99.53
3916.00,99.53
3915.00,99.53
3914.00,99.53
3913.00,99.53
3912.00,99.53
3911.00,99.53
3910.00,99.53
3909.00,99.53
3908.00,99.54
3907.00,99.54
3906.00,99.54
3905.00,99.55
3904.00,99.55
3903.00,99.55
3902.00,99.54
3901.00,99.53
3900.00,99.52
3899.00,99.52
3898.00,99.53
3897.00,99.54
3896.00,99.54
3895.00,99.53
3894.00,99.53
3893.00,99.53
3892.00,99.54
3891.00,99.54
3890.00,99.55
3889.00,99.55
3888.00,99.54
3887.00,99.53
3886.00,99.53
3885.00,99.52
3884.00,99.52
3883.00,99.53
3882.00,99.53
3881.00,99.53
3880.00,99.53
3879.00,99.54
3878.00,99.54
3877.00,99.55
3876.00,99.55
3875.00,99.56
3874.00,99.56
3873.00,99.57
3872.00,99.56
3871.00,99.55
3870.00,99.53
3869.00,99.52
3868.00,99.52
3867.00,99.53
3866.00,99.54
3865.00,99.55
3864.00,99.57
3863.00,99.57
3862.00,99.57
3861.00,99.56
3860.00,99.56
3859.00,99.55
3858.00,99.55
3857.00,99.55
3856.00,99.55
3855.00,99.55
3854.00,99.54
3853.00,99.55
3852.00,99.55
3851.00,99.56
3850.00,99.56
3849.00,99.56
3848.00,99.56
3847.00,99.56
3846.00,99.56
3845.00,99.57
3844.00,99.57
3843.00,99.56
3842.00,99.56
3841.00,99.55
3840.00,99.54
3839.00,99.53
3838.00,99.53
3837.00,99.53
3836.00,99.54
3835.00,99.54
3834.00,99.55
3833.00,99.56
3832.00,99.56
3831.00,99.56
3830.00,99.56
3829.00,99.55
3828.00,99.55
3827.00,99.55
3826.00,99.55
3825.00,99.55
3824.00,99.55
3823.00,99.54
3822.00,99.53
3821.00,99.53
3820.00,99.53
3819.00,99.54
3818.00,99.53
3817.00,99.53
3816.00,99.53
3815.00,99.54
3814.00,99.55
3813.00,99.55
3812.00,99.56
3811.00,99.56
3810.00,99.57
3809.00,99.57
3808.00,99.57
3807.00,99.57
3806.00,99.56
3805.00,99.56
3804.00,99.55
3803.00,99.55
3802.00,99.55
3801.00,99.55
3800.00,99.55
3799.00,99.55
3798.00,99.55
3797.00,99.55
3796.00,99.55
3795.00,99.56
3794.00,99.56
3793.00,99.55
3792.00,99.54
3791.00,99.54
3790.00,99.55
3789.00,99.55
3788.00,99.55
3787.00,99.55
3786.00,99.55
3785.00,99.55
3784.00,99.55
3783.00,99.56
3782.00,99.57
3781.00,99.57
3780.00,99.58
3779.00,99.58
3778.00,99.58
3777.00,99.57
3776.00,99.57
3775.00,99.56
3774.00,99.56
3773.00,99.56
3772.00,99.56
3771.00,99.56
3770.00,99.57
3769.00,99.57
3768.00,99.57
3767.00,99.56
3766.00,99.56
3765.00,99.55
3764.00,99.55
3763.00,99.55
3762.00,99.55
3761.00,99.55
3760.00,99.55
