Created as New Dataset,PE (low density) granule 2mm GF
cm-1,%T
4000.00,99.75
3999.00,99.75
3998.00,99.75
3997.00,99.75
3996.00,99.75
3995.00,99.75
3994.00,99.75
3993.00,99.75
3992.00,99.75
3991.00,99.75
3990.00,99.75
3989.00,99.75
3988.00,99.75
3987.00,99.75
3986.00,99.74
3985.00,99.74
3984.00,99.74
3983.00,99.74
3982.00,99.74
3981.00,99.74
3980.00,99.74
3979.00,99.75
3978.00,99.75
3977.00,99.75
3976.00,99.75
3975.00,99.75
3974.00,99.75
3973.00,99.75
3972.00,99.75
3971.00,99.75
3970.00,99.75
3969.00,99.75
3968.00,99.75
3967.00,99.75
3966.00,99.75
3965.00,99.75
3964.00,99.75
3963.00,99.75
3962.00,99.75
3961.00,99.75
3960.00,99.75
3959.00,99.75
3958.00,99.75
3957.00,99.75
3956.00,99.75
3955.00,99.75
3954.00,99.75
3953.00,99.75
3952.00,99.74
3951.00,99.74
3950.00,99.74
3949.00,99.74
3948.00,99.74
3947.00,99.74
3946.00,99.74
3945.00,99.74
3944.00,99.73
3943.00,99.73
3942.00,99.73
3941.00,99.73
3940.00,99.74
3939.00,99.74
3938.00,99.74
3937.00,99.74
3936.00,99.74
3935.00,99.74
3934.00,99.73
3933.00,99.73
3932.00,99.73
3931.00,99.73
3930.00,99.73
3929.00,99.73
3928.00,99.73
3927.00,99.73
3926.00,99.73
3925.00,99.73
3924.00,99.73
3923.00,99.72
3922.00,99.72
3921.00,99.72
3920.00,99.71
3919.00,99.71
3918.00,99.71
3917.00,99.72
3916.00,99.72
3915.00,99.72
3914.00,99.71
3913.00,99.71
3912.00,99.71
3911.00,99.72
3910.00,99.72
3909.00,99.72
3908.00,99.72
3907.00,99.72
3906.00,99.72
3905.00,99.72
3904.00,99.72
3903.00,99.71
3902.00,99.71
3901.00,99.70
3900.00,99.70
3899.00,99.71
3898.00,99.71
3897.00,99.72
3896.00,99.72
3895.00,99.72
3894.00,99.72
3893.00,99.72
3892.00,99.72
3891.00,99.71
3890.00,99.71
3889.00,99.71
3888.00,99.71
3887.00,99.71
3886.00,99.71
3885.00,99.71
3884.00,99.71
3883.00,99.71
3882.00,99.71
3881.00,99.71
3880.00,99.72
3879.00,99.72
3878.00,99.71
3877.00,99.71
3876.00,99.71
3875.00,99.71
3874.00,99.71
3873.00,99.71
3872.00,99.70
3871.00,99.70
3870.00,99.71
3869.00,99.71
3868.00,99.71
3867.00,99.72
3866.00,99.72
3865.00,99.72
3864.00,99.73
3863.00,99.72
3862.00,99.72
3861.00,99.72
3860.00,99.72
3859.00,99.72
3858.00,99.72
3857.00,99.71
3856.00,99.71
3855.00,99.70
3854.00,99.70
3853.00,99.70
3852.00,99.70
3851.00,99.70
3850.00,99.70
3849.00,99.71
3848.00,99.71
3847.00,99.72
3846.00,99.72
3845.00,99.72
3844.00,99.72
3843.00,99.72
3842.00,99.71
3841.00,99.70
3840.00,99.69
3839.00,99.69
3838.00,99.70
3837.00,99.70
3836.00,99.71
3835.00,99.71
3834.00,99.71
3833.00,99.70
3832.00,99.70
3831.00,99.70
3830.00,99.70
3829.00,99.70
3828.00,99.70
3827.00,99.70
3826.00,99.70
3825.00,99.70
3824.00,99.70
3823.00,99.70
3822.00,99.69
3821.00,99.69
3820.00,99.69
3819.00,99.69
3818.00,99.68
3817.00,99.69
3816.00,99.70
3815.00,99.70
3814.00,99.70
3813.00,99.70
3812.00,99.70
3811.00,99.70
3810.00,99.70
3809.00,99.70
3808.00,99.70
3807.00,99.71
3806.00,99.71
3805.00,99.70
3804.00,99.69
3803.00,99.68
3802.00,99.69
3801.00,99.70
3800.00,99.70
3799.00,99.70
3798.00,99.70
3797.00,99.71
3796.00,99.71
3795.00,99.71
3794.00,99.71
3793.00,99.71
3792.00,99.71
3791.00,99.71
3790.00,99.71
3789.00,99.71
3788.00,99.71
3787.00,99.71
3786.00,99.71
3785.00,99.71
3784.00,99.71
3783.00,99.71
3782.00,99.70
3781.00,99.70
3780.00,99.71
3779.00,99.71
3778.00,99.71
