Created as New Dataset,PET amorphous
cm-1,%T
4000.00,97.10
3999.00,97.10
3998.00,97.10
3997.00,97.10
3996.00,97.10
3995.00,97.10
3994.00,97.10
3993.00,97.10
3992.00,97.10
3991.00,97.11
3990.00,97.11
3989.00,97.11
3988.00,97.11
3987.00,97.11
3986.00,97.11
3985.00,97.10
3984.00,97.10
3983.00,97.10
3982.00,97.09
3981.00,97.10
3980.00,97.10
3979.00,97.10
3978.00,97.11
3977.00,97.11
3976.00,97.11
3975.00,97.11
3974.00,97.10
3973.00,97.10
3972.00,97.10
3971.00,97.10
3970.00,97.10
3969.00,97.10
3968.00,97.10
3967.00,97.10
3966.00,97.10
3965.00,97.10
3964.00,97.11
3963.00,97.11
3962.00,97.11
3961.00,97.11
3960.00,97.10
3959.00,97.10
3958.00,97.10
3957.00,97.11
3956.00,97.11
3955.00,97.11
3954.00,97.10
3953.00,97.10
3952.00,97.10
3951.00,97.10
3950.00,97.10
3949.00,97.10
3948.00,97.10
3947.00,97.10
3946.00,97.10
3945.00,97.10
3944.00,97.09
3943.00,97.09
3942.00,97.10
3941.00,97.10
3940.00,97.10
3939.00,97.10
3938.00,97.10
3937.00,97.10
3936.00,97.10
3935.00,97.10
3934.00,97.10
3933.00,97.10
3932.00,97.10
3931.00,97.10
3930.00,97.10
3929.00,97.10
3928.00,97.10
3927.00,97.10
3926.00,97.09
3925.00,97.09
3924.00,97.09
3923.00,97.09
3922.00,97.09
3921.00,97.09
3920.00,97.09
3919.00,97.09
3918.00,97.09
3917.00,97.09
3916.00,97.09
3915.00,97.09
3914.00,97.09
3913.00,97.09
3912.00,97.09
3911.00,97.09
3910.00,97.09
3909.00,97.09
3908.00,97.09
3907.00,97.09
3906.00,97.09
3905.00,97.08
3904.00,97.08
3903.00,97.08
3902.00,97.08
3901.00,97.08
3900.00,97.08
3899.00,97.08
3898.00,97.09
3897.00,97.09
3896.00,97.09
3895.00,97.10
3894.00,97.10
3893.00,97.10
3892.00,97.09
3891.00,97.09
3890.00,97.09
3889.00,97.09
3888.00,97.09
3887.00,97.09
3886.00,97.09
3885.00,97.09
3884.00,97.09
3883.00,97.09
3882.00,97.08
3881.00,97.08
3880.00,97.08
3879.00,97.08
3878.00,97.08
3877.00,97.08
3876.00,97.08
3875.00,97.08
3874.00,97.09
3873.00,97.09
3872.00,97.09
3871.00,97.08
3870.00,97.08
3869.00,97.08
3868.00,97.08
3867.00,97.08
3866.00,97.08
3865.00,97.08
3864.00,97.08
3863.00,97.08
3862.00,97.08
3861.00,97.08
3860.00,97.08
3859.00,97.08
3858.00,97.08
3857.00,97.08
3856.00,97.08
3855.00,97.08
3854.00,97.08
3853.00,97.08
3852.00,97.08
3851.00,97.08
3850.00,97.08
3849.00,97.08
3848.00,97.08
3847.00,97.08
3846.00,97.08
3845.00,97.07
3844.00,97.07
3843.00,97.07
3842.00,97.07
3841.00,97.06
3840.00,97.06
3839.00,97.06
3838.00,97.06
3837.00,97.06
3836.00,97.06
3835.00,97.06
3834.00,97.05
3833.00,97.05
3832.00,97.04
3831.00,97.04
3830.00,97.04
3829.00,97.04
3828.00,97.04
3827.00,97.04
3826.00,97.04
3825.00,97.05
3824.00,97.05
3823.00,97.05
3822.00,97.05
3821.00,97.04
3820.00,97.04
3819.00,97.04
3818.00,97.04
3817.00,97.03
3816.00,97.03
3815.00,97.03
3814.00,97.03
3813.00,97.03
3812.00,97.03
3811.00,97.02
3810.00,97.02
3809.00,97.02
3808.00,97.02
3807.00,97.02
3806.00,97.03
3805.00,97.03
3804.00,97.03
3803.00,97.02
3802.00,97.02
3801.00,97.02
3800.00,97.02
3799.00,97.03
3798.00,97.03
3797.00,97.02
3796.00,97.02
3795.00,97.02
3794.00,97.02
3793.00,97.02
3792.00,97.02
3791.00,97.02
3790.00,97.02
3789.00,97.02
3788.00,97.02
3787.00,97.01
3786.00,97.01
3785.00,97.01
3784.00,97.01
3783.00,97.01
3782.00,97.01
3781.00,97.00
3780.00,97.00
3779.00,97.00
3778.00,97.00
3777.00,97.00
3776.00,97.00
3775.00,97.00
3774.00,96.99
3773.00,96.99
3772.00,96.99
3771.00,96.99
3770.00,96.98
3769.00,96.98
3768.00,96.98
3767.00,96.97
3766.00,96.97
3765.00,96.97
3764.00,96.96
3763.00,96.96
3762.00,96.96
3761.00,96.96
3760.00,96.96
3759.00,96.96
3758.00,96.95
3757.00,96.95
3756.00,96.96
3755.00,96.96
3754.00,96.96
3753.00,96.97
3752.00,96.97
3751.00,96.98
3750.00,96.98
3749.00,96.98
