Created as New Dataset,PET Biaxial Film GF
cm-1,%T
4000.00,97.81
3999.00,97.81
3998.00,97.81
3997.00,97.81
3996.00,97.81
3995.00,97.82
3994.00,97.82
3993.00,97.82
3992.00,97.82
3991.00,97.82
3990.00,97.83
3989.00,97.83
3988.00,97.83
3987.00,97.83
3986.00,97.83
3985.00,97.83
3984.00,97.83
3983.00,97.83
3982.00,97.83
3981.00,97.83
3980.00,97.82
3979.00,97.82
3978.00,97.82
3977.00,97.82
3976.00,97.82
3975.00,97.82
3974.00,97.82
3973.00,97.82
3972.00,97.82
3971.00,97.82
3970.00,97.82
3969.00,97.82
3968.00,97.81
3967.00,97.81
3966.00,97.82
3965.00,97.82
3964.00,97.82
3963.00,97.82
3962.00,97.82
3961.00,97.82
3960.00,97.82
3959.00,97.83
3958.00,97.83
3957.00,97.83
3956.00,97.83
3955.00,97.83
3954.00,97.83
3953.00,97.83
3952.00,97.83
3951.00,97.83
3950.00,97.83
3949.00,97.83
3948.00,97.84
3947.00,97.84
3946.00,97.84
3945.00,97.84
3944.00,97.84
3943.00,97.84
3942.00,97.84
3941.00,97.84
3940.00,97.84
3939.00,97.83
3938.00,97.83
3937.00,97.83
3936.00,97.84
3935.00,97.84
3934.00,97.84
3933.00,97.84
3932.00,97.84
3931.00,97.83
3930.00,97.83
3929.00,97.84
3928.00,97.84
3927.00,97.84
3926.00,97.84
3925.00,97.84
3924.00,97.84
3923.00,97.84
3922.00,97.84
3921.00,97.84
3920.00,97.84
3919.00,97.84
3918.00,97.84
3917.00,97.84
3916.00,97.84
3915.00,97.84
3914.00,97.85
3913.00,97.85
3912.00,97.85
3911.00,97.85
3910.00,97.85
3909.00,97.84
3908.00,97.84
3907.00,97.84
3906.00,97.84
3905.00,97.84
3904.00,97.84
3903.00,97.85
3902.00,97.85
3901.00,97.85
3900.00,97.85
3899.00,97.85
3898.00,97.85
3897.00,97.85
3896.00,97.86
3895.00,97.86
3894.00,97.86
3893.00,97.86
3892.00,97.85
3891.00,97.85
3890.00,97.85
3889.00,97.86
3888.00,97.86
3887.00,97.86
3886.00,97.85
3885.00,97.85
3884.00,97.85
3883.00,97.85
3882.00,97.85
3881.00,97.85
3880.00,97.85
3879.00,97.86
3878.00,97.86
3877.00,97.87
3876.00,97.87
3875.00,97.87
3874.00,97.87
3873.00,97.88
3872.00,97.88
3871.00,97.87
3870.00,97.87
3869.00,97.87
3868.00,97.87
3867.00,97.87
3866.00,97.87
3865.00,97.87
3864.00,97.87
3863.00,97.87
3862.00,97.87
3861.00,97.87
3860.00,97.86
3859.00,97.86
3858.00,97.86
3857.00,97.87
3856.00,97.87
3855.00,97.87
3854.00,97.87
3853.00,97.87
3852.00,97.88
3851.00,97.88
3850.00,97.87
3849.00,97.87
3848.00,97.87
3847.00,97.87
3846.00,97.87
3845.00,97.87
3844.00,97.87
3843.00,97.87
3842.00,97.86
3841.00,97.86
3840.00,97.86
3839.00,97.86
3838.00,97.86
3837.00,97.86
3836.00,97.86
3835.00,97.87
3834.00,97.87
3833.00,97.86
3832.00,97.86
3831.00,97.86
3830.00,97.86
3829.00,97.86
3828.00,97.86
3827.00,97.86
3826.00,97.86
3825.00,97.87
3824.00,97.87
3823.00,97.86
3822.00,97.86
3821.00,97.86
3820.00,97.86
3819.00,97.86
3818.00,97.86
3817.00,97.85
3816.00,97.84
3815.00,97.84
3814.00,97.85
3813.00,97.84
3812.00,97.84
3811.00,97.84
3810.00,97.84
