Created as New Dataset,PHB (biopolymer) GF
cm-1,%T
4000.00,99.50
3999.00,99.50
3998.00,99.50
3997.00,99.50
3996.00,99.50
3995.00,99.49
3994.00,99.49
3993.00,99.49
3992.00,99.49
3991.00,99.49
3990.00,99.49
3989.00,99.49
3988.00,99.48
3987.00,99.48
3986.00,99.48
3985.00,99.48
3984.00,99.48
3983.00,99.48
3982.00,99.47
3981.00,99.47
3980.00,99.47
3979.00,99.47
3978.00,99.47
3977.00,99.47
3976.00,99.47
3975.00,99.47
3974.00,99.47
3973.00,99.47
3972.00,99.48
3971.00,99.48
3970.00,99.49
3969.00,99.49
3968.00,99.49
3967.00,99.49
3966.00,99.50
3965.00,99.50
3964.00,99.50
3963.00,99.50
3962.00,99.50
3961.00,99.50
3960.00,99.50
3959.00,99.50
3958.00,99.50
3957.00,99.50
3956.00,99.51
3955.00,99.51
3954.00,99.51
3953.00,99.50
3952.00,99.50
3951.00,99.50
3950.00,99.51
3949.00,99.50
3948.00,99.50
3947.00,99.50
3946.00,99.51
3945.00,99.51
3944.00,99.51
3943.00,99.51
3942.00,99.51
3941.00,99.51
3940.00,99.51
3939.00,99.51
3938.00,99.51
3937.00,99.51
3936.00,99.51
3935.00,99.51
3934.00,99.51
3933.00,99.51
3932.00,99.50
3931.00,99.50
3930.00,99.51
3929.00,99.51
3928.00,99.51
3927.00,99.51
3926.00,99.51
3925.00,99.51
3924.00,99.50
3923.00,99.50
3922.00,99.50
3921.00,99.50
3920.00,99.50
3919.00,99.50
3918.00,99.50
3917.00,99.50
3916.00,99.50
3915.00,99.50
3914.00,99.50
3913.00,99.49
3912.00,99.49
3911.00,99.49
3910.00,99.48
3909.00,99.48
3908.00,99.47
3907.00,99.47
3906.00,99.47
3905.00,99.47
3904.00,99.48
3903.00,99.48
3902.00,99.48
3901.00,99.48
3900.00,99.48
3899.00,99.48
3898.00,99.48
3897.00,99.48
3896.00,99.48
3895.00,99.47
3894.00,99.47
3893.00,99.47
3892.00,99.47
3891.00,99.47
3890.00,99.47
3889.00,99.48
3888.00,99.48
3887.00,99.48
3886.00,99.48
3885.00,99.47
3884.00,99.48
3883.00,99.48
3882.00,99.48
3881.00,99.48
3880.00,99.48
3879.00,99.47
3878.00,99.47
3877.00,99.47
3876.00,99.47
3875.00,99.47
3874.00,99.47
3873.00,99.46
3872.00,99.46
3871.00,99.46
3870.00,99.46
3869.00,99.46
