Created as New Dataset,PK (polyketone) GF
cm-1,%T
4000.00,99.23
3999.00,99.23
3998.00,99.24
3997.00,99.24
3996.00,99.24
3995.00,99.24
3994.00,99.24
3993.00,99.24
3992.00,99.24
3991.00,99.24
3990.00,99.24
3989.00,99.24
3988.00,99.23
3987.00,99.23
3986.00,99.24
3985.00,99.24
3984.00,99.24
3983.00,99.24
3982.00,99.24
3981.00,99.24
3980.00,99.24
3979.00,99.24
3978.00,99.24
3977.00,99.24
3976.00,99.24
3975.00,99.24
3974.00,99.25
3973.00,99.25
3972.00,99.25
3971.00,99.25
3970.00,99.25
3969.00,99.25
3968.00,99.25
3967.00,99.25
3966.00,99.25
3965.00,99.25
3964.00,99.25
3963.00,99.25
3962.00,99.25
3961.00,99.25
3960.00,99.25
3959.00,99.25
3958.00,99.25
3957.00,99.25
3956.00,99.26
3955.00,99.26
3954.00,99.26
3953.00,99.26
3952.00,99.26
3951.00,99.26
3950.00,99.27
3949.00,99.27
3948.00,99.27
3947.00,99.26
3946.00,99.26
3945.00,99.26
3944.00,99.26
3943.00,99.26
3942.00,99.27
3941.00,99.27
3940.00,99.27
3939.00,99.27
3938.00,99.27
3937.00,99.27
3936.00,99.27
3935.00,99.27
3934.00,99.27
3933.00,99.27
3932.00,99.28
3931.00,99.28
3930.00,99.27
3929.00,99.27
3928.00,99.27
3927.00,99.27
3926.00,99.27
3925.00,99.27
3924.00,99.27
3923.00,99.27
3922.00,99.27
3921.00,99.27
3920.00,99.27
3919.00,99.27
3918.00,99.27
3917.00,99.27
3916.00,99.27
3915.00,99.28
3914.00,99.28
3913.00,99.29
3912.00,99.29
3911.00,99.29
3910.00,99.28
3909.00,99.28
3908.00,99.27
3907.00,99.27
3906.00,99.27
3905.00,99.27
3904.00,99.27
3903.00,99.27
3902.00,99.27
3901.00,99.27
3900.00,99.27
3899.00,99.27
3898.00,99.27
3897.00,99.27
3896.00,99.28
3895.00,99.28
3894.00,99.28
3893.00,99.28
3892.00,99.28
3891.00,99.28
3890.00,99.28
3889.00,99.28
3888.00,99.28
3887.00,99.28
3886.00,99.28
3885.00,99.28
3884.00,99.28
3883.00,99.28
3882.00,99.28
3881.00,99.28
3880.00,99.28
3879.00,99.28
3878.00,99.27
3877.00,99.27
3876.00,99.28
3875.00,99.28
3874.00,99.28
3873.00,99.28
3872.00,99.27
3871.00,99.27
3870.00,99.27
3869.00,99.27
3868.00,99.27
3867.00,99.27
3866.00,99.27
3865.00,99.27
3864.00,99.27
3863.00,99.27
3862.00,99.28
3861.00,99.28
3860.00,99.28
3859.00,99.28
3858.00,99.28
3857.00,99.28
3856.00,99.28
3855.00,99.28
3854.00,99.28
3853.00,99.28
3852.00,99.28
3851.00,99.28
3850.00,99.28
3849.00,99.28
3848.00,99.29
3847.00,99.29
3846.00,99.29
3845.00,99.29
3844.00,99.29
3843.00,99.28
3842.00,99.28
3841.00,99.28
3840.00,99.28
3839.00,99.28
3838.00,99.27
3837.00,99.27
3836.00,99.27
3835.00,99.28
3834.00,99.28
3833.00,99.28
3832.00,99.28
3831.00,99.28
3830.00,99.28
3829.00,99.28
3828.00,99.28
3827.00,99.28
3826.00,99.28
3825.00,99.27
3824.00,99.26
3823.00,99.26
3822.00,99.26
3821.00,99.26
3820.00,99.26
3819.00,99.25
3818.00,99.26
3817.00,99.26
3816.00,99.26
3815.00,99.27
3814.00,99.27
3813.00,99.27
3812.00,99.27
3811.00,99.27
3810.00,99.28
3809.00,99.28
3808.00,99.28
3807.00,99.27
3806.00,99.27
3805.00,99.26
3804.00,99.26
3803.00,99.26
3802.00,99.27
3801.00,99.27
3800.00,99.27
3799.00,99.26
3798.00,99.26
3797.00,99.26
3796.00,99.27
3795.00,99.27
3794.00,99.27
3793.00,99.27
3792.00,99.27
3791.00,99.27
3790.00,99.27
3789.00,99.27
3788.00,99.27
3787.00,99.27
3786.00,99.27
3785.00,99.27
3784.00,99.26
3783.00,99.26
3782.00,99.26
3781.00,99.26
3780.00,99.25
3779.00,99.25
3778.00,99.25
3777.00,99.26
3776.00,99.26
3775.00,99.26
3774.00,99.26
3773.00,99.26
3772.00,99.26
3771.00,99.26
3770.00,99.26
3769.00,99.25
3768.00,99.25
3767.00,99.25
3766.00,99.25
3765.00,99.25
3764.00,99.25
3763.00,99.25
3762.00,99.25
3761.00,99.25
3760.00,99.25
3759.00,99.25
3758.00,99.24
3757.00,99.24
3756.00,99.24
3755.00,99.24
3754.00,99.23
3753.00,99.23
3752.00,99.23
3751.00,99.23
3750.00,99.22
3749.00,99.22
3748.00,99.22
3747.00,99.23
3746.00,99.23
3745.00,99.23
3744.00,99.24
3743.00,99.24
3742.00,99.24
3741.00,99.24
3740.00,99.25
3739.00,99.25
3738.00,99.25
3737.00,99.25
3736.00,99.25
3735.00,99.25
3734.00,99.25
3733.00,99.25
3732.00,99.26
3731.00,99.26
3730.00,99.26
3729.00,99.25
3728.00,99.25
3727.00,99.25
3726.00,99.25
3725.00,99.26
3724.00,99.26
3723.00,99.26
3722.00,99.26
3721.00,99.26
3720.00,99.26
3719.00,99.26
3718.00,99.26
3717.00,99.25
3716.00,99.25
3715.00,99.24
3714.00,99.24
3713.00,99.23
3712.00,99.23
3711.00,99.23
3710.00,99.24
3709.00,99.25
3708.00,99.26
3707.00,99.26
3706.00,99.26
3705.00,99.26
3704.00,99.26
3703.00,99.26
3702.00,99.26
3701.00,99.26
3700.00,99.26
3699.00,99.26
3698.00,99.25
3697.00,99.25
3696.00,99.25
3695.00,99.24
3694.00,99.24
3693.00,99.24
3692.00,99.24
3691.00,99.23
3690.00,99.23
3689.00,99.22
3688.00,99.22
3687.00,99.22
3686.00,99.22
3685.00,99.22
3684.00,99.21
3683.00,99.21
3682.00,99.20
3681.00,99.19
3680.00,99.19
3679.00,99.18
3678.00,99.16
3677.00,99.15
3676.00,99.14
3675.00,99.13
3674.00,99.12
3673.00,99.11
3672.00,99.11
3671.00,99.11
3670.00,99.11
3669.00,99.11
3668.00,99.10
3667.00,99.09
3666.00,99.08
3665.00,99.08
3664.00,99.07
3663.00,99.06
3662.00,99.05
3661.00,99.04
3660.00,99.02
3659.00,99.01
3658.00,99.00
3657.00,98.98
3656.00,98.97
3655.00,98.96
3654.00,98.95
3653.00,98.94
3652.00,98.93
3651.00,98.92
3650.00,98.90
3649.00,98.87
3648.00,98.85
3647.00,98.84
3646.00,98.83
3645.00,98.82
3644.00,98.81
3643.00,98.80
3642.00,98.80
3641.00,98.79
3640.00,98.78
3639.00,98.76
3638.00,98.75
3637.00,98.73
3636.00,98.72
3635.00,98.70
3634.00,98.69
3633.00,98.68
3632.00,98.66
3631.00,98.65
3630.00,98.64
3629.00,98.63
3628.00,98.62
3627.00,98.61
3626.00,98.60
3625.00,98.59
3624.00,98.57
3623.00,98.56
3622.00,98.55
3621.00,98.54
3620.00,98.53
3619.00,98.52
3618.00,98.51
3617.00,98.50
3616.00,98.49
3615.00,98.48
3614.00,98.47
3613.00,98.47
3612.00,98.46
3611.00,98.46
3610.00,98.47
3609.00,98.47
3608.00,98.47
3607.00,98.47
3606.00,98.46
3605.00,98.46
3604.00,98.46
3603.00,98.46
3602.00,98.46
3601.00,98.46
3600.00,98.46
3599.00,98.46
3598.00,98.46
3597.00,98.46
3596.00,98.46
3595.00,98.47
3594.00,98.47
3593.00,98.47
3592.00,98.48
3591.00,98.48
3590.00,98.48
3589.00,98.49
3588.00,98.49
3587.00,98.49
3586.00,98.49
3585.00,98.49
3584.00,98.50
3583.00,98.50
3582.00,98.50
3581.00,98.51
3580.00,98.52
3579.00,98.53
3578.00,98.53
3577.00,98.54
3576.00,98.54
3575.00,98.54
3574.00,98.55
3573.00,98.55
3572.00,98.55
3571.00,98.55
3570.00,98.55
3569.00,98.55
3568.00,98.55
3567.00,98.56
3566.00,98.56
3565.00,98.56
3564.00,98.57
3563.00,98.57
3562.00,98.58
3561.00,98.58
3560.00,98.59
3559.00,98.59
3558.00,98.58
3557.00,98.58
3556.00,98.58
3555.00,98.58
3554.00,98.58
3553.00,98.58
3552.00,98.58
3551.00,98.58
3550.00,98.57
3549.00,98.57
3548.00,98.57
3547.00,98.57
3546.00,98.58
3545.00,98.57
3544.00,98.57
3543.00,98.57
3542.00,98.57
3541.00,98.56
3540.00,98.56
3539.00,98.56
3538.00,98.57
3537.00,98.57
3536.00,98.57
3535.00,98.57
3534.00,98.57
3533.00,98.57
3532.00,98.57
3531.00,98.57
3530.00,98.57
3529.00,98.57
3528.00,98.56
3527.00,98.56
3526.00,98.55
3525.00,98.55
3524.00,98.56
3523.00,98.56
3522.00,98.56
3521.00,98.57
3520.00,98.57
3519.00,98.58
3518.00,98.58
3517.00,98.58
3516.00,98.58
3515.00,98.58
3514.00,98.59
3513.00,98.59
3512.00,98.59
3511.00,98.59
3510.00,98.60
3509.00,98.60
3508.00,98.61
3507.00,98.61
3506.00,98.62
3505.00,98.63
3504.00,98.63
3503.00,98.64
3502.00,98.64
3501.00,98.64
3500.00,98.64
3499.00,98.65
3498.00,98.65
3497.00,98.65
3496.00,98.66
3495.00,98.66
3494.00,98.66
3493.00,98.67
3492.00,98.68
3491.00,98.69
3490.00,98.70
3489.00,98.70
3488.00,98.71
3487.00,98.71
3486.00,98.72
3485.00,98.72
3484.00,98.72
3483.00,98.72
3482.00,98.72
3481.00,98.73
3480.00,98.74
3479.00,98.74
3478.00,98.74
3477.00,98.74
3476.00,98.74
3475.00,98.74
3474.00,98.75
3473.00,98.75
3472.00,98.76
3471.00,98.77
3470.00,98.77
3469.00,98.77
3468.00,98.77
3467.00,98.77
3466.00,98.77
3465.00,98.77
3464.00,98.77
3463.00,98.77
3462.00,98.78
3461.00,98.78
3460.00,98.78
3459.00,98.77
3458.00,98.77
3457.00,98.77
3456.00,98.77
3455.00,98.77
3454.00,98.77
3453.00,98.77
3452.00,98.76
3451.00,98.76
3450.00,98.76
3449.00,98.76
3448.00,98.76
3447.00,98.76
3446.00,98.76
3445.00,98.75
3444.00,98.75
3443.00,98.75
3442.00,98.74
3441.00,98.74
3440.00,98.74
3439.00,98.74
3438.00,98.74
3437.00,98.74
3436.00,98.73
3435.00,98.72
3434.00,98.71
3433.00,98.69
3432.00,98.68
3431.00,98.67
3430.00,98.65
3429.00,98.64
3428.00,98.62
3427.00,98.59
3426.00,98.57
3425.00,98.55
3424.00,98.53
3423.00,98.51
3422.00,98.49
3421.00,98.46
3420.00,98.43
3419.00,98.41
3418.00,98.39
3417.00,98.36
3416.00,98.34
3415.00,98.32
3414.00,98.30
3413.00,98.28
3412.00,98.25
3411.00,98.22
3410.00,98.19
3409.00,98.17
3408.00,98.14
3407.00,98.11
3406.00,98.09
3405.00,98.07
3404.00,98.06
3403.00,98.05
3402.00,98.04
3401.00,98.02
3400.00,97.99
3399.00,97.96
3398.00,97.93
3397.00,97.91
3396.00,97.90
3395.00,97.90
3394.00,97.91
3393.00,97.92
3392.00,97.94
3391.00,97.96
3390.00,97.99
3389.00,98.02
3388.00,98.06
3387.00,98.11
3386.00,98.16
3385.00,98.22
3384.00,98.28
3383.00,98.34
3382.00,98.39
3381.00,98.44
3380.00,98.49
3379.00,98.53
3378.00,98.57
3377.00,98.60
3376.00,98.63
3375.00,98.66
3374.00,98.69
3373.00,98.72
3372.00,98.76
3371.00,98.80
3370.00,98.83
3369.00,98.85
3368.00,98.86
3367.00,98.87
3366.00,98.87
3365.00,98.88
3364.00,98.89
3363.00,98.90
3362.00,98.91
3361.00,98.92
3360.00,98.92
3359.00,98.93
3358.00,98.94
3357.00,98.95
3356.00,98.96
3355.00,98.97
3354.00,98.99
3353.00,99.00
3352.00,99.01
3351.00,99.01
3350.00,99.01
3349.00,99.01
3348.00,99.01
3347.00,99.02
3346.00,99.02
3345.00,99.03
3344.00,99.03
3343.00,99.03
3342.00,99.04
3341.00,99.04
3340.00,99.05
3339.00,99.05
3338.00,99.06
3337.00,99.05
3336.00,99.05
3335.00,99.05
3334.00,99.05
3333.00,99.05
3332.00,99.06
3331.00,99.06
3330.00,99.06
3329.00,99.07
3328.00,99.07
3327.00,99.08
3326.00,99.08
3325.00,99.08
3324.00,99.08
3323.00,99.08
3322.00,99.08
3321.00,99.08
3320.00,99.08
3319.00,99.08
3318.00,99.08
3317.00,99.08
3316.00,99.08
3315.00,99.08
3314.00,99.09
3313.00,99.09
3312.00,99.09
3311.00,99.10
3310.00,99.10
3309.00,99.11
3308.00,99.11
3307.00,99.11
3306.00,99.11
3305.00,99.11
3304.00,99.11
3303.00,99.11
3302.00,99.11
3301.00,99.11
3300.00,99.11
3299.00,99.11
3298.00,99.12
3297.00,99.12
3296.00,99.12
3295.00,99.12
3294.00,99.12
3293.00,99.12
3292.00,99.12
3291.00,99.12
3290.00,99.12
3289.00,99.12
3288.00,99.12
3287.00,99.11
3286.00,99.11
3285.00,99.12
3284.00,99.12
3283.00,99.13
3282.00,99.13
3281.00,99.13
3280.00,99.12
3279.00,99.12
3278.00,99.12
3277.00,99.12
3276.00,99.13
3275.00,99.13
3274.00,99.14
3273.00,99.14
3272.00,99.14
3271.00,99.13
3270.00,99.13
3269.00,99.13
3268.00,99.13
3267.00,99.13
3266.00,99.12
3265.00,99.12
3264.00,99.12
3263.00,99.13
3262.00,99.13
3261.00,99.13
3260.00,99.14
3259.00,99.14
3258.00,99.14
3257.00,99.14
3256.00,99.14
3255.00,99.13
3254.00,99.13
3253.00,99.13
3252.00,99.13
3251.00,99.13
3250.00,99.13
3249.00,99.13
3248.00,99.13
3247.00,99.13
3246.00,99.13
3245.00,99.14
3244.00,99.14
3243.00,99.13
3242.00,99.13
3241.00,99.13
3240.00,99.12
3239.00,99.12
3238.00,99.13
3237.00,99.13
3236.00,99.13
3235.00,99.13
3234.00,99.13
3233.00,99.14
3232.00,99.13
3231.00,99.13
3230.00,99.13
3229.00,99.14
3228.00,99.14
3227.00,99.14
3226.00,99.14
3225.00,99.14
3224.00,99.13
3223.00,99.13
3222.00,99.13
3221.00,99.14
3220.00,99.14
3219.00,99.14
3218.00,99.14
3217.00,99.14
3216.00,99.14
3215.00,99.14
3214.00,99.14
3213.00,99.14
3212.00,99.14
3211.00,99.13
3210.00,99.13
3209.00,99.14
3208.00,99.14
3207.00,99.14
3206.00,99.14
3205.00,99.14
3204.00,99.14
3203.00,99.14
3202.00,99.15
3201.00,99.15
3200.00,99.15
3199.00,99.15
3198.00,99.15
3197.00,99.15
3196.00,99.14
3195.00,99.14
3194.00,99.14
3193.00,99.15
3192.00,99.15
3191.00,99.15
3190.00,99.15
3189.00,99.15
3188.00,99.14
3187.00,99.14
3186.00,99.14
3185.00,99.14
3184.00,99.14
3183.00,99.14
3182.00,99.15
3181.00,99.15
3180.00,99.15
3179.00,99.15
3178.00,99.15
3177.00,99.14
3176.00,99.14
3175.00,99.14
3174.00,99.14
3173.00,99.14
3172.00,99.14
3171.00,99.14
3170.00,99.14
3169.00,99.14
3168.00,99.14
3167.00,99.14
3166.00,99.14
3165.00,99.14
