Created as New Dataset,PLA (polylactic acid) GF
cm-1,%T
4000.00,100.08
3999.00,100.08
3998.00,100.08
3997.00,100.08
3996.00,100.08
3995.00,100.08
3994.00,100.09
3993.00,100.08
3992.00,100.08
3991.00,100.08
3990.00,100.08
3989.00,100.08
3988.00,100.08
3987.00,100.08
3986.00,100.08
3985.00,100.08
3984.00,100.08
3983.00,100.08
3982.00,100.08
3981.00,100.08
3980.00,100.08
3979.00,100.08
3978.00,100.08
3977.00,100.08
3976.00,100.09
3975.00,100.09
3974.00,100.08
3973.00,100.08
3972.00,100.08
3971.00,100.08
3970.00,100.08
3969.00,100.08
3968.00,100.08
3967.00,100.08
3966.00,100.08
3965.00,100.08
3964.00,100.08
3963.00,100.08
3962.00,100.08
3961.00,100.08
3960.00,100.08
3959.00,100.08
3958.00,100.08
3957.00,100.08
3956.00,100.08
3955.00,100.08
3954.00,100.08
3953.00,100.08
3952.00,100.08
3951.00,100.09
3950.00,100.09
3949.00,100.09
3948.00,100.09
3947.00,100.08
3946.00,100.08
3945.00,100.08
3944.00,100.07
3943.00,100.07
3942.00,100.08
3941.00,100.08
3940.00,100.08
3939.00,100.08
3938.00,100.08
3937.00,100.08
3936.00,100.08
3935.00,100.08
3934.00,100.08
3933.00,100.08
3932.00,100.08
3931.00,100.08
3930.00,100.08
3929.00,100.08
3928.00,100.09
3927.00,100.09
3926.00,100.08
3925.00,100.08
3924.00,100.07
3923.00,100.07
3922.00,100.07
3921.00,100.07
3920.00,100.07
3919.00,100.07
3918.00,100.07
3917.00,100.07
3916.00,100.07
3915.00,100.07
3914.00,100.07
3913.00,100.07
3912.00,100.07
3911.00,100.07
3910.00,100.07
3909.00,100.07
3908.00,100.07
3907.00,100.07
3906.00,100.06
3905.00,100.06
3904.00,100.05
3903.00,100.06
3902.00,100.06
3901.00,100.06
3900.00,100.06
3899.00,100.06
3898.00,100.06
3897.00,100.07
3896.00,100.07
3895.00,100.07
3894.00,100.07
3893.00,100.06
3892.00,100.06
3891.00,100.05
3890.00,100.05
3889.00,100.05
3888.00,100.05
3887.00,100.05
3886.00,100.06
3885.00,100.06
3884.00,100.07
3883.00,100.07
3882.00,100.06
3881.00,100.06
3880.00,100.06
3879.00,100.07
3878.00,100.07
3877.00,100.07
3876.00,100.06
3875.00,100.06
3874.00,100.06
3873.00,100.06
3872.00,100.05
3871.00,100.04
3870.00,100.04
3869.00,100.05
3868.00,100.05
3867.00,100.04
3866.00,100.04
3865.00,100.05
3864.00,100.05
3863.00,100.05
3862.00,100.05
3861.00,100.05
3860.00,100.05
3859.00,100.05
3858.00,100.05
3857.00,100.05
3856.00,100.04
3855.00,100.03
3854.00,100.03
3853.00,100.04
3852.00,100.04
3851.00,100.04
3850.00,100.04
3849.00,100.05
3848.00,100.05
3847.00,100.06
3846.00,100.06
3845.00,100.05
3844.00,100.05
3843.00,100.04
3842.00,100.04
3841.00,100.04
3840.00,100.04
3839.00,100.04
3838.00,100.04
3837.00,100.04
3836.00,100.04
3835.00,100.04
3834.00,100.04
3833.00,100.04
3832.00,100.04
3831.00,100.05
3830.00,100.05
3829.00,100.05
3828.00,100.05
3827.00,100.05
3826.00,100.05
3825.00,100.05
3824.00,100.04
3823.00,100.03
3822.00,100.03
3821.00,100.03
3820.00,100.03
3819.00,100.03
3818.00,100.03
3817.00,100.02
3816.00,100.03
3815.00,100.04
3814.00,100.04
3813.00,100.04
3812.00,100.04
3811.00,100.04
3810.00,100.04
3809.00,100.04
3808.00,100.03
3807.00,100.03
3806.00,100.03
3805.00,100.04
3804.00,100.04
3803.00,100.03
3802.00,100.04
3801.00,100.04
3800.00,100.04
3799.00,100.04
3798.00,100.04
3797.00,100.04
3796.00,100.04
3795.00,100.04
3794.00,100.05
3793.00,100.05
3792.00,100.05
3791.00,100.05
3790.00,100.05
3789.00,100.05
3788.00,100.05
3787.00,100.04
3786.00,100.04
3785.00,100.04
3784.00,100.04
3783.00,100.04
3782.00,100.03
3781.00,100.03
3780.00,100.03
3779.00,100.03
3778.00,100.03
3777.00,100.03
3776.00,100.03
3775.00,100.03
3774.00,100.03
3773.00,100.03
3772.00,100.03
3771.00,100.02
3770.00,100.02
3769.00,100.02
3768.00,100.02
3767.00,100.02
3766.00,100.02
3765.00,100.03
3764.00,100.03
3763.00,100.03
3762.00,100.03
3761.00,100.03
3760.00,100.03
3759.00,100.03
3758.00,100.02
3757.00,100.02
3756.00,100.02
3755.00,100.02
3754.00,100.01
3753.00,100.01
3752.00,100.00
3751.00,100.00
3750.00,99.99
3749.00,99.99
3748.00,99.99
3747.00,99.99
3746.00,99.99
3745.00,100.00
3744.00,100.01
3743.00,100.01
3742.00,100.02
3741.00,100.01
3740.00,100.02
3739.00,100.02
3738.00,100.02
3737.00,100.02
3736.00,100.02
3735.00,100.02
3734.00,100.01
3733.00,100.01
3732.00,100.01
3731.00,100.02
3730.00,100.02
3729.00,100.03
3728.00,100.03
3727.00,100.03
3726.00,100.04
3725.00,100.03
3724.00,100.03
3723.00,100.02
3722.00,100.02
3721.00,100.02
3720.00,100.02
3719.00,100.02
3718.00,100.02
3717.00,100.02
3716.00,100.02
3715.00,100.02
3714.00,100.02
3713.00,100.02
3712.00,100.02
3711.00,100.02
3710.00,100.02
3709.00,100.02
3708.00,100.02
3707.00,100.03
3706.00,100.03
3705.00,100.03
3704.00,100.04
3703.00,100.04
3702.00,100.04
3701.00,100.04
3700.00,100.04
3699.00,100.04
3698.00,100.04
3697.00,100.03
3696.00,100.03
3695.00,100.03
3694.00,100.03
3693.00,100.02
3692.00,100.01
3691.00,100.00
3690.00,99.99
3689.00,99.99
3688.00,100.00
3687.00,100.01
3686.00,100.02
3685.00,100.02
3684.00,100.02
3683.00,100.02
3682.00,100.01
3681.00,100.00
3680.00,100.00
3679.00,99.99
3678.00,99.99
3677.00,99.98
3676.00,99.97
3675.00,99.97
3674.00,99.98
3673.00,99.97
3672.00,99.97
3671.00,99.97
3670.00,99.97
3669.00,99.98
3668.00,99.98
3667.00,99.98
3666.00,99.98
3665.00,99.98
3664.00,99.98
3663.00,99.98
3662.00,99.99
3661.00,99.99
3660.00,99.99
3659.00,99.98
3658.00,99.98
3657.00,99.97
3656.00,99.97
3655.00,99.97
3654.00,99.97
3653.00,99.97
3652.00,99.97
3651.00,99.97
3650.00,99.97
3649.00,99.98
3648.00,99.98
3647.00,99.98
3646.00,99.98
3645.00,99.98
