Created as New Dataset,PMMA (GF)
cm-1,%T
4000.00,99.90
3999.00,99.90
3998.00,99.90
3997.00,99.91
3996.00,99.90
3995.00,99.90
3994.00,99.91
3993.00,99.91
3992.00,99.91
3991.00,99.91
3990.00,99.91
3989.00,99.90
3988.00,99.90
3987.00,99.90
3986.00,99.90
3985.00,99.90
3984.00,99.91
3983.00,99.91
3982.00,99.92
3981.00,99.92
3980.00,99.92
3979.00,99.92
3978.00,99.92
3977.00,99.92
3976.00,99.92
3975.00,99.92
3974.00,99.91
3973.00,99.91
3972.00,99.91
3971.00,99.91
3970.00,99.91
3969.00,99.92
3968.00,99.92
3967.00,99.92
3966.00,99.92
3965.00,99.92
3964.00,99.92
3963.00,99.92
3962.00,99.92
3961.00,99.92
3960.00,99.92
3959.00,99.92
3958.00,99.92
3957.00,99.92
3956.00,99.92
3955.00,99.92
3954.00,99.92
3953.00,99.91
3952.00,99.91
3951.00,99.90
3950.00,99.89
3949.00,99.89
3948.00,99.88
3947.00,99.88
3946.00,99.89
3945.00,99.89
3944.00,99.89
3943.00,99.90
3942.00,99.90
3941.00,99.90
3940.00,99.90
3939.00,99.90
3938.00,99.90
3937.00,99.90
3936.00,99.90
3935.00,99.90
3934.00,99.90
3933.00,99.90
3932.00,99.90
3931.00,99.90
3930.00,99.90
3929.00,99.90
3928.00,99.90
3927.00,99.90
3926.00,99.90
3925.00,99.90
3924.00,99.90
3923.00,99.91
3922.00,99.91
3921.00,99.91
3920.00,99.91
3919.00,99.92
3918.00,99.92
3917.00,99.92
3916.00,99.92
3915.00,99.92
3914.00,99.92
3913.00,99.91
3912.00,99.91
3911.00,99.91
3910.00,99.92
3909.00,99.92
3908.00,99.92
3907.00,99.91
3906.00,99.91
3905.00,99.90
3904.00,99.89
3903.00,99.89
3902.00,99.89
3901.00,99.89
3900.00,99.90
3899.00,99.90
3898.00,99.90
3897.00,99.90
3896.00,99.90
3895.00,99.90
3894.00,99.90
3893.00,99.90
3892.00,99.90
3891.00,99.90
3890.00,99.91
3889.00,99.90
3888.00,99.90
3887.00,99.90
3886.00,99.91
3885.00,99.91
3884.00,99.90
3883.00,99.90
3882.00,99.90
3881.00,99.90
3880.00,99.91
3879.00,99.91
3878.00,99.91
3877.00,99.90
3876.00,99.91
3875.00,99.91
3874.00,99.91
3873.00,99.91
3872.00,99.90
3871.00,99.90
3870.00,99.90
3869.00,99.90
3868.00,99.90
3867.00,99.90
3866.00,99.90
3865.00,99.90
3864.00,99.91
3863.00,99.91
3862.00,99.91
3861.00,99.91
3860.00,99.91
3859.00,99.91
3858.00,99.91
3857.00,99.90
3856.00,99.90
3855.00,99.90
3854.00,99.90
3853.00,99.89
3852.00,99.89
3851.00,99.89
3850.00,99.90
3849.00,99.90
3848.00,99.90
3847.00,99.91
3846.00,99.91
3845.00,99.91
3844.00,99.91
3843.00,99.91
3842.00,99.90
3841.00,99.90
3840.00,99.89
3839.00,99.88
3838.00,99.88
3837.00,99.88
3836.00,99.88
3835.00,99.88
3834.00,99.88
3833.00,99.88
3832.00,99.89
3831.00,99.89
3830.00,99.89
3829.00,99.89
3828.00,99.89
3827.00,99.89
3826.00,99.89
3825.00,99.89
3824.00,99.88
3823.00,99.87
3822.00,99.87
3821.00,99.87
3820.00,99.86
3819.00,99.86
3818.00,99.87
3817.00,99.88
3816.00,99.89
3815.00,99.89
3814.00,99.89
3813.00,99.89
3812.00,99.89
3811.00,99.89
3810.00,99.90
3809.00,99.90
3808.00,99.90
3807.00,99.89
3806.00,99.89
3805.00,99.88
3804.00,99.88
3803.00,99.87
3802.00,99.88
3801.00,99.88
3800.00,99.88
3799.00,99.88
3798.00,99.89
3797.00,99.89
3796.00,99.90
3795.00,99.90
3794.00,99.90
3793.00,99.90
3792.00,99.90
3791.00,99.90
3790.00,99.90
3789.00,99.90
3788.00,99.90
3787.00,99.90
3786.00,99.90
3785.00,99.90
3784.00,99.90
3783.00,99.90
3782.00,99.89
3781.00,99.89
3780.00,99.89
3779.00,99.89
3778.00,99.89
3777.00,99.89
3776.00,99.90
3775.00,99.90
3774.00,99.89
3773.00,99.89
3772.00,99.89
3771.00,99.88
3770.00,99.88
3769.00,99.88
3768.00,99.88
3767.00,99.88
3766.00,99.88
3765.00,99.88
3764.00,99.88
3763.00,99.88
3762.00,99.88
3761.00,99.88
3760.00,99.88
3759.00,99.87
3758.00,99.87
3757.00,99.87
3756.00,99.87
3755.00,99.86
3754.00,99.86
3753.00,99.86
3752.00,99.86
3751.00,99.86
3750.00,99.85
3749.00,99.85
3748.00,99.84
3747.00,99.83
3746.00,99.83
3745.00,99.84
3744.00,99.85
3743.00,99.85
3742.00,99.86
3741.00,99.86
3740.00,99.86
3739.00,99.86
3738.00,99.86
3737.00,99.86
3736.00,99.86
3735.00,99.86
3734.00,99.86
3733.00,99.86
3732.00,99.86
3731.00,99.86
3730.00,99.86
3729.00,99.87
3728.00,99.87
3727.00,99.87
3726.00,99.88
3725.00,99.87
3724.00,99.87
3723.00,99.87
3722.00,99.87
3721.00,99.86
3720.00,99.86
3719.00,99.87
3718.00,99.87
3717.00,99.87
3716.00,99.87
3715.00,99.86
3714.00,99.86
3713.00,99.85
3712.00,99.84
3711.00,99.84
3710.00,99.84
3709.00,99.84
3708.00,99.84
3707.00,99.85
3706.00,99.85
3705.00,99.84
3704.00,99.84
3703.00,99.83
3702.00,99.82
3701.00,99.81
3700.00,99.81
3699.00,99.80
3698.00,99.80
3697.00,99.79
3696.00,99.78
3695.00,99.76
3694.00,99.75
3693.00,99.73
3692.00,99.71
3691.00,99.69
3690.00,99.68
3689.00,99.66
