Created as New Dataset,Acrylic Clear
cm-1,%T
4000.00,98.70
3999.00,98.69
3998.00,98.69
3997.00,98.69
3996.00,98.69
3995.00,98.69
3994.00,98.69
3993.00,98.69
3992.00,98.69
3991.00,98.69
3990.00,98.69
3989.00,98.69
3988.00,98.69
3987.00,98.69
3986.00,98.69
3985.00,98.69
3984.00,98.69
3983.00,98.68
3982.00,98.69
3981.00,98.69
3980.00,98.69
3979.00,98.69
3978.00,98.69
3977.00,98.69
3976.00,98.69
3975.00,98.70
3974.00,98.70
3973.00,98.70
3972.00,98.70
3971.00,98.70
3970.00,98.70
3969.00,98.70
3968.00,98.69
3967.00,98.69
3966.00,98.69
3965.00,98.69
3964.00,98.69
3963.00,98.69
3962.00,98.70
3961.00,98.70
3960.00,98.70
3959.00,98.70
3958.00,98.70
3957.00,98.70
3956.00,98.70
3955.00,98.70
3954.00,98.69
3953.00,98.69
3952.00,98.69
3951.00,98.69
3950.00,98.69
3949.00,98.69
3948.00,98.69
3947.00,98.69
3946.00,98.69
3945.00,98.69
3944.00,98.69
3943.00,98.69
3942.00,98.69
3941.00,98.68
3940.00,98.68
3939.00,98.68
3938.00,98.68
3937.00,98.68
3936.00,98.68
3935.00,98.68
3934.00,98.68
3933.00,98.68
3932.00,98.68
3931.00,98.68
3930.00,98.69
3929.00,98.69
3928.00,98.69
3927.00,98.69
3926.00,98.69
3925.00,98.68
3924.00,98.68
3923.00,98.68
3922.00,98.68
3921.00,98.68
3920.00,98.68
3919.00,98.69
3918.00,98.69
3917.00,98.69
3916.00,98.69
3915.00,98.68
3914.00,98.68
3913.00,98.68
3912.00,98.68
3911.00,98.68
3910.00,98.68
3909.00,98.68
3908.00,98.68
3907.00,98.68
3906.00,98.68
3905.00,98.68
3904.00,98.68
3903.00,98.68
3902.00,98.68
3901.00,98.68
3900.00,98.67
3899.00,98.67
3898.00,98.67
3897.00,98.67
3896.00,98.68
3895.00,98.68
3894.00,98.68
3893.00,98.68
3892.00,98.68
3891.00,98.68
3890.00,98.67
3889.00,98.67
3888.00,98.67
3887.00,98.67
3886.00,98.66
3885.00,98.66
3884.00,98.66
3883.00,98.66
3882.00,98.66
3881.00,98.66
3880.00,98.66
3879.00,98.67
3878.00,98.67
3877.00,98.66
3876.00,98.66
3875.00,98.66
3874.00,98.66
3873.00,98.66
3872.00,98.66
3871.00,98.65
3870.00,98.64
3869.00,98.64
3868.00,98.65
3867.00,98.66
3866.00,98.66
3865.00,98.67
3864.00,98.67
3863.00,98.67
3862.00,98.67
3861.00,98.66
3860.00,98.66
3859.00,98.65
3858.00,98.65
3857.00,98.65
3856.00,98.64
3855.00,98.63
3854.00,98.63
3853.00,98.63
3852.00,98.63
3851.00,98.64
3850.00,98.64
3849.00,98.65
3848.00,98.65
3847.00,98.65
3846.00,98.65
3845.00,98.65
3844.00,98.65
3843.00,98.65
3842.00,98.64
3841.00,98.64
3840.00,98.64
3839.00,98.64
3838.00,98.64
3837.00,98.64
3836.00,98.64
3835.00,98.64
3834.00,98.64
3833.00,98.64
3832.00,98.64
3831.00,98.64
3830.00,98.65
3829.00,98.65
3828.00,98.64
3827.00,98.64
3826.00,98.64
3825.00,98.63
3824.00,98.63
3823.00,98.63
3822.00,98.63
3821.00,98.62
3820.00,98.62
3819.00,98.62
3818.00,98.63
3817.00,98.63
3816.00,98.63
3815.00,98.63
3814.00,98.63
3813.00,98.63
3812.00,98.63
3811.00,98.63
3810.00,98.63
3809.00,98.63
3808.00,98.63
3807.00,98.62
3806.00,98.62
3805.00,98.62
3804.00,98.62
3803.00,98.62
3802.00,98.62
3801.00,98.62
3800.00,98.62
3799.00,98.63
3798.00,98.63
3797.00,98.64
3796.00,98.64
3795.00,98.64
3794.00,98.64
3793.00,98.64
3792.00,98.63
3791.00,98.63
3790.00,98.63
3789.00,98.63
3788.00,98.63
3787.00,98.63
3786.00,98.63
3785.00,98.63
3784.00,98.63
3783.00,98.63
3782.00,98.63
3781.00,98.63
3780.00,98.62
3779.00,98.62
3778.00,98.62
3777.00,98.62
3776.00,98.62
3775.00,98.61
3774.00,98.61
3773.00,98.61
3772.00,98.61
3771.00,98.62
3770.00,98.62
3769.00,98.62
3768.00,98.61
3767.00,98.61
3766.00,98.61
3765.00,98.61
3764.00,98.61
3763.00,98.60
3762.00,98.60
3761.00,98.60
3760.00,98.59
3759.00,98.59
3758.00,98.59
3757.00,98.59
3756.00,98.58
3755.00,98.58
3754.00,98.57
3753.00,98.57
3752.00,98.57
3751.00,98.57
3750.00,98.57
3749.00,98.57
3748.00,98.57
3747.00,98.58
3746.00,98.58
3745.00,98.58
3744.00,98.58
3743.00,98.59
3742.00,98.59
3741.00,98.59
3740.00,98.59
3739.00,98.59
3738.00,98.59
3737.00,98.58
3736.00,98.57
3735.00,98.57
3734.00,98.58
3733.00,98.58
3732.00,98.58
3731.00,98.58
3730.00,98.59
3729.00,98.59
3728.00,98.60
3727.00,98.61
3726.00,98.61
3725.00,98.61
3724.00,98.61
3723.00,98.60
3722.00,98.61
3721.00,98.61
3720.00,98.61
3719.00,98.61
3718.00,98.60
3717.00,98.60
3716.00,98.60
3715.00,98.60
3714.00,98.59
3713.00,98.59
3712.00,98.59
3711.00,98.59
3710.00,98.59
3709.00,98.59
3708.00,98.59
3707.00,98.59
3706.00,98.59
3705.00,98.60
3704.00,98.60
3703.00,98.60
3702.00,98.60
3701.00,98.60
3700.00,98.60
3699.00,98.60
3698.00,98.60
3697.00,98.59
3696.00,98.59
3695.00,98.59
3694.00,98.59
3693.00,98.59
3692.00,98.58
3691.00,98.57
3690.00,98.56
3689.00,98.56
3688.00,98.55
3687.00,98.55
3686.00,98.55
3685.00,98.55
3684.00,98.55
3683.00,98.55
3682.00,98.55
3681.00,98.54
3680.00,98.54
3679.00,98.53
3678.00,98.52
3677.00,98.51
3676.00,98.50
3675.00,98.49
3674.00,98.49
3673.00,98.49
3672.00,98.49
3671.00,98.49
3670.00,98.50
3669.00,98.50
3668.00,98.50
3667.00,98.50
3666.00,98.50
3665.00,98.49
3664.00,98.49
3663.00,98.48
3662.00,98.48
3661.00,98.48
3660.00,98.47
3659.00,98.47
3658.00,98.47
3657.00,98.46
3656.00,98.46
3655.00,98.45
3654.00,98.44
3653.00,98.44
3652.00,98.43
3651.00,98.42
3650.00,98.42
3649.00,98.41
3648.00,98.41
3647.00,98.41
3646.00,98.41
3645.00,98.41
3644.00,98.41
3643.00,98.42
3642.00,98.41
3641.00,98.41
3640.00,98.41
3639.00,98.40
3638.00,98.39
3637.00,98.39
3636.00,98.39
3635.00,98.38
3634.00,98.38
3633.00,98.38
3632.00,98.37
3631.00,98.37
3630.00,98.37
3629.00,98.37
3628.00,98.37
3627.00,98.37
3626.00,98.37
3625.00,98.37
3624.00,98.37
3623.00,98.37
3622.00,98.37
3621.00,98.37
3620.00,98.37
3619.00,98.37
3618.00,98.37
3617.00,98.37
3616.00,98.37
3615.00,98.37
3614.00,98.38
3613.00,98.39
3612.00,98.39
3611.00,98.40
3610.00,98.41
3609.00,98.41
3608.00,98.41
3607.00,98.41
3606.00,98.42
3605.00,98.42
3604.00,98.42
3603.00,98.42
3602.00,98.43
3601.00,98.43
3600.00,98.44
3599.00,98.44
3598.00,98.44
3597.00,98.44
3596.00,98.44
3595.00,98.44
3594.00,98.44
3593.00,98.45
3592.00,98.45
3591.00,98.45
3590.00,98.46
3589.00,98.47
3588.00,98.47
3587.00,98.47
3586.00,98.47
3585.00,98.47
3584.00,98.47
3583.00,98.47
3582.00,98.47
3581.00,98.48
3580.00,98.48
3579.00,98.48
3578.00,98.48
3577.00,98.48
3576.00,98.48
3575.00,98.48
3574.00,98.48
3573.00,98.48
3572.00,98.48
3571.00,98.48
3570.00,98.47
3569.00,98.47
3568.00,98.46
3567.00,98.46
3566.00,98.47
3565.00,98.47
3564.00,98.47
3563.00,98.47
3562.00,98.46
3561.00,98.46
3560.00,98.46
3559.00,98.46
3558.00,98.46
3557.00,98.45
3556.00,98.45
3555.00,98.45
3554.00,98.45
3553.00,98.44
3552.00,98.44
3551.00,98.44
3550.00,98.44
3549.00,98.44
3548.00,98.44
3547.00,98.44
3546.00,98.45
3545.00,98.45
3544.00,98.45
3543.00,98.45
3542.00,98.45
3541.00,98.45
3540.00,98.45
3539.00,98.46
3538.00,98.46
3537.00,98.46
3536.00,98.47
3535.00,98.47
3534.00,98.47
3533.00,98.47
3532.00,98.48
3531.00,98.48
3530.00,98.48
3529.00,98.48
3528.00,98.48
3527.00,98.49
3526.00,98.49
3525.00,98.50
3524.00,98.50
3523.00,98.50
3522.00,98.49
3521.00,98.49
3520.00,98.50
3519.00,98.50
3518.00,98.50
3517.00,98.50
3516.00,98.51
3515.00,98.51
3514.00,98.51
3513.00,98.52
3512.00,98.52
3511.00,98.52
3510.00,98.52
3509.00,98.52
3508.00,98.53
3507.00,98.53
3506.00,98.53
3505.00,98.53
3504.00,98.53
3503.00,98.52
3502.00,98.52
3501.00,98.52
3500.00,98.52
3499.00,98.52
3498.00,98.52
3497.00,98.52
3496.00,98.52
3495.00,98.52
3494.00,98.52
3493.00,98.52
3492.00,98.52
3491.00,98.52
3490.00,98.52
3489.00,98.52
3488.00,98.52
3487.00,98.52
3486.00,98.52
3485.00,98.51
3484.00,98.51
3483.00,98.51
3482.00,98.51
3481.00,98.51
3480.00,98.51
3479.00,98.50
3478.00,98.50
3477.00,98.49
3476.00,98.49
3475.00,98.49
3474.00,98.49
3473.00,98.49
3472.00,98.50
3471.00,98.50
3470.00,98.50
3469.00,98.50
3468.00,98.50
3467.00,98.49
3466.00,98.48
3465.00,98.47
3464.00,98.46
3463.00,98.46
3462.00,98.46
3461.00,98.45
3460.00,98.45
3459.00,98.43
3458.00,98.42
3457.00,98.41
3456.00,98.41
3455.00,98.40
3454.00,98.40
3453.00,98.39
3452.00,98.39
3451.00,98.38
3450.00,98.38
3449.00,98.37
3448.00,98.37
3447.00,98.36
3446.00,98.36
3445.00,98.35
3444.00,98.35
3443.00,98.35
3442.00,98.36
3441.00,98.37
3440.00,98.37
3439.00,98.38
3438.00,98.39
3437.00,98.39
3436.00,98.39
3435.00,98.39
3434.00,98.39
3433.00,98.39
3432.00,98.40
3431.00,98.40
3430.00,98.41
3429.00,98.41
3428.00,98.40
3427.00,98.41
3426.00,98.41
3425.00,98.42
3424.00,98.43
3423.00,98.43
3422.00,98.44
3421.00,98.45
3420.00,98.45
3419.00,98.46
3418.00,98.47
3417.00,98.47
3416.00,98.48
3415.00,98.49
3414.00,98.50
3413.00,98.50
3412.00,98.51
3411.00,98.52
3410.00,98.52
3409.00,98.52
3408.00,98.52
3407.00,98.53
3406.00,98.53
3405.00,98.53
3404.00,98.54
3403.00,98.54
3402.00,98.55
3401.00,98.55
3400.00,98.55
3399.00,98.55
3398.00,98.55
3397.00,98.55
3396.00,98.55
3395.00,98.55
3394.00,98.56
3393.00,98.56
3392.00,98.56
3391.00,98.56
3390.00,98.56
3389.00,98.56
3388.00,98.56
3387.00,98.55
3386.00,98.55
3385.00,98.55
3384.00,98.56
3383.00,98.56
3382.00,98.57
3381.00,98.57
3380.00,98.57
3379.00,98.57
3378.00,98.57
3377.00,98.56
3376.00,98.56
3375.00,98.56
3374.00,98.56
3373.00,98.56
3372.00,98.56
3371.00,98.56
3370.00,98.57
3369.00,98.57
3368.00,98.57
3367.00,98.57
3366.00,98.57
3365.00,98.57
3364.00,98.57
3363.00,98.57
3362.00,98.57
3361.00,98.57
3360.00,98.57
3359.00,98.57
3358.00,98.57
3357.00,98.57
3356.00,98.57
3355.00,98.57
3354.00,98.57
3353.00,98.57
3352.00,98.57
3351.00,98.57
3350.00,98.57
3349.00,98.57
3348.00,98.57
3347.00,98.57
3346.00,98.57
3345.00,98.57
3344.00,98.57
3343.00,98.57
3342.00,98.57
3341.00,98.58
3340.00,98.58
3339.00,98.58
3338.00,98.58
3337.00,98.57
3336.00,98.56
3335.00,98.56
3334.00,98.55
3333.00,98.56
3332.00,98.56
3331.00,98.56
3330.00,98.56
3329.00,98.56
3328.00,98.56
3327.00,98.56
3326.00,98.57
3325.00,98.58
3324.00,98.58
3323.00,98.58
3322.00,98.58
3321.00,98.57
3320.00,98.57
3319.00,98.58
3318.00,98.58
3317.00,98.58
3316.00,98.58
3315.00,98.58
3314.00,98.57
3313.00,98.57
3312.00,98.57
3311.00,98.57
3310.00,98.57
3309.00,98.57
3308.00,98.57
3307.00,98.57
3306.00,98.57
3305.00,98.57
3304.00,98.57
3303.00,98.57
3302.00,98.57
3301.00,98.57
3300.00,98.57
3299.00,98.57
3298.00,98.57
3297.00,98.57
3296.00,98.57
3295.00,98.57
3294.00,98.58
3293.00,98.58
3292.00,98.58
3291.00,98.58
3290.00,98.57
3289.00,98.57
3288.00,98.57
3287.00,98.57
3286.00,98.56
3285.00,98.56
3284.00,98.56
3283.00,98.56
3282.00,98.56
3281.00,98.56
3280.00,98.57
3279.00,98.57
3278.00,98.57
3277.00,98.57
3276.00,98.56
3275.00,98.56
3274.00,98.56
3273.00,98.56
3272.00,98.56
3271.00,98.56
3270.00,98.56
3269.00,98.56
3268.00,98.56
3267.00,98.55
3266.00,98.55
3265.00,98.56
3264.00,98.56
3263.00,98.56
3262.00,98.56
3261.00,98.56
3260.00,98.55
3259.00,98.55
3258.00,98.54
3257.00,98.54
3256.00,98.55
3255.00,98.55
3254.00,98.56
3253.00,98.56
3252.00,98.56
3251.00,98.56
3250.00,98.56
3249.00,98.55
3248.00,98.55
3247.00,98.55
3246.00,98.55
3245.00,98.55
3244.00,98.55
3243.00,98.55
3242.00,98.56
3241.00,98.56
3240.00,98.56
3239.00,98.56
3238.00,98.55
3237.00,98.55
3236.00,98.55
3235.00,98.55
3234.00,98.56
3233.00,98.56
3232.00,98.57
3231.00,98.57
3230.00,98.56
3229.00,98.56
3228.00,98.56
3227.00,98.56
3226.00,98.56
3225.00,98.55
3224.00,98.55
3223.00,98.54
3222.00,98.55
3221.00,98.55
3220.00,98.55
3219.00,98.55
3218.00,98.55
3217.00,98.55
3216.00,98.55
3215.00,98.55
3214.00,98.55
3213.00,98.55
3212.00,98.55
3211.00,98.55
3210.00,98.55
3209.00,98.55
3208.00,98.54
3207.00,98.54
3206.00,98.54
3205.00,98.54
3204.00,98.54
3203.00,98.54
3202.00,98.54
3201.00,98.54
3200.00,98.54
3199.00,98.54
3198.00,98.54
3197.00,98.54
3196.00,98.55
3195.00,98.55
3194.00,98.55
3193.00,98.55
3192.00,98.55
3191.00,98.55
3190.00,98.54
3189.00,98.54
3188.00,98.53
3187.00,98.53
3186.00,98.53
3185.00,98.53
3184.00,98.53
3183.00,98.54
3182.00,98.54
3181.00,98.54
3180.00,98.53
3179.00,98.53
3178.00,98.53
3177.00,98.53
3176.00,98.53
3175.00,98.53
3174.00,98.53
3173.00,98.53
3172.00,98.53
3171.00,98.53
3170.00,98.52
3169.00,98.52
3168.00,98.53
3167.00,98.53
3166.00,98.53
3165.00,98.53
3164.00,98.53
3163.00,98.52
3162.00,98.52
3161.00,98.52
3160.00,98.52
3159.00,98.53
3158.00,98.53
3157.00,98.52
3156.00,98.52
3155.00,98.52
3154.00,98.52
3153.00,98.52
3152.00,98.53
3151.00,98.53
3150.00,98.53
3149.00,98.53
3148.00,98.53
3147.00,98.53
3146.00,98.53
3145.00,98.53
3144.00,98.53
3143.00,98.53
3142.00,98.53
3141.00,98.53
3140.00,98.53
3139.00,98.53
3138.00,98.53
3137.00,98.53
3136.00,98.53
3135.00,98.53
3134.00,98.53
3133.00,98.53
3132.00,98.53
3131.00,98.52
3130.00,98.52
3129.00,98.52
3128.00,98.52
3127.00,98.52
3126.00,98.51
3125.00,98.51
3124.00,98.51
3123.00,98.51
3122.00,98.51
3121.00,98.51
3120.00,98.51
3119.00,98.51
3118.00,98.51
3117.00,98.51
3116.00,98.51
3115.00,98.51
3114.00,98.51
3113.00,98.51
3112.00,98.51
3111.00,98.51
3110.00,98.51
3109.00,98.51
3108.00,98.51
3107.00,98.51
3106.00,98.51
3105.00,98.50
3104.00,98.50
3103.00,98.50
3102.00,98.50
3101.00,98.50
3100.00,98.50
3099.00,98.50
3098.00,98.50
3097.00,98.50
3096.00,98.50
3095.00,98.50
3094.00,98.50
3093.00,98.50
3092.00,98.50
3091.00,98.49
3090.00,98.49
3089.00,98.49
3088.00,98.49
3087.00,98.49
3086.00,98.49
3085.00,98.49
3084.00,98.49
3083.00,98.49
3082.00,98.48
3081.00,98.48
3080.00,98.47
3079.00,98.47
3078.00,98.47
3077.00,98.47
3076.00,98.47
3075.00,98.46
3074.00,98.46
3073.00,98.46
3072.00,98.46
3071.00,98.45
3070.00,98.45
3069.00,98.44
3068.00,98.44
3067.00,98.44
3066.00,98.43
3065.00,98.42
3064.00,98.42
3063.00,98.41
