Created as New Dataset,Acrylic Red
cm-1,%T
4000.00,98.90
3999.00,98.89
3998.00,98.89
3997.00,98.89
3996.00,98.89
3995.00,98.89
3994.00,98.89
3993.00,98.89
3992.00,98.89
3991.00,98.89
3990.00,98.90
3989.00,98.90
3988.00,98.90
3987.00,98.90
3986.00,98.90
3985.00,98.90
3984.00,98.90
3983.00,98.90
3982.00,98.90
3981.00,98.89
3980.00,98.89
3979.00,98.89
3978.00,98.89
3977.00,98.89
3976.00,98.89
3975.00,98.90
3974.00,98.90
3973.00,98.90
3972.00,98.90
3971.00,98.90
3970.00,98.90
3969.00,98.90
3968.00,98.90
3967.00,98.90
3966.00,98.91
3965.00,98.90
3964.00,98.90
3963.00,98.90
3962.00,98.90
3961.00,98.89
3960.00,98.89
3959.00,98.89
3958.00,98.89
3957.00,98.89
3956.00,98.88
3955.00,98.88
3954.00,98.88
3953.00,98.89
3952.00,98.89
3951.00,98.89
3950.00,98.89
3949.00,98.89
3948.00,98.89
3947.00,98.88
3946.00,98.88
3945.00,98.88
3944.00,98.87
3943.00,98.87
3942.00,98.87
3941.00,98.87
3940.00,98.88
3939.00,98.88
3938.00,98.89
3937.00,98.89
3936.00,98.89
3935.00,98.89
3934.00,98.89
3933.00,98.88
3932.00,98.88
3931.00,98.88
3930.00,98.87
3929.00,98.88
3928.00,98.88
3927.00,98.88
3926.00,98.88
3925.00,98.88
3924.00,98.88
3923.00,98.88
3922.00,98.88
3921.00,98.88
3920.00,98.88
3919.00,98.88
3918.00,98.88
3917.00,98.88
3916.00,98.88
3915.00,98.88
3914.00,98.88
3913.00,98.88
3912.00,98.88
3911.00,98.88
3910.00,98.88
3909.00,98.88
3908.00,98.88
3907.00,98.88
3906.00,98.87
3905.00,98.87
3904.00,98.87
3903.00,98.87
3902.00,98.87
3901.00,98.87
3900.00,98.87
3899.00,98.87
3898.00,98.87
3897.00,98.87
3896.00,98.87
3895.00,98.88
3894.00,98.88
3893.00,98.88
3892.00,98.88
3891.00,98.88
3890.00,98.88
3889.00,98.88
3888.00,98.88
3887.00,98.87
3886.00,98.87
3885.00,98.87
3884.00,98.87
3883.00,98.87
3882.00,98.87
3881.00,98.87
3880.00,98.87
3879.00,98.87
3878.00,98.87
3877.00,98.87
3876.00,98.87
3875.00,98.87
3874.00,98.87
3873.00,98.86
3872.00,98.86
3871.00,98.85
3870.00,98.86
3869.00,98.86
3868.00,98.86
3867.00,98.86
3866.00,98.86
3865.00,98.86
3864.00,98.86
3863.00,98.86
3862.00,98.86
3861.00,98.86
3860.00,98.86
3859.00,98.86
3858.00,98.86
3857.00,98.86
3856.00,98.86
3855.00,98.86
3854.00,98.85
3853.00,98.85
3852.00,98.85
3851.00,98.85
3850.00,98.85
3849.00,98.85
3848.00,98.85
3847.00,98.86
3846.00,98.86
3845.00,98.86
3844.00,98.86
3843.00,98.86
3842.00,98.86
3841.00,98.85
3840.00,98.84
3839.00,98.83
3838.00,98.83
3837.00,98.83
3836.00,98.84
3835.00,98.84
3834.00,98.84
3833.00,98.84
3832.00,98.84
3831.00,98.85
3830.00,98.85
3829.00,98.85
3828.00,98.85
3827.00,98.85
3826.00,98.85
3825.00,98.84
3824.00,98.84
3823.00,98.84
3822.00,98.83
3821.00,98.84
3820.00,98.84
3819.00,98.84
3818.00,98.84
3817.00,98.83
3816.00,98.83
3815.00,98.84
3814.00,98.84
3813.00,98.84
3812.00,98.84
3811.00,98.84
3810.00,98.85
3809.00,98.84
3808.00,98.84
3807.00,98.84
3806.00,98.84
3805.00,98.84
3804.00,98.84
3803.00,98.84
3802.00,98.83
3801.00,98.83
3800.00,98.83
3799.00,98.83
3798.00,98.83
3797.00,98.84
3796.00,98.84
3795.00,98.85
3794.00,98.85
3793.00,98.84
3792.00,98.84
3791.00,98.84
3790.00,98.85
3789.00,98.84
3788.00,98.84
3787.00,98.84
3786.00,98.84
3785.00,98.83
3784.00,98.83
3783.00,98.84
3782.00,98.84
3781.00,98.83
3780.00,98.83
3779.00,98.83
3778.00,98.83
3777.00,98.83
3776.00,98.83
3775.00,98.83
3774.00,98.83
3773.00,98.83
3772.00,98.83
3771.00,98.83
3770.00,98.83
3769.00,98.83
3768.00,98.83
3767.00,98.82
3766.00,98.82
3765.00,98.82
3764.00,98.82
3763.00,98.82
3762.00,98.82
3761.00,98.82
3760.00,98.82
3759.00,98.82
3758.00,98.81
3757.00,98.81
3756.00,98.81
3755.00,98.80
3754.00,98.80
3753.00,98.80
3752.00,98.80
3751.00,98.80
3750.00,98.79
3749.00,98.79
3748.00,98.80
3747.00,98.80
3746.00,98.79
3745.00,98.79
3744.00,98.80
3743.00,98.80
3742.00,98.80
3741.00,98.80
3740.00,98.80
3739.00,98.80
3738.00,98.81
3737.00,98.81
3736.00,98.81
3735.00,98.81
3734.00,98.81
