Created as New Dataset,Acrylic Blue
cm-1,%T
4000.00,99.44
3999.00,99.44
3998.00,99.44
3997.00,99.44
3996.00,99.44
3995.00,99.43
3994.00,99.43
3993.00,99.43
3992.00,99.43
3991.00,99.43
3990.00,99.43
3989.00,99.43
3988.00,99.43
3987.00,99.43
3986.00,99.43
3985.00,99.43
3984.00,99.43
3983.00,99.43
3982.00,99.43
3981.00,99.44
3980.00,99.44
3979.00,99.44
3978.00,99.43
3977.00,99.43
3976.00,99.43
3975.00,99.43
3974.00,99.43
3973.00,99.43
3972.00,99.43
3971.00,99.43
3970.00,99.43
3969.00,99.43
3968.00,99.43
3967.00,99.43
3966.00,99.43
3965.00,99.43
3964.00,99.43
3963.00,99.43
3962.00,99.43
3961.00,99.43
3960.00,99.43
3959.00,99.43
3958.00,99.43
3957.00,99.43
3956.00,99.43
3955.00,99.43
3954.00,99.44
3953.00,99.44
3952.00,99.44
3951.00,99.43
3950.00,99.43
3949.00,99.43
3948.00,99.43
3947.00,99.43
3946.00,99.43
3945.00,99.43
3944.00,99.43
3943.00,99.43
3942.00,99.42
3941.00,99.42
3940.00,99.42
3939.00,99.42
3938.00,99.43
3937.00,99.43
3936.00,99.44
3935.00,99.44
3934.00,99.44
3933.00,99.44
3932.00,99.44
3931.00,99.44
3930.00,99.44
3929.00,99.43
3928.00,99.43
3927.00,99.43
3926.00,99.43
3925.00,99.43
3924.00,99.43
3923.00,99.44
3922.00,99.44
3921.00,99.44
3920.00,99.44
3919.00,99.44
3918.00,99.43
3917.00,99.43
3916.00,99.43
3915.00,99.43
3914.00,99.43
3913.00,99.43
3912.00,99.43
3911.00,99.43
3910.00,99.43
3909.00,99.43
3908.00,99.43
3907.00,99.43
3906.00,99.43
3905.00,99.43
3904.00,99.43
3903.00,99.43
3902.00,99.43
3901.00,99.43
3900.00,99.43
3899.00,99.43
3898.00,99.43
3897.00,99.43
3896.00,99.43
3895.00,99.43
3894.00,99.43
3893.00,99.43
3892.00,99.43
3891.00,99.43
3890.00,99.43
3889.00,99.43
3888.00,99.44
3887.00,99.44
3886.00,99.43
3885.00,99.43
3884.00,99.43
3883.00,99.43
3882.00,99.42
3881.00,99.42
3880.00,99.43
3879.00,99.43
3878.00,99.43
3877.00,99.42
3876.00,99.42
3875.00,99.42
3874.00,99.42
3873.00,99.42
3872.00,99.42
3871.00,99.42
3870.00,99.42
3869.00,99.42
3868.00,99.42
3867.00,99.42
3866.00,99.42
3865.00,99.42
3864.00,99.42
3863.00,99.42
3862.00,99.42
3861.00,99.42
3860.00,99.42
3859.00,99.42
3858.00,99.43
3857.00,99.43
3856.00,99.42
3855.00,99.42
3854.00,99.42
3853.00,99.42
3852.00,99.42
3851.00,99.42
3850.00,99.41
3849.00,99.41
3848.00,99.41
3847.00,99.41
3846.00,99.41
3845.00,99.41
3844.00,99.41
3843.00,99.42
3842.00,99.42
3841.00,99.42
3840.00,99.42
3839.00,99.42
3838.00,99.42
3837.00,99.41
3836.00,99.40
3835.00,99.40
3834.00,99.40
3833.00,99.40
3832.00,99.41
3831.00,99.41
3830.00,99.41
3829.00,99.40
3828.00,99.40
3827.00,99.40
3826.00,99.40
3825.00,99.40
3824.00,99.40
3823.00,99.40
3822.00,99.40
3821.00,99.40
3820.00,99.40
3819.00,99.40
3818.00,99.40
3817.00,99.39
3816.00,99.40
3815.00,99.40
3814.00,99.40
3813.00,99.40
3812.00,99.40
3811.00,99.41
3810.00,99.41
3809.00,99.41
3808.00,99.41
3807.00,99.40
3806.00,99.40
3805.00,99.40
3804.00,99.40
3803.00,99.40
3802.00,99.40
3801.00,99.41
3800.00,99.41
3799.00,99.40
3798.00,99.40
3797.00,99.40
3796.00,99.40
3795.00,99.40
3794.00,99.40
3793.00,99.40
3792.00,99.40
3791.00,99.40
3790.00,99.40
3789.00,99.40
3788.00,99.40
3787.00,99.40
3786.00,99.40
3785.00,99.40
3784.00,99.39
3783.00,99.39
3782.00,99.39
3781.00,99.39
3780.00,99.39
3779.00,99.39
3778.00,99.39
3777.00,99.39
3776.00,99.38
3775.00,99.38
3774.00,99.38
3773.00,99.38
3772.00,99.38
3771.00,99.38
3770.00,99.39
3769.00,99.39
3768.00,99.38
3767.00,99.38
3766.00,99.38
3765.00,99.38
3764.00,99.38
3763.00,99.38
3762.00,99.38
3761.00,99.38
3760.00,99.38
3759.00,99.39
3758.00,99.39
3757.00,99.39
3756.00,99.38
3755.00,99.38
3754.00,99.38
3753.00,99.38
3752.00,99.38
3751.00,99.38
3750.00,99.38
3749.00,99.38
3748.00,99.38
3747.00,99.38
3746.00,99.38
3745.00,99.38
3744.00,99.38
3743.00,99.38
3742.00,99.38
3741.00,99.38
3740.00,99.38
3739.00,99.38
3738.00,99.37
3737.00,99.37
3736.00,99.38
3735.00,99.38
3734.00,99.39
3733.00,99.38
3732.00,99.38
3731.00,99.38
3730.00,99.38
3729.00,99.38
3728.00,99.39
3727.00,99.39
3726.00,99.40
3725.00,99.39
3724.00,99.39
3723.00,99.38
3722.00,99.38
3721.00,99.38
3720.00,99.38
3719.00,99.38
3718.00,99.37
3717.00,99.37
3716.00,99.38
3715.00,99.38
3714.00,99.37
3713.00,99.37
3712.00,99.37
3711.00,99.37
3710.00,99.37
3709.00,99.37
3708.00,99.37
3707.00,99.37
3706.00,99.37
3705.00,99.37
3704.00,99.37
3703.00,99.38
3702.00,99.37
3701.00,99.37
3700.00,99.37
3699.00,99.37
3698.00,99.37
3697.00,99.37
3696.00,99.37
3695.00,99.38
3694.00,99.38
3693.00,99.38
3692.00,99.37
3691.00,99.37
3690.00,99.36
3689.00,99.36
3688.00,99.36
3687.00,99.37
3686.00,99.37
3685.00,99.36
3684.00,99.36
3683.00,99.36
3682.00,99.35
3681.00,99.35
3680.00,99.35
3679.00,99.34
3678.00,99.34
3677.00,99.33
3676.00,99.33
3675.00,99.33
3674.00,99.33
3673.00,99.32
3672.00,99.32
3671.00,99.31
3670.00,99.32
3669.00,99.32
3668.00,99.32
3667.00,99.31
3666.00,99.31
3665.00,99.31
3664.00,99.31
3663.00,99.31
3662.00,99.31
3661.00,99.31
3660.00,99.31
3659.00,99.30
3658.00,99.30
3657.00,99.29
3656.00,99.29
3655.00,99.29
3654.00,99.29
3653.00,99.29
3652.00,99.28
3651.00,99.28
3650.00,99.27
3649.00,99.27
3648.00,99.26
3647.00,99.26
3646.00,99.26
3645.00,99.26
3644.00,99.27
3643.00,99.27
3642.00,99.27
3641.00,99.27
3640.00,99.27
3639.00,99.26
3638.00,99.26
3637.00,99.25
3636.00,99.25
3635.00,99.25
3634.00,99.26
3633.00,99.26
3632.00,99.26
3631.00,99.26
3630.00,99.26
3629.00,99.26
3628.00,99.26
3627.00,99.26
3626.00,99.25
3625.00,99.25
3624.00,99.25
3623.00,99.25
3622.00,99.25
3621.00,99.25
3620.00,99.26
3619.00,99.26
3618.00,99.26
3617.00,99.26
3616.00,99.26
3615.00,99.26
3614.00,99.25
3613.00,99.25
3612.00,99.25
3611.00,99.26
3610.00,99.26
3609.00,99.26
3608.00,99.26
3607.00,99.27
3606.00,99.27
3605.00,99.27
3604.00,99.28
3603.00,99.28
3602.00,99.28
3601.00,99.28
3600.00,99.29
3599.00,99.29
3598.00,99.29
3597.00,99.30
3596.00,99.30
3595.00,99.30
3594.00,99.30
3593.00,99.30
3592.00,99.30
3591.00,99.30
3590.00,99.31
3589.00,99.31
3588.00,99.31
3587.00,99.31
3586.00,99.32
3585.00,99.32
3584.00,99.32
3583.00,99.32
3582.00,99.32
3581.00,99.32
3580.00,99.32
3579.00,99.32
3578.00,99.32
3577.00,99.32
3576.00,99.32
3575.00,99.32
3574.00,99.32
3573.00,99.31
3572.00,99.31
3571.00,99.31
3570.00,99.32
3569.00,99.31
3568.00,99.31
3567.00,99.31
3566.00,99.30
3565.00,99.30
3564.00,99.30
3563.00,99.30
3562.00,99.31
3561.00,99.30
3560.00,99.30
3559.00,99.29
3558.00,99.29
3557.00,99.29
3556.00,99.29
3555.00,99.29
3554.00,99.28
3553.00,99.28
3552.00,99.29
3551.00,99.29
3550.00,99.29
3549.00,99.29
3548.00,99.29
3547.00,99.29
3546.00,99.29
3545.00,99.29
3544.00,99.29
3543.00,99.29
3542.00,99.30
3541.00,99.30
3540.00,99.30
3539.00,99.30
3538.00,99.30
3537.00,99.29
3536.00,99.29
3535.00,99.30
3534.00,99.30
3533.00,99.30
3532.00,99.30
3531.00,99.31
3530.00,99.31
3529.00,99.32
3528.00,99.32
3527.00,99.32
3526.00,99.32
3525.00,99.31
3524.00,99.31
3523.00,99.31
3522.00,99.32
3521.00,99.32
3520.00,99.32
3519.00,99.33
3518.00,99.33
3517.00,99.33
3516.00,99.33
3515.00,99.33
3514.00,99.33
3513.00,99.33
3512.00,99.33
3511.00,99.33
3510.00,99.33
3509.00,99.33
3508.00,99.33
3507.00,99.34
3506.00,99.34
3505.00,99.35
3504.00,99.35
3503.00,99.35
3502.00,99.34
3501.00,99.34
3500.00,99.33
3499.00,99.33
3498.00,99.33
3497.00,99.33
3496.00,99.33
3495.00,99.33
3494.00,99.33
3493.00,99.33
3492.00,99.33
3491.00,99.33
3490.00,99.32
3489.00,99.33
3488.00,99.33
3487.00,99.33
3486.00,99.34
3485.00,99.34
3484.00,99.34
3483.00,99.34
3482.00,99.34
3481.00,99.34
3480.00,99.34
3479.00,99.33
3478.00,99.32
3477.00,99.32
3476.00,99.32
3475.00,99.32
3474.00,99.32
3473.00,99.32
3472.00,99.33
3471.00,99.33
3470.00,99.34
3469.00,99.34
3468.00,99.33
3467.00,99.32
3466.00,99.30
3465.00,99.30
3464.00,99.30
3463.00,99.30
3462.00,99.30
3461.00,99.29
3460.00,99.29
3459.00,99.28
3458.00,99.27
3457.00,99.27
3456.00,99.26
3455.00,99.26
3454.00,99.26
3453.00,99.26
3452.00,99.26
3451.00,99.26
3450.00,99.26
3449.00,99.26
3448.00,99.26
3447.00,99.25
3446.00,99.25
3445.00,99.25
3444.00,99.24
3443.00,99.24
3442.00,99.23
3441.00,99.23
3440.00,99.24
3439.00,99.24
3438.00,99.24
3437.00,99.24
3436.00,99.24
3435.00,99.25
3434.00,99.25
3433.00,99.25
3432.00,99.26
3431.00,99.26
3430.00,99.27
3429.00,99.27
3428.00,99.27
3427.00,99.27
3426.00,99.28
3425.00,99.28
3424.00,99.29
3423.00,99.29
3422.00,99.30
3421.00,99.30
3420.00,99.30
3419.00,99.30
3418.00,99.30
3417.00,99.31
3416.00,99.31
3415.00,99.32
3414.00,99.32
3413.00,99.32
3412.00,99.33
3411.00,99.33
3410.00,99.34
3409.00,99.34
3408.00,99.34
3407.00,99.35
3406.00,99.35
3405.00,99.35
3404.00,99.36
3403.00,99.36
3402.00,99.36
3401.00,99.37
3400.00,99.37
3399.00,99.36
3398.00,99.36
3397.00,99.36
3396.00,99.36
3395.00,99.36
3394.00,99.36
3393.00,99.36
3392.00,99.36
3391.00,99.37
3390.00,99.37
3389.00,99.37
3388.00,99.37
3387.00,99.37
3386.00,99.37
3385.00,99.36
3384.00,99.36
3383.00,99.36
3382.00,99.36
3381.00,99.36
3380.00,99.36
3379.00,99.37
3378.00,99.37
3377.00,99.37
3376.00,99.37
3375.00,99.37
3374.00,99.37
3373.00,99.37
3372.00,99.38
3371.00,99.38
3370.00,99.38
3369.00,99.38
3368.00,99.38
3367.00,99.38
3366.00,99.38
3365.00,99.37
3364.00,99.37
3363.00,99.38
3362.00,99.38
3361.00,99.38
3360.00,99.37
3359.00,99.37
3358.00,99.37
3357.00,99.37
3356.00,99.37
3355.00,99.37
3354.00,99.37
3353.00,99.37
3352.00,99.38
3351.00,99.38
3350.00,99.37
3349.00,99.37
3348.00,99.37
3347.00,99.37
3346.00,99.37
3345.00,99.37
3344.00,99.37
3343.00,99.38
3342.00,99.38
3341.00,99.38
3340.00,99.38
3339.00,99.38
3338.00,99.38
3337.00,99.38
3336.00,99.38
3335.00,99.38
3334.00,99.38
3333.00,99.37
3332.00,99.37
3331.00,99.37
3330.00,99.37
3329.00,99.37
3328.00,99.37
3327.00,99.37
3326.00,99.37
3325.00,99.37
3324.00,99.37
3323.00,99.37
3322.00,99.37
3321.00,99.37
3320.00,99.38
3319.00,99.38
3318.00,99.38
3317.00,99.38
3316.00,99.38
3315.00,99.38
3314.00,99.38
3313.00,99.38
3312.00,99.38
3311.00,99.38
3310.00,99.38
3309.00,99.39
3308.00,99.39
3307.00,99.38
3306.00,99.38
3305.00,99.37
3304.00,99.37
3303.00,99.37
3302.00,99.37
3301.00,99.37
3300.00,99.37
3299.00,99.38
3298.00,99.38
3297.00,99.38
3296.00,99.38
3295.00,99.38
3294.00,99.38
3293.00,99.38
3292.00,99.38
3291.00,99.38
3290.00,99.38
3289.00,99.38
3288.00,99.38
3287.00,99.37
3286.00,99.37
3285.00,99.37
3284.00,99.37
3283.00,99.38
3282.00,99.38
3281.00,99.38
3280.00,99.37
3279.00,99.37
3278.00,99.38
3277.00,99.38
3276.00,99.38
3275.00,99.38
3274.00,99.38
3273.00,99.38
3272.00,99.37
3271.00,99.37
3270.00,99.37
3269.00,99.37
3268.00,99.38
3267.00,99.38
3266.00,99.38
3265.00,99.38
3264.00,99.38
3263.00,99.37
3262.00,99.37
3261.00,99.37
3260.00,99.37
3259.00,99.37
3258.00,99.37
3257.00,99.37
3256.00,99.37
3255.00,99.37
3254.00,99.37
3253.00,99.36
3252.00,99.36
3251.00,99.36
3250.00,99.36
3249.00,99.36
3248.00,99.36
3247.00,99.36
3246.00,99.36
3245.00,99.36
3244.00,99.36
3243.00,99.37
3242.00,99.37
3241.00,99.37
3240.00,99.37
3239.00,99.37
3238.00,99.37
3237.00,99.37
3236.00,99.37
3235.00,99.37
3234.00,99.38
3233.00,99.38
3232.00,99.38
3231.00,99.38
3230.00,99.37
3229.00,99.37
3228.00,99.37
3227.00,99.37
3226.00,99.37
3225.00,99.36
3224.00,99.36
3223.00,99.36
3222.00,99.36
3221.00,99.36
3220.00,99.36
3219.00,99.36
3218.00,99.36
3217.00,99.36
3216.00,99.37
3215.00,99.37
3214.00,99.37
3213.00,99.36
3212.00,99.36
3211.00,99.36
3210.00,99.36
3209.00,99.36
3208.00,99.36
3207.00,99.36
3206.00,99.36
3205.00,99.35
3204.00,99.35
3203.00,99.36
3202.00,99.36
3201.00,99.36
3200.00,99.36
3199.00,99.36
3198.00,99.36
3197.00,99.35
3196.00,99.35
3195.00,99.35
3194.00,99.35
3193.00,99.35
3192.00,99.36
3191.00,99.36
3190.00,99.36
3189.00,99.36
3188.00,99.35
3187.00,99.35
3186.00,99.35
3185.00,99.35
3184.00,99.35
3183.00,99.35
3182.00,99.35
3181.00,99.35
3180.00,99.35
3179.00,99.35
3178.00,99.35
3177.00,99.35
3176.00,99.35
3175.00,99.35
3174.00,99.35
3173.00,99.35
3172.00,99.35
3171.00,99.35
3170.00,99.35
3169.00,99.35
3168.00,99.35
3167.00,99.34
3166.00,99.34
3165.00,99.34
3164.00,99.34
3163.00,99.35
3162.00,99.35
3161.00,99.35
3160.00,99.35
3159.00,99.35
3158.00,99.34
3157.00,99.34
3156.00,99.35
3155.00,99.35
3154.00,99.35
3153.00,99.35
3152.00,99.35
3151.00,99.35
3150.00,99.35
3149.00,99.34
3148.00,99.34
3147.00,99.34
3146.00,99.35
3145.00,99.35
3144.00,99.35
3143.00,99.35
3142.00,99.35
3141.00,99.34
3140.00,99.34
3139.00,99.34
3138.00,99.34
3137.00,99.34
3136.00,99.34
3135.00,99.35
3134.00,99.35
3133.00,99.35
3132.00,99.34
3131.00,99.34
3130.00,99.34
3129.00,99.34
3128.00,99.33
3127.00,99.33
3126.00,99.33
3125.00,99.33
3124.00,99.34
3123.00,99.34
3122.00,99.33
3121.00,99.33
3120.00,99.33
3119.00,99.33
3118.00,99.34
3117.00,99.34
3116.00,99.34
3115.00,99.34
3114.00,99.33
3113.00,99.33
3112.00,99.33
3111.00,99.32
3110.00,99.32
3109.00,99.32
3108.00,99.32
3107.00,99.32
3106.00,99.32
3105.00,99.31
3104.00,99.31
3103.00,99.31
3102.00,99.31
3101.00,99.31
3100.00,99.32
3099.00,99.32
3098.00,99.32
3097.00,99.31
3096.00,99.31
3095.00,99.30
3094.00,99.30
3093.00,99.30
3092.00,99.30
3091.00,99.29
3090.00,99.29
3089.00,99.28
3088.00,99.28
3087.00,99.28
3086.00,99.28
3085.00,99.28
3084.00,99.28
3083.00,99.28
3082.00,99.28
3081.00,99.28
3080.00,99.28
3079.00,99.28
3078.00,99.28
3077.00,99.28
3076.00,99.28
3075.00,99.28
3074.00,99.27
3073.00,99.27
3072.00,99.26
3071.00,99.26
3070.00,99.25
3069.00,99.25
3068.00,99.24
3067.00,99.24
3066.00,99.24
3065.00,99.23
3064.00,99.23
3063.00,99.22
3062.00,99.21
3061.00,99.21
3060.00,99.21
3059.00,99.20
3058.00,99.20
3057.00,99.20
3056.00,99.19
3055.00,99.19
3054.00,99.18
3053.00,99.17
3052.00,99.16
3051.00,99.15
3050.00,99.13
3049.00,99.12
3048.00,99.11
3047.00,99.09
3046.00,99.08
3045.00,99.06
3044.00,99.04
3043.00,99.03
3042.00,99.01
3041.00,98.99
3040.00,98.97
3039.00,98.94
3038.00,98.91
3037.00,98.88
3036.00,98.85
3035.00,98.82
3034.00,98.78
3033.00,98.75
3032.00,98.71
3031.00,98.68
3030.00,98.64
3029.00,98.61
3028.00,98.58
3027.00,98.54
3026.00,98.51
3025.00,98.48
3024.00,98.46
3023.00,98.43
3022.00,98.40
3021.00,98.38
3020.00,98.35
3019.00,98.31
3018.00,98.28
3017.00,98.24
3016.00,98.21
3015.00,98.18
3014.00,98.14
3013.00,98.10
3012.00,98.06
3011.00,98.01
3010.00,97.97
3009.00,97.92
3008.00,97.87
3007.00,97.83
3006.00,97.78
3005.00,97.73
3004.00,97.69
3003.00,97.65
3002.00,97.61
3001.00,97.57
3000.00,97.54
2999.00,97.51
2998.00,97.49
2997.00,97.47
2996.00,97.46
2995.00,97.45
2994.00,97.45
2993.00,97.45
2992.00,97.46
2991.00,97.48
2990.00,97.50
2989.00,97.53
2988.00,97.56
2987.00,97.60
2986.00,97.65
2985.00,97.69
2984.00,97.74
2983.00,97.79
2982.00,97.83
2981.00,97.88
2980.00,97.93
2979.00,97.97
2978.00,98.01
2977.00,98.04
2976.00,98.06
2975.00,98.07
2974.00,98.08
2973.00,98.07
2972.00,98.06
2971.00,98.04
2970.00,98.00
2969.00,97.96
2968.00,97.90
2967.00,97.84
2966.00,97.77
2965.00,97.68
2964.00,97.59
2963.00,97.49
2962.00,97.39
2961.00,97.27
2960.00,97.15
2959.00,97.02
2958.00,96.89
2957.00,96.77
2956.00,96.64
2955.00,96.52
2954.00,96.42
2953.00,96.33
2952.00,96.27
2951.00,96.24
2950.00,96.23
2949.00,96.26
2948.00,96.31
2947.00,96.40
2946.00,96.50
2945.00,96.61
2944.00,96.73
2943.00,96.85
2942.00,96.95
2941.00,97.05
2940.00,97.13
2939.00,97.20
2938.00,97.26
2937.00,97.30
2936.00,97.34
2935.00,97.37
2934.00,97.41
2933.00,97.44
2932.00,97.47
2931.00,97.50
2930.00,97.52
2929.00,97.55
2928.00,97.57
2927.00,97.60
2926.00,97.62
2925.00,97.65
2924.00,97.67
2923.00,97.70
2922.00,97.72
2921.00,97.75
2920.00,97.78
2919.00,97.80
2918.00,97.83
2917.00,97.85
2916.00,97.88
2915.00,97.90
2914.00,97.92
2913.00,97.94
2912.00,97.96
2911.00,97.98
2910.00,98.01
2909.00,98.03
2908.00,98.06
2907.00,98.08
2906.00,98.11
2905.00,98.13
2904.00,98.16
2903.00,98.19
2902.00,98.21
2901.00,98.24
2900.00,98.26
2899.00,98.28
2898.00,98.31
2897.00,98.33
2896.00,98.35
2895.00,98.37
2894.00,98.39
2893.00,98.40
2892.00,98.41
2891.00,98.43
2890.00,98.45
2889.00,98.46
2888.00,98.48
2887.00,98.49
2886.00,98.51
2885.00,98.53
2884.00,98.55
2883.00,98.57
2882.00,98.59
2881.00,98.61
2880.00,98.63
2879.00,98.65
2878.00,98.67
2877.00,98.69
2876.00,98.71
2875.00,98.74
2874.00,98.75
2873.00,98.77
2872.00,98.78
2871.00,98.80
2870.00,98.81
2869.00,98.82
2868.00,98.84
