Created as New Dataset,Acrylic Green
cm-1,%T
4000.00,99.02
3999.00,99.03
3998.00,99.03
3997.00,99.03
3996.00,99.04
3995.00,99.04
3994.00,99.04
3993.00,99.03
3992.00,99.03
3991.00,99.03
3990.00,99.03
3989.00,99.03
3988.00,99.03
3987.00,99.03
3986.00,99.03
3985.00,99.03
3984.00,99.03
3983.00,99.03
3982.00,99.03
3981.00,99.03
3980.00,99.03
3979.00,99.03
3978.00,99.03
3977.00,99.03
3976.00,99.04
3975.00,99.04
3974.00,99.04
3973.00,99.03
3972.00,99.03
3971.00,99.03
3970.00,99.03
3969.00,99.03
3968.00,99.03
3967.00,99.03
3966.00,99.03
3965.00,99.03
3964.00,99.04
3963.00,99.04
3962.00,99.04
3961.00,99.04
3960.00,99.04
3959.00,99.04
3958.00,99.03
3957.00,99.03
3956.00,99.03
3955.00,99.03
3954.00,99.03
3953.00,99.03
3952.00,99.03
3951.00,99.03
3950.00,99.03
3949.00,99.03
3948.00,99.03
3947.00,99.03
3946.00,99.02
3945.00,99.02
3944.00,99.02
3943.00,99.02
3942.00,99.02
3941.00,99.02
3940.00,99.02
3939.00,99.02
3938.00,99.02
3937.00,99.02
3936.00,99.02
3935.00,99.02
3934.00,99.02
3933.00,99.02
3932.00,99.02
3931.00,99.02
3930.00,99.01
3929.00,99.01
3928.00,99.01
3927.00,99.01
3926.00,99.02
3925.00,99.02
3924.00,99.02
3923.00,99.02
3922.00,99.02
3921.00,99.03
3920.00,99.03
3919.00,99.03
3918.00,99.03
3917.00,99.03
3916.00,99.03
3915.00,99.03
3914.00,99.03
3913.00,99.03
3912.00,99.03
3911.00,99.03
3910.00,99.03
3909.00,99.02
3908.00,99.02
3907.00,99.02
3906.00,99.02
3905.00,99.01
3904.00,99.01
3903.00,99.00
3902.00,99.00
3901.00,99.00
3900.00,99.01
3899.00,99.01
3898.00,99.01
3897.00,99.01
3896.00,99.01
3895.00,99.01
3894.00,99.01
3893.00,99.01
3892.00,99.01
3891.00,99.02
3890.00,99.02
3889.00,99.02
3888.00,99.02
3887.00,99.02
3886.00,99.02
3885.00,99.01
3884.00,99.01
3883.00,99.01
3882.00,99.02
3881.00,99.02
3880.00,99.02
3879.00,99.01
3878.00,99.01
3877.00,99.01
3876.00,99.01
3875.00,99.01
3874.00,99.01
3873.00,99.00
3872.00,98.99
3871.00,98.99
3870.00,98.99
3869.00,98.99
3868.00,98.99
3867.00,99.00
3866.00,99.00
3865.00,99.00
3864.00,99.00
3863.00,99.01
3862.00,99.01
3861.00,99.01
3860.00,99.01
3859.00,99.01
3858.00,99.00
3857.00,99.00
3856.00,99.00
3855.00,99.00
3854.00,99.00
3853.00,99.00
3852.00,99.00
3851.00,99.00
3850.00,99.00
3849.00,99.00
3848.00,99.00
3847.00,99.00
3846.00,99.00
3845.00,99.00
3844.00,99.00
3843.00,98.99
3842.00,98.99
3841.00,98.99
3840.00,98.99
3839.00,98.99
3838.00,98.99
3837.00,98.99
3836.00,98.99
3835.00,98.99
3834.00,99.00
3833.00,99.00
3832.00,99.00
3831.00,99.00
3830.00,98.99
3829.00,98.99
3828.00,98.99
3827.00,98.99
3826.00,98.99
3825.00,98.98
3824.00,98.98
3823.00,98.98
3822.00,98.98
3821.00,98.98
3820.00,98.98
3819.00,98.98
3818.00,98.98
3817.00,98.98
3816.00,98.99
3815.00,98.99
3814.00,98.98
3813.00,98.99
3812.00,98.99
3811.00,98.99
3810.00,98.99
3809.00,98.99
3808.00,98.99
3807.00,98.99
3806.00,98.99
3805.00,98.98
3804.00,98.97
3803.00,98.97
3802.00,98.97
3801.00,98.97
3800.00,98.96
3799.00,98.96
3798.00,98.97
3797.00,98.97
3796.00,98.98
3795.00,98.98
3794.00,98.99
3793.00,98.99
3792.00,98.99
3791.00,98.99
3790.00,98.99
3789.00,98.99
3788.00,98.98
3787.00,98.98
3786.00,98.98
3785.00,98.98
3784.00,98.98
3783.00,98.98
3782.00,98.98
3781.00,98.98
3780.00,98.98
3779.00,98.98
3778.00,98.98
3777.00,98.98
3776.00,98.98
3775.00,98.98
3774.00,98.98
3773.00,98.97
3772.00,98.97
3771.00,98.98
3770.00,98.98
3769.00,98.98
3768.00,98.97
3767.00,98.97
3766.00,98.96
3765.00,98.96
3764.00,98.95
3763.00,98.95
3762.00,98.95
3761.00,98.95
3760.00,98.95
3759.00,98.96
3758.00,98.96
3757.00,98.96
3756.00,98.95
3755.00,98.95
3754.00,98.94
3753.00,98.94
3752.00,98.94
3751.00,98.94
3750.00,98.93
3749.00,98.93
3748.00,98.92
3747.00,98.92
3746.00,98.93
3745.00,98.94
3744.00,98.94
3743.00,98.94
3742.00,98.94
3741.00,98.94
3740.00,98.94
3739.00,98.94
3738.00,98.94
3737.00,98.95
3736.00,98.95
3735.00,98.95
3734.00,98.95
3733.00,98.95
3732.00,98.96
3731.00,98.96
3730.00,98.97
3729.00,98.97
3728.00,98.97
3727.00,98.97
3726.00,98.98
3725.00,98.98
3724.00,98.98
3723.00,98.98
3722.00,98.98
3721.00,98.98
3720.00,98.97
3719.00,98.97
3718.00,98.96
3717.00,98.96
3716.00,98.95
3715.00,98.94
3714.00,98.94
3713.00,98.94
3712.00,98.95
3711.00,98.96
3710.00,98.96
3709.00,98.96
3708.00,98.96
3707.00,98.96
3706.00,98.97
3705.00,98.97
3704.00,98.97
3703.00,98.97
3702.00,98.97
3701.00,98.97
3700.00,98.97
3699.00,98.97
3698.00,98.97
3697.00,98.96
3696.00,98.96
3695.00,98.95
3694.00,98.95
3693.00,98.94
3692.00,98.94
3691.00,98.94
3690.00,98.93
3689.00,98.93
3688.00,98.92
3687.00,98.91
3686.00,98.90
3685.00,98.90
3684.00,98.89
3683.00,98.89
3682.00,98.88
3681.00,98.88
3680.00,98.88
3679.00,98.87
3678.00,98.87
3677.00,98.86
3676.00,98.85
3675.00,98.85
3674.00,98.84
3673.00,98.83
3672.00,98.83
3671.00,98.82
3670.00,98.82
3669.00,98.81
3668.00,98.81
3667.00,98.81
3666.00,98.81
3665.00,98.81
3664.00,98.80
3663.00,98.80
3662.00,98.80
3661.00,98.79
3660.00,98.79
3659.00,98.79
3658.00,98.79
3657.00,98.78
3656.00,98.77
3655.00,98.76
3654.00,98.75
3653.00,98.74
3652.00,98.73
3651.00,98.72
3650.00,98.71
3649.00,98.71
3648.00,98.70
3647.00,98.70
3646.00,98.71
3645.00,98.71
3644.00,98.71
3643.00,98.71
3642.00,98.71
3641.00,98.71
3640.00,98.71
3639.00,98.71
3638.00,98.70
3637.00,98.70
3636.00,98.69
3635.00,98.69
3634.00,98.68
3633.00,98.68
3632.00,98.68
3631.00,98.68
3630.00,98.68
3629.00,98.68
3628.00,98.68
3627.00,98.68
3626.00,98.68
3625.00,98.69
3624.00,98.69
3623.00,98.69
3622.00,98.69
3621.00,98.69
3620.00,98.69
3619.00,98.69
3618.00,98.68
3617.00,98.68
3616.00,98.68
3615.00,98.68
3614.00,98.68
3613.00,98.68
3612.00,98.68
3611.00,98.68
3610.00,98.69
3609.00,98.69
3608.00,98.70
3607.00,98.70
3606.00,98.71
3605.00,98.72
3604.00,98.72
3603.00,98.73
3602.00,98.73
3601.00,98.74
3600.00,98.74
3599.00,98.74
3598.00,98.75
3597.00,98.75
3596.00,98.76
3595.00,98.76
3594.00,98.76
3593.00,98.76
3592.00,98.77
3591.00,98.77
3590.00,98.77
3589.00,98.77
3588.00,98.78
3587.00,98.79
3586.00,98.80
3585.00,98.80
3584.00,98.81
3583.00,98.80
3582.00,98.80
3581.00,98.80
3580.00,98.80
3579.00,98.80
3578.00,98.80
3577.00,98.80
3576.00,98.80
3575.00,98.80
3574.00,98.80
3573.00,98.80
3572.00,98.80
3571.00,98.79
3570.00,98.78
3569.00,98.78
3568.00,98.77
3567.00,98.77
3566.00,98.76
3565.00,98.76
3564.00,98.76
3563.00,98.76
3562.00,98.76
3561.00,98.76
3560.00,98.76
3559.00,98.76
