Created as New Dataset,PP 12kDa Sigma
cm-1,%T
4000.00,99.06
3999.00,99.06
3998.00,99.06
3997.00,99.06
3996.00,99.06
3995.00,99.06
3994.00,99.06
3993.00,99.05
3992.00,99.05
3991.00,99.06
3990.00,99.06
3989.00,99.06
3988.00,99.07
3987.00,99.07
3986.00,99.07
3985.00,99.07
3984.00,99.07
3983.00,99.07
3982.00,99.07
3981.00,99.07
3980.00,99.07
3979.00,99.07
3978.00,99.07
3977.00,99.07
3976.00,99.08
3975.00,99.08
3974.00,99.08
3973.00,99.09
3972.00,99.09
3971.00,99.09
3970.00,99.09
3969.00,99.09
3968.00,99.09
3967.00,99.09
3966.00,99.08
3965.00,99.08
3964.00,99.08
3963.00,99.08
3962.00,99.08
3961.00,99.08
3960.00,99.08
3959.00,99.08
3958.00,99.08
3957.00,99.08
3956.00,99.09
3955.00,99.09
3954.00,99.09
3953.00,99.09
3952.00,99.09
3951.00,99.09
3950.00,99.09
3949.00,99.09
3948.00,99.09
3947.00,99.09
3946.00,99.09
3945.00,99.09
3944.00,99.09
3943.00,99.09
3942.00,99.09
3941.00,99.09
3940.00,99.09
3939.00,99.09
3938.00,99.09
3937.00,99.09
3936.00,99.08
3935.00,99.08
3934.00,99.08
3933.00,99.08
3932.00,99.08
3931.00,99.08
3930.00,99.07
3929.00,99.07
3928.00,99.07
3927.00,99.07
3926.00,99.07
3925.00,99.07
3924.00,99.07
3923.00,99.07
3922.00,99.07
3921.00,99.07
3920.00,99.08
3919.00,99.08
3918.00,99.08
3917.00,99.08
3916.00,99.07
3915.00,99.08
3914.00,99.08
3913.00,99.08
3912.00,99.08
3911.00,99.08
3910.00,99.08
3909.00,99.08
3908.00,99.08
3907.00,99.09
3906.00,99.09
3905.00,99.09
3904.00,99.09
3903.00,99.09
3902.00,99.09
3901.00,99.09
3900.00,99.09
3899.00,99.08
3898.00,99.08
3897.00,99.08
3896.00,99.08
3895.00,99.08
3894.00,99.08
3893.00,99.08
3892.00,99.08
3891.00,99.08
3890.00,99.08
3889.00,99.08
3888.00,99.09
3887.00,99.08
3886.00,99.08
3885.00,99.08
3884.00,99.08
3883.00,99.08
3882.00,99.08
3881.00,99.07
3880.00,99.06
3879.00,99.06
3878.00,99.07
3877.00,99.07
3876.00,99.07
3875.00,99.07
3874.00,99.07
3873.00,99.08
3872.00,99.08
3871.00,99.08
3870.00,99.08
3869.00,99.07
3868.00,99.08
3867.00,99.08
3866.00,99.08
3865.00,99.08
3864.00,99.08
3863.00,99.08
3862.00,99.08
3861.00,99.08
3860.00,99.08
3859.00,99.08
3858.00,99.08
3857.00,99.09
3856.00,99.10
3855.00,99.11
3854.00,99.11
3853.00,99.11
3852.00,99.11
3851.00,99.12
3850.00,99.12
3849.00,99.10
3848.00,99.09
3847.00,99.08
3846.00,99.07
3845.00,99.07
3844.00,99.07
3843.00,99.07
3842.00,99.07
3841.00,99.07
3840.00,99.07
3839.00,99.07
3838.00,99.08
3837.00,99.08
3836.00,99.08
3835.00,99.08
3834.00,99.08
3833.00,99.08
3832.00,99.07
3831.00,99.07
3830.00,99.06
3829.00,99.06
3828.00,99.07
3827.00,99.06
3826.00,99.06
3825.00,99.07
3824.00,99.07
3823.00,99.08
3822.00,99.07
3821.00,99.07
3820.00,99.07
3819.00,99.07
3818.00,99.07
3817.00,99.07
3816.00,99.07
3815.00,99.07
3814.00,99.07
3813.00,99.07
3812.00,99.07
3811.00,99.06
3810.00,99.06
3809.00,99.07
3808.00,99.06
3807.00,99.06
3806.00,99.06
3805.00,99.06
3804.00,99.06
3803.00,99.06
3802.00,99.06
3801.00,99.06
3800.00,99.06
3799.00,99.06
3798.00,99.06
3797.00,99.05
3796.00,99.05
3795.00,99.05
3794.00,99.05
3793.00,99.05
3792.00,99.05
3791.00,99.04
3790.00,99.04
3789.00,99.04
3788.00,99.04
3787.00,99.04
3786.00,99.04
3785.00,99.04
3784.00,99.03
3783.00,99.04
3782.00,99.04
3781.00,99.03
3780.00,99.03
3779.00,99.03
3778.00,99.03
3777.00,99.03
3776.00,99.03
3775.00,99.03
3774.00,99.03
3773.00,99.03
3772.00,99.02
3771.00,99.02
3770.00,99.02
3769.00,99.02
3768.00,99.02
3767.00,99.02
3766.00,99.02
3765.00,99.01
3764.00,99.01
3763.00,99.00
3762.00,99.00
3761.00,99.01
3760.00,99.01
3759.00,99.01
3758.00,99.01
3757.00,99.01
3756.00,99.02
3755.00,99.03
3754.00,99.03
3753.00,99.04
3752.00,99.04
3751.00,99.03
3750.00,99.03
3749.00,99.03
3748.00,99.04
3747.00,99.04
3746.00,99.04
3745.00,99.04
3744.00,99.04
3743.00,99.05
3742.00,99.05
3741.00,99.05
3740.00,99.04
3739.00,99.04
3738.00,99.04
3737.00,99.04
3736.00,99.05
3735.00,99.05
3734.00,99.06
3733.00,99.06
3732.00,99.06
3731.00,99.06
3730.00,99.06
3729.00,99.06
3728.00,99.06
3727.00,99.06
3726.00,99.05
3725.00,99.05
3724.00,99.06
3723.00,99.06
3722.00,99.06
3721.00,99.06
3720.00,99.06
3719.00,99.06
3718.00,99.05
3717.00,99.04
3716.00,99.04
3715.00,99.04
3714.00,99.05
3713.00,99.05
3712.00,99.06
3711.00,99.06
3710.00,99.06
3709.00,99.06
3708.00,99.06
3707.00,99.07
3706.00,99.07
3705.00,99.07
3704.00,99.07
3703.00,99.07
3702.00,99.07
3701.00,99.07
3700.00,99.07
3699.00,99.07
3698.00,99.07
3697.00,99.07
3696.00,99.06
3695.00,99.06
3694.00,99.06
3693.00,99.07
3692.00,99.07
3691.00,99.06
3690.00,99.06
3689.00,99.06
3688.00,99.06
3687.00,99.07
3686.00,99.07
3685.00,99.07
3684.00,99.06
3683.00,99.07
3682.00,99.07
3681.00,99.07
3680.00,99.08
3679.00,99.08
3678.00,99.08
3677.00,99.08
3676.00,99.08
3675.00,99.07
3674.00,99.08
3673.00,99.09
3672.00,99.09
3671.00,99.09
3670.00,99.08
3669.00,99.08
3668.00,99.09
3667.00,99.09
3666.00,99.09
3665.00,99.08
3664.00,99.08
3663.00,99.07
3662.00,99.07
3661.00,99.07
3660.00,99.08
3659.00,99.08
3658.00,99.08
3657.00,99.08
3656.00,99.07
3655.00,99.08
3654.00,99.08
3653.00,99.10
3652.00,99.11
3651.00,99.12
3650.00,99.12
3649.00,99.11
3648.00,99.11
3647.00,99.10
3646.00,99.10
3645.00,99.09
3644.00,99.08
3643.00,99.08
3642.00,99.08
3641.00,99.08
3640.00,99.08
3639.00,99.08
3638.00,99.08
3637.00,99.08
3636.00,99.09
3635.00,99.09
3634.00,99.09
3633.00,99.10
3632.00,99.11
3631.00,99.12
3630.00,99.12
3629.00,99.12
3628.00,99.12
3627.00,99.12
3626.00,99.12
3625.00,99.12
3624.00,99.12
3623.00,99.11
3622.00,99.11
3621.00,99.12
3620.00,99.12
3619.00,99.12
3618.00,99.12
3617.00,99.12
3616.00,99.12
3615.00,99.11
3614.00,99.11
3613.00,99.11
3612.00,99.10
3611.00,99.10
3610.00,99.10
3609.00,99.10
3608.00,99.10
3607.00,99.11
3606.00,99.11
3605.00,99.11
3604.00,99.11
3603.00,99.11
3602.00,99.11
3601.00,99.11
3600.00,99.11
3599.00,99.11
3598.00,99.11
3597.00,99.12
3596.00,99.12
3595.00,99.12
3594.00,99.12
3593.00,99.12
3592.00,99.12
3591.00,99.12
3590.00,99.12
3589.00,99.12
3588.00,99.12
3587.00,99.12
3586.00,99.12
3585.00,99.13
3584.00,99.13
3583.00,99.13
3582.00,99.12
3581.00,99.12
3580.00,99.11
3579.00,99.11
3578.00,99.11
3577.00,99.12
3576.00,99.12
3575.00,99.12
3574.00,99.12
3573.00,99.12
3572.00,99.12
3571.00,99.12
3570.00,99.12
3569.00,99.12
3568.00,99.11
3567.00,99.11
3566.00,99.10
3565.00,99.10
3564.00,99.10
3563.00,99.10
3562.00,99.10
3561.00,99.10
3560.00,99.10
3559.00,99.10
3558.00,99.10
3557.00,99.10
3556.00,99.10
3555.00,99.11
