Created as New Dataset,PP amporphous Sigma
cm-1,%T
4000.00,99.82
3999.00,99.82
3998.00,99.82
3997.00,99.82
3996.00,99.82
3995.00,99.82
3994.00,99.82
3993.00,99.82
3992.00,99.83
3991.00,99.83
3990.00,99.83
3989.00,99.84
3988.00,99.84
3987.00,99.84
3986.00,99.84
3985.00,99.84
3984.00,99.85
3983.00,99.85
3982.00,99.85
3981.00,99.85
3980.00,99.85
3979.00,99.84
3978.00,99.85
3977.00,99.85
3976.00,99.85
3975.00,99.85
3974.00,99.85
3973.00,99.86
3972.00,99.86
3971.00,99.86
3970.00,99.86
3969.00,99.86
3968.00,99.86
3967.00,99.86
3966.00,99.86
3965.00,99.86
3964.00,99.86
3963.00,99.86
3962.00,99.86
3961.00,99.86
3960.00,99.86
3959.00,99.86
3958.00,99.86
3957.00,99.86
3956.00,99.86
3955.00,99.86
3954.00,99.86
3953.00,99.86
3952.00,99.86
3951.00,99.86
3950.00,99.86
3949.00,99.86
3948.00,99.86
3947.00,99.86
3946.00,99.86
3945.00,99.86
3944.00,99.86
3943.00,99.86
3942.00,99.86
3941.00,99.86
3940.00,99.85
3939.00,99.85
3938.00,99.84
3937.00,99.84
3936.00,99.85
3935.00,99.85
3934.00,99.85
3933.00,99.85
3932.00,99.85
3931.00,99.85
3930.00,99.85
3929.00,99.85
3928.00,99.85
3927.00,99.85
3926.00,99.84
3925.00,99.84
3924.00,99.84
3923.00,99.84
3922.00,99.84
3921.00,99.84
3920.00,99.85
3919.00,99.84
3918.00,99.84
3917.00,99.84
3916.00,99.85
3915.00,99.85
3914.00,99.85
3913.00,99.85
3912.00,99.85
3911.00,99.85
3910.00,99.84
3909.00,99.85
3908.00,99.85
3907.00,99.85
3906.00,99.85
3905.00,99.84
3904.00,99.84
3903.00,99.84
3902.00,99.84
3901.00,99.84
3900.00,99.84
3899.00,99.84
3898.00,99.85
3897.00,99.85
3896.00,99.85
3895.00,99.85
3894.00,99.85
3893.00,99.85
3892.00,99.85
3891.00,99.85
3890.00,99.86
3889.00,99.86
3888.00,99.85
3887.00,99.85
3886.00,99.85
3885.00,99.85
3884.00,99.85
3883.00,99.84
3882.00,99.84
3881.00,99.85
3880.00,99.85
3879.00,99.85
3878.00,99.85
3877.00,99.85
3876.00,99.85
3875.00,99.85
3874.00,99.85
3873.00,99.85
3872.00,99.85
3871.00,99.86
3870.00,99.86
3869.00,99.86
3868.00,99.86
3867.00,99.85
3866.00,99.85
3865.00,99.86
3864.00,99.86
3863.00,99.86
3862.00,99.85
3861.00,99.85
3860.00,99.85
3859.00,99.86
3858.00,99.86
3857.00,99.86
3856.00,99.85
3855.00,99.85
3854.00,99.85
3853.00,99.86
3852.00,99.86
3851.00,99.86
3850.00,99.86
3849.00,99.86
3848.00,99.86
3847.00,99.86
3846.00,99.86
3845.00,99.86
3844.00,99.86
3843.00,99.86
3842.00,99.85
3841.00,99.85
3840.00,99.85
3839.00,99.85
3838.00,99.85
3837.00,99.86
3836.00,99.86
3835.00,99.86
3834.00,99.86
3833.00,99.86
3832.00,99.86
3831.00,99.86
3830.00,99.86
3829.00,99.86
3828.00,99.86
3827.00,99.86
3826.00,99.86
3825.00,99.86
3824.00,99.86
3823.00,99.86
3822.00,99.86
3821.00,99.87
3820.00,99.87
3819.00,99.87
3818.00,99.86
3817.00,99.86
3816.00,99.86
3815.00,99.87
3814.00,99.87
3813.00,99.87
3812.00,99.87
3811.00,99.87
3810.00,99.86
3809.00,99.86
3808.00,99.86
3807.00,99.86
3806.00,99.87
3805.00,99.86
3804.00,99.86
3803.00,99.85
3802.00,99.85
3801.00,99.85
3800.00,99.86
3799.00,99.86
3798.00,99.86
3797.00,99.86
3796.00,99.86
3795.00,99.86
3794.00,99.85
3793.00,99.85
3792.00,99.85
3791.00,99.85
3790.00,99.85
3789.00,99.86
3788.00,99.86
3787.00,99.86
3786.00,99.86
3785.00,99.86
3784.00,99.86
3783.00,99.86
3782.00,99.86
3781.00,99.86
3780.00,99.86
3779.00,99.86
3778.00,99.87
3777.00,99.87
3776.00,99.87
3775.00,99.87
3774.00,99.87
3773.00,99.86
3772.00,99.86
3771.00,99.86
3770.00,99.86
3769.00,99.85
3768.00,99.85
3767.00,99.85
3766.00,99.85
3765.00,99.85
3764.00,99.85
3763.00,99.85
3762.00,99.85
3761.00,99.85
3760.00,99.85
3759.00,99.85
3758.00,99.85
3757.00,99.85
3756.00,99.85
3755.00,99.85
3754.00,99.85
3753.00,99.85
3752.00,99.85
3751.00,99.85
3750.00,99.86
3749.00,99.86
3748.00,99.86
3747.00,99.86
3746.00,99.86
3745.00,99.86
3744.00,99.86
3743.00,99.86
3742.00,99.86
3741.00,99.86
3740.00,99.86
3739.00,99.85
3738.00,99.85
3737.00,99.86
3736.00,99.86
3735.00,99.86
3734.00,99.86
3733.00,99.86
3732.00,99.86
3731.00,99.87
3730.00,99.87
3729.00,99.87
3728.00,99.87
3727.00,99.86
3726.00,99.86
3725.00,99.86
3724.00,99.86
3723.00,99.87
3722.00,99.87
3721.00,99.88
3720.00,99.88
