Created as New Dataset,PP 250 kDa Sigma
cm-1,%T
4000.00,99.10
3999.00,99.10
3998.00,99.09
3997.00,99.09
3996.00,99.09
3995.00,99.09
3994.00,99.09
3993.00,99.09
3992.00,99.09
3991.00,99.10
3990.00,99.10
3989.00,99.10
3988.00,99.10
3987.00,99.10
3986.00,99.10
3985.00,99.10
3984.00,99.10
3983.00,99.11
3982.00,99.11
3981.00,99.11
3980.00,99.11
3979.00,99.11
3978.00,99.10
3977.00,99.10
3976.00,99.10
3975.00,99.10
3974.00,99.10
3973.00,99.10
3972.00,99.10
3971.00,99.10
3970.00,99.10
3969.00,99.10
3968.00,99.10
3967.00,99.10
3966.00,99.10
3965.00,99.10
3964.00,99.10
3963.00,99.10
3962.00,99.10
3961.00,99.10
3960.00,99.10
3959.00,99.10
3958.00,99.10
3957.00,99.10
3956.00,99.10
3955.00,99.10
3954.00,99.11
3953.00,99.11
3952.00,99.11
3951.00,99.11
3950.00,99.11
3949.00,99.11
3948.00,99.11
3947.00,99.11
3946.00,99.10
3945.00,99.10
3944.00,99.10
3943.00,99.10
3942.00,99.10
3941.00,99.10
3940.00,99.10
3939.00,99.09
3938.00,99.09
3937.00,99.09
3936.00,99.09
3935.00,99.09
3934.00,99.09
3933.00,99.09
3932.00,99.10
3931.00,99.10
3930.00,99.09
3929.00,99.09
3928.00,99.09
3927.00,99.09
3926.00,99.09
3925.00,99.09
3924.00,99.09
3923.00,99.09
3922.00,99.09
3921.00,99.09
3920.00,99.09
3919.00,99.09
3918.00,99.09
3917.00,99.09
3916.00,99.09
3915.00,99.09
3914.00,99.09
3913.00,99.09
3912.00,99.09
3911.00,99.09
3910.00,99.09
3909.00,99.09
3908.00,99.09
3907.00,99.09
3906.00,99.10
3905.00,99.10
3904.00,99.09
3903.00,99.09
3902.00,99.09
3901.00,99.09
3900.00,99.09
3899.00,99.09
3898.00,99.09
3897.00,99.08
3896.00,99.08
3895.00,99.08
3894.00,99.09
3893.00,99.09
3892.00,99.08
3891.00,99.08
3890.00,99.08
3889.00,99.08
3888.00,99.08
3887.00,99.07
3886.00,99.08
3885.00,99.08
3884.00,99.08
3883.00,99.08
3882.00,99.08
3881.00,99.08
3880.00,99.08
3879.00,99.08
3878.00,99.08
3877.00,99.08
3876.00,99.07
3875.00,99.08
3874.00,99.08
3873.00,99.08
3872.00,99.07
3871.00,99.07
3870.00,99.07
3869.00,99.08
3868.00,99.08
3867.00,99.07
3866.00,99.07
3865.00,99.07
3864.00,99.07
3863.00,99.07
3862.00,99.07
3861.00,99.07
3860.00,99.07
3859.00,99.07
3858.00,99.07
3857.00,99.07
3856.00,99.07
3855.00,99.06
3854.00,99.06
3853.00,99.06
3852.00,99.06
3851.00,99.06
3850.00,99.06
3849.00,99.06
3848.00,99.06
3847.00,99.06
3846.00,99.07
3845.00,99.07
3844.00,99.07
3843.00,99.07
3842.00,99.07
3841.00,99.07
3840.00,99.07
3839.00,99.06
3838.00,99.06
3837.00,99.06
3836.00,99.05
3835.00,99.05
3834.00,99.05
3833.00,99.05
3832.00,99.05
3831.00,99.06
3830.00,99.06
3829.00,99.05
3828.00,99.05
3827.00,99.05
3826.00,99.06
3825.00,99.06
3824.00,99.05
3823.00,99.05
3822.00,99.04
3821.00,99.05
3820.00,99.05
3819.00,99.05
3818.00,99.04
3817.00,99.04
3816.00,99.04
3815.00,99.05
3814.00,99.05
3813.00,99.05
3812.00,99.05
3811.00,99.05
3810.00,99.05
3809.00,99.04
3808.00,99.04
3807.00,99.04
3806.00,99.04
3805.00,99.04
3804.00,99.04
3803.00,99.03
3802.00,99.03
3801.00,99.03
3800.00,99.03
3799.00,99.03
3798.00,99.03
3797.00,99.03
3796.00,99.04
3795.00,99.04
3794.00,99.04
3793.00,99.04
3792.00,99.04
3791.00,99.04
3790.00,99.04
3789.00,99.04
3788.00,99.04
3787.00,99.04
3786.00,99.03
3785.00,99.03
3784.00,99.03
3783.00,99.03
3782.00,99.03
3781.00,99.03
3780.00,99.03
3779.00,99.03
3778.00,99.03
3777.00,99.03
3776.00,99.03
3775.00,99.03
3774.00,99.03
3773.00,99.03
3772.00,99.03
3771.00,99.02
3770.00,99.02
3769.00,99.02
3768.00,99.02
3767.00,99.02
3766.00,99.01
3765.00,99.02
3764.00,99.02
3763.00,99.02
3762.00,99.01
3761.00,99.01
3760.00,99.01
3759.00,99.01
3758.00,99.01
3757.00,99.01
3756.00,99.01
3755.00,99.01
3754.00,99.01
3753.00,99.01
3752.00,99.01
3751.00,99.01
3750.00,99.01
3749.00,99.01
3748.00,99.01
3747.00,99.00
3746.00,99.00
3745.00,99.00
3744.00,99.01
3743.00,99.01
3742.00,99.01
3741.00,99.01
3740.00,99.02
3739.00,99.02
3738.00,99.03
3737.00,99.03
3736.00,99.03
3735.00,99.02
3734.00,99.02
3733.00,99.02
3732.00,99.02
3731.00,99.02
3730.00,99.03
3729.00,99.03
3728.00,99.03
3727.00,99.03
3726.00,99.03
3725.00,99.03
3724.00,99.03
3723.00,99.03
3722.00,99.03
3721.00,99.02
3720.00,99.02
3719.00,99.01
3718.00,99.01
3717.00,99.02
3716.00,99.02
3715.00,99.02
3714.00,99.02
3713.00,99.02
3712.00,99.02
3711.00,99.02
3710.00,99.03
3709.00,99.03
3708.00,99.03
3707.00,99.03
3706.00,99.03
3705.00,99.04
3704.00,99.04
3703.00,99.04
3702.00,99.03
3701.00,99.03
3700.00,99.03
3699.00,99.03
3698.00,99.03
3697.00,99.03
3696.00,99.03
3695.00,99.03
3694.00,99.03
3693.00,99.03
3692.00,99.03
3691.00,99.03
3690.00,99.03
3689.00,99.03
3688.00,99.03
3687.00,99.03
3686.00,99.03
3685.00,99.03
3684.00,99.02
3683.00,99.02
3682.00,99.03
3681.00,99.03
3680.00,99.03
3679.00,99.04
3678.00,99.04
3677.00,99.03
3676.00,99.03
3675.00,99.04
3674.00,99.04
3673.00,99.03
3672.00,99.02
3671.00,99.02
3670.00,99.02
3669.00,99.03
3668.00,99.03
3667.00,99.04
3666.00,99.04
3665.00,99.04
3664.00,99.04
3663.00,99.04
3662.00,99.04
3661.00,99.04
3660.00,99.04
3659.00,99.04
3658.00,99.04
3657.00,99.04
3656.00,99.04
3655.00,99.04
3654.00,99.04
3653.00,99.04
3652.00,99.03
3651.00,99.03
3650.00,99.03
3649.00,99.03
3648.00,99.03
3647.00,99.03
3646.00,99.04
3645.00,99.05
3644.00,99.05
3643.00,99.05
3642.00,99.06
3641.00,99.06
3640.00,99.05
3639.00,99.05
3638.00,99.05
3637.00,99.05
3636.00,99.05
3635.00,99.05
3634.00,99.05
3633.00,99.06
3632.00,99.05
3631.00,99.05
3630.00,99.05
3629.00,99.05
3628.00,99.06
3627.00,99.06
3626.00,99.07
3625.00,99.07
3624.00,99.07
3623.00,99.07
3622.00,99.06
3621.00,99.06
3620.00,99.06
3619.00,99.07
3618.00,99.07
3617.00,99.07
3616.00,99.07
3615.00,99.07
3614.00,99.07
3613.00,99.07
3612.00,99.06
3611.00,99.06
3610.00,99.06
3609.00,99.06
3608.00,99.07
3607.00,99.07
3606.00,99.07
3605.00,99.06
3604.00,99.06
3603.00,99.07
3602.00,99.07
3601.00,99.07
3600.00,99.07
3599.00,99.07
3598.00,99.06
3597.00,99.06
3596.00,99.07
3595.00,99.07
3594.00,99.07
3593.00,99.07
3592.00,99.07
3591.00,99.07
3590.00,99.08
3589.00,99.08
3588.00,99.08
3587.00,99.09
3586.00,99.08
3585.00,99.08
3584.00,99.08
3583.00,99.08
3582.00,99.08
3581.00,99.08
3580.00,99.08
3579.00,99.08
3578.00,99.07
3577.00,99.07
3576.00,99.07
3575.00,99.07
3574.00,99.07
3573.00,99.08
3572.00,99.08
3571.00,99.08
3570.00,99.08
3569.00,99.08
3568.00,99.08
3567.00,99.08
3566.00,99.08
3565.00,99.07
3564.00,99.07
3563.00,99.08
3562.00,99.08
3561.00,99.08
3560.00,99.08
3559.00,99.07
3558.00,99.07
3557.00,99.07
3556.00,99.07
3555.00,99.07
3554.00,99.07
3553.00,99.06
3552.00,99.06
3551.00,99.06
3550.00,99.06
3549.00,99.06
3548.00,99.06
3547.00,99.07
3546.00,99.07
3545.00,99.07
3544.00,99.07
3543.00,99.07
3542.00,99.07
3541.00,99.07
3540.00,99.07
3539.00,99.06
3538.00,99.06
