Created as New Dataset,PP film GF
cm-1,%T
4000.00,99.82
3999.00,99.82
3998.00,99.82
3997.00,99.82
3996.00,99.82
3995.00,99.82
3994.00,99.82
3993.00,99.82
3992.00,99.82
3991.00,99.82
3990.00,99.82
3989.00,99.82
3988.00,99.83
3987.00,99.83
3986.00,99.83
3985.00,99.83
3984.00,99.84
3983.00,99.84
3982.00,99.84
3981.00,99.84
3980.00,99.84
3979.00,99.84
3978.00,99.84
3977.00,99.84
3976.00,99.85
3975.00,99.85
3974.00,99.85
3973.00,99.85
3972.00,99.85
3971.00,99.85
3970.00,99.85
3969.00,99.85
3968.00,99.85
3967.00,99.85
3966.00,99.85
3965.00,99.85
3964.00,99.85
3963.00,99.85
3962.00,99.85
3961.00,99.85
3960.00,99.85
3959.00,99.85
3958.00,99.85
3957.00,99.85
3956.00,99.85
3955.00,99.85
3954.00,99.85
3953.00,99.85
3952.00,99.85
3951.00,99.86
3950.00,99.86
3949.00,99.85
3948.00,99.85
3947.00,99.85
3946.00,99.85
3945.00,99.85
3944.00,99.86
3943.00,99.85
3942.00,99.85
3941.00,99.85
3940.00,99.85
3939.00,99.85
3938.00,99.84
3937.00,99.84
3936.00,99.84
3935.00,99.84
3934.00,99.84
3933.00,99.84
3932.00,99.84
3931.00,99.84
3930.00,99.84
3929.00,99.84
3928.00,99.84
3927.00,99.84
3926.00,99.84
3925.00,99.84
3924.00,99.83
3923.00,99.83
3922.00,99.83
3921.00,99.83
3920.00,99.83
3919.00,99.84
3918.00,99.84
3917.00,99.84
3916.00,99.84
3915.00,99.84
3914.00,99.84
3913.00,99.84
3912.00,99.84
3911.00,99.84
3910.00,99.84
3909.00,99.84
3908.00,99.84
3907.00,99.84
3906.00,99.84
3905.00,99.83
3904.00,99.83
3903.00,99.83
3902.00,99.83
3901.00,99.83
3900.00,99.84
3899.00,99.84
3898.00,99.84
3897.00,99.85
3896.00,99.85
3895.00,99.84
3894.00,99.84
3893.00,99.84
3892.00,99.84
3891.00,99.84
3890.00,99.84
3889.00,99.84
3888.00,99.84
3887.00,99.84
3886.00,99.84
3885.00,99.83
3884.00,99.82
3883.00,99.82
3882.00,99.83
3881.00,99.83
3880.00,99.83
3879.00,99.83
3878.00,99.82
3877.00,99.82
3876.00,99.82
3875.00,99.82
3874.00,99.82
3873.00,99.82
3872.00,99.82
3871.00,99.82
3870.00,99.82
3869.00,99.82
3868.00,99.82
3867.00,99.83
3866.00,99.83
3865.00,99.84
3864.00,99.84
3863.00,99.84
3862.00,99.84
3861.00,99.84
3860.00,99.84
3859.00,99.84
3858.00,99.83
3857.00,99.83
3856.00,99.82
3855.00,99.82
3854.00,99.82
3853.00,99.82
3852.00,99.82
3851.00,99.82
3850.00,99.83
3849.00,99.83
3848.00,99.83
3847.00,99.83
3846.00,99.83
3845.00,99.83
3844.00,99.83
3843.00,99.82
3842.00,99.82
3841.00,99.82
3840.00,99.81
3839.00,99.81
3838.00,99.81
3837.00,99.82
3836.00,99.82
3835.00,99.82
3834.00,99.82
3833.00,99.82
3832.00,99.83
3831.00,99.83
3830.00,99.83
3829.00,99.83
3828.00,99.83
3827.00,99.82
3826.00,99.82
3825.00,99.82
3824.00,99.82
3823.00,99.82
3822.00,99.82
3821.00,99.81
3820.00,99.81
3819.00,99.81
3818.00,99.81
3817.00,99.82
3816.00,99.82
3815.00,99.83
3814.00,99.83
3813.00,99.83
3812.00,99.82
3811.00,99.82
3810.00,99.82
3809.00,99.82
3808.00,99.82
3807.00,99.82
3806.00,99.82
3805.00,99.81
3804.00,99.81
3803.00,99.81
3802.00,99.81
3801.00,99.81
3800.00,99.81
3799.00,99.81
3798.00,99.82
3797.00,99.82
3796.00,99.82
3795.00,99.83
3794.00,99.83
3793.00,99.83
3792.00,99.83
3791.00,99.82
3790.00,99.82
3789.00,99.82
3788.00,99.82
3787.00,99.82
3786.00,99.82
3785.00,99.82
3784.00,99.82
3783.00,99.81
3782.00,99.81
3781.00,99.81
3780.00,99.81
3779.00,99.81
3778.00,99.81
3777.00,99.81
3776.00,99.81
3775.00,99.81
3774.00,99.81
3773.00,99.80
3772.00,99.80
3771.00,99.79
3770.00,99.79
3769.00,99.78
3768.00,99.78
3767.00,99.78
3766.00,99.79
3765.00,99.79
3764.00,99.79
3763.00,99.78
3762.00,99.78
3761.00,99.78
3760.00,99.78
3759.00,99.78
3758.00,99.78
3757.00,99.78
3756.00,99.78
3755.00,99.77
3754.00,99.77
3753.00,99.76
3752.00,99.76
3751.00,99.77
3750.00,99.77
3749.00,99.78
3748.00,99.78
3747.00,99.79
3746.00,99.79
3745.00,99.80
3744.00,99.80
3743.00,99.79
3742.00,99.79
3741.00,99.79
3740.00,99.79
3739.00,99.79
3738.00,99.80
3737.00,99.80
3736.00,99.80
3735.00,99.80
3734.00,99.81
3733.00,99.81
3732.00,99.82
3731.00,99.83
3730.00,99.83
3729.00,99.82
3728.00,99.82
3727.00,99.82
3726.00,99.82
3725.00,99.82
3724.00,99.82
3723.00,99.82
3722.00,99.82
3721.00,99.82
3720.00,99.82
3719.00,99.82
