Created as New Dataset,PS 280kDa Sigma
cm-1,%T
4000.00,96.72
3999.00,96.73
3998.00,96.73
3997.00,96.73
3996.00,96.73
3995.00,96.73
3994.00,96.73
3993.00,96.73
3992.00,96.73
3991.00,96.74
3990.00,96.74
3989.00,96.74
3988.00,96.74
3987.00,96.74
3986.00,96.74
3985.00,96.74
3984.00,96.74
3983.00,96.74
3982.00,96.74
3981.00,96.74
3980.00,96.74
3979.00,96.74
3978.00,96.73
3977.00,96.73
3976.00,96.72
3975.00,96.72
3974.00,96.72
3973.00,96.72
3972.00,96.72
3971.00,96.73
3970.00,96.73
3969.00,96.73
3968.00,96.73
3967.00,96.73
3966.00,96.73
3965.00,96.73
3964.00,96.73
3963.00,96.73
3962.00,96.73
3961.00,96.73
3960.00,96.73
3959.00,96.73
3958.00,96.73
3957.00,96.73
3956.00,96.73
3955.00,96.73
3954.00,96.72
3953.00,96.72
3952.00,96.72
3951.00,96.72
3950.00,96.72
3949.00,96.72
3948.00,96.72
3947.00,96.72
3946.00,96.72
3945.00,96.72
3944.00,96.71
3943.00,96.71
3942.00,96.71
3941.00,96.72
3940.00,96.72
3939.00,96.72
3938.00,96.72
3937.00,96.71
3936.00,96.71
3935.00,96.71
3934.00,96.71
3933.00,96.71
3932.00,96.71
3931.00,96.71
3930.00,96.71
3929.00,96.71
3928.00,96.71
3927.00,96.71
3926.00,96.71
3925.00,96.70
3924.00,96.70
3923.00,96.70
3922.00,96.70
3921.00,96.70
3920.00,96.70
3919.00,96.70
3918.00,96.70
3917.00,96.71
3916.00,96.71
3915.00,96.71
3914.00,96.71
3913.00,96.71
3912.00,96.70
3911.00,96.70
3910.00,96.70
3909.00,96.70
3908.00,96.70
3907.00,96.69
3906.00,96.70
3905.00,96.70
3904.00,96.70
3903.00,96.69
3902.00,96.69
3901.00,96.68
3900.00,96.68
3899.00,96.68
3898.00,96.68
3897.00,96.69
3896.00,96.69
3895.00,96.69
3894.00,96.69
3893.00,96.69
3892.00,96.69
3891.00,96.69
