Created as New Dataset,Sample 001 By Administrator Date Wednesday, May 03 2023
cm-1,A
4000.00,-0.0012
3999.00,-0.0012
3998.00,-0.0012
3997.00,-0.0012
3996.00,-0.0013
3995.00,-0.0013
3994.00,-0.0013
3993.00,-0.0013
3992.00,-0.0013
3991.00,-0.0013
3990.00,-0.0013
3989.00,-0.0013
3988.00,-0.0013
3987.00,-0.0013
3986.00,-0.0013
3985.00,-0.0013
3984.00,-0.0012
3983.00,-0.0012
3982.00,-0.0011
3981.00,-0.0012
3980.00,-0.0012
3979.00,-0.0012
3978.00,-0.0012
3977.00,-0.0012
3976.00,-0.0012
3975.00,-0.0012
3974.00,-0.0012
3973.00,-0.0012
3972.00,-0.0013
3971.00,-0.0013
3970.00,-0.0013
3969.00,-0.0013
3968.00,-0.0013
3967.00,-0.0013
3966.00,-0.0013
3965.00,-0.0013
3964.00,-0.0013
3963.00,-0.0013
3962.00,-0.0013
3961.00,-0.0013
3960.00,-0.0013
3959.00,-0.0013
3958.00,-0.0012
3957.00,-0.0012
3956.00,-0.0012
3955.00,-0.0012
3954.00,-0.0012
3953.00,-0.0013
3952.00,-0.0012
3951.00,-0.0012
3950.00,-0.0012
3949.00,-0.0012
3948.00,-0.0012
3947.00,-0.0012
3946.00,-0.0012
3945.00,-0.0012
3944.00,-0.0012
3943.00,-0.0012
3942.00,-0.0012
3941.00,-0.0012
3940.00,-0.0012
3939.00,-0.0013
3938.00,-0.0013
3937.00,-0.0012
3936.00,-0.0012
3935.00,-0.0012
3934.00,-0.0011
3933.00,-0.0011
3932.00,-0.0011
3931.00,-0.0010
3930.00,-0.0010
3929.00,-0.0011
3928.00,-0.0011
3927.00,-0.0011
3926.00,-0.0011
3925.00,-0.0011
3924.00,-0.0011
3923.00,-0.0011
3922.00,-0.0011
3921.00,-0.0011
3920.00,-0.0011
3919.00,-0.0011
3918.00,-0.0011
3917.00,-0.0011
3916.00,-0.0012
3915.00,-0.0012
3914.00,-0.0012
3913.00,-0.0012
3912.00,-0.0012
3911.00,-0.0012
3910.00,-0.0012
3909.00,-0.0012
3908.00,-0.0012
3907.00,-0.0011
3906.00,-0.0011
3905.00,-0.0010
3904.00,-0.0010
3903.00,-0.0010
3902.00,-0.0010
3901.00,-0.0010
3900.00,-0.0011
3899.00,-0.0011
3898.00,-0.0011
3897.00,-0.0011
3896.00,-0.0011
3895.00,-0.0011
3894.00,-0.0011
3893.00,-0.0011
3892.00,-0.0010
3891.00,-0.0010
3890.00,-0.0010
3889.00,-0.0010
3888.00,-0.0010
3887.00,-0.0010
3886.00,-0.0010
3885.00,-0.0010
3884.00,-0.0011
3883.00,-0.0011
3882.00,-0.0012
3881.00,-0.0012
3880.00,-0.0012
3879.00,-0.0012
3878.00,-0.0012
3877.00,-0.0011
3876.00,-0.0011
3875.00,-0.0011
3874.00,-0.0011
3873.00,-0.0010
3872.00,-0.0010
3871.00,-0.0010
3870.00,-0.0010
3869.00,-0.0010
3868.00,-0.0011
3867.00,-0.0011
3866.00,-0.0012
3865.00,-0.0012
3864.00,-0.0012
3863.00,-0.0011
3862.00,-0.0011
3861.00,-0.0011
3860.00,-0.0010
3859.00,-0.0009
3858.00,-0.0009
3857.00,-0.0008
3856.00,-0.0008
3855.00,-0.0008
3854.00,-0.0008
3853.00,-0.0008
3852.00,-0.0009
3851.00,-0.0009
3850.00,-0.0010
3849.00,-0.0011
3848.00,-0.0012
3847.00,-0.0012
3846.00,-0.0012
3845.00,-0.0011
3844.00,-0.0011
3843.00,-0.0010
3842.00,-0.0009
3841.00,-0.0009
3840.00,-0.0009
3839.00,-0.0009
3838.00,-0.0009
3837.00,-0.0009
3836.00,-0.0009
3835.00,-0.0009
3834.00,-0.0010
3833.00,-0.0010
3832.00,-0.0010
3831.00,-0.0011
3830.00,-0.0011
3829.00,-0.0011
3828.00,-0.0011
3827.00,-0.0011
3826.00,-0.0011
3825.00,-0.0011
3824.00,-0.0011
3823.00,-0.0011
3822.00,-0.0011
3821.00,-0.0011
3820.00,-0.0010
3819.00,-0.0010
3818.00,-0.0010
3817.00,-0.0009
3816.00,-0.0009
3815.00,-0.0010
3814.00,-0.0010
3813.00,-0.0010
3812.00,-0.0010
3811.00,-0.0010
3810.00,-0.0010
3809.00,-0.0011
3808.00,-0.0011
3807.00,-0.0011
3806.00,-0.0010
3805.00,-0.0010
3804.00,-0.0009
3803.00,-0.0009
3802.00,-0.0009
3801.00,-0.0009
3800.00,-0.0010
3799.00,-0.0010
3798.00,-0.0011
3797.00,-0.0011
