Created as New Dataset,PS Biaxial Film GF
cm-1,%T
4000.00,99.53
3999.00,99.53
3998.00,99.54
3997.00,99.54
3996.00,99.55
3995.00,99.55
3994.00,99.55
3993.00,99.55
3992.00,99.56
3991.00,99.56
3990.00,99.56
3989.00,99.56
3988.00,99.56
3987.00,99.56
3986.00,99.57
3985.00,99.57
3984.00,99.57
3983.00,99.57
3982.00,99.56
3981.00,99.56
3980.00,99.56
3979.00,99.56
3978.00,99.57
3977.00,99.57
3976.00,99.57
3975.00,99.57
3974.00,99.56
3973.00,99.56
3972.00,99.57
3971.00,99.57
3970.00,99.57
3969.00,99.57
3968.00,99.57
3967.00,99.57
3966.00,99.57
3965.00,99.57
3964.00,99.57
3963.00,99.57
3962.00,99.57
3961.00,99.57
3960.00,99.57
3959.00,99.57
3958.00,99.57
3957.00,99.57
3956.00,99.58
3955.00,99.58
3954.00,99.58
3953.00,99.58
3952.00,99.58
3951.00,99.57
3950.00,99.57
3949.00,99.57
3948.00,99.57
3947.00,99.57
3946.00,99.57
3945.00,99.57
3944.00,99.56
3943.00,99.56
3942.00,99.56
3941.00,99.56
3940.00,99.56
3939.00,99.56
3938.00,99.55
3937.00,99.55
3936.00,99.55
3935.00,99.56
3934.00,99.56
3933.00,99.56
3932.00,99.56
3931.00,99.56
3930.00,99.56
3929.00,99.56
3928.00,99.56
3927.00,99.57
3926.00,99.57
3925.00,99.57
3924.00,99.57
3923.00,99.56
3922.00,99.56
3921.00,99.56
3920.00,99.56
3919.00,99.56
3918.00,99.57
3917.00,99.57
3916.00,99.57
3915.00,99.57
3914.00,99.57
3913.00,99.57
3912.00,99.57
3911.00,99.57
3910.00,99.56
3909.00,99.56
3908.00,99.56
3907.00,99.56
3906.00,99.56
3905.00,99.56
3904.00,99.55
3903.00,99.55
3902.00,99.55
3901.00,99.55
3900.00,99.55
3899.00,99.55
3898.00,99.55
3897.00,99.55
3896.00,99.56
3895.00,99.56
3894.00,99.56
3893.00,99.56
3892.00,99.56
3891.00,99.56
3890.00,99.55
3889.00,99.56
3888.00,99.56
3887.00,99.56
3886.00,99.55
3885.00,99.55
3884.00,99.56
3883.00,99.56
3882.00,99.56
3881.00,99.56
3880.00,99.56
3879.00,99.55
3878.00,99.55
3877.00,99.56
3876.00,99.56
3875.00,99.55
3874.00,99.55
3873.00,99.55
3872.00,99.56
3871.00,99.55
3870.00,99.55
3869.00,99.54
3868.00,99.54
3867.00,99.54
3866.00,99.54
3865.00,99.54
3864.00,99.54
3863.00,99.54
3862.00,99.54
3861.00,99.54
3860.00,99.54
3859.00,99.54
3858.00,99.54
3857.00,99.54
3856.00,99.54
3855.00,99.54
3854.00,99.54
3853.00,99.53
3852.00,99.54
3851.00,99.54
3850.00,99.54
3849.00,99.54
3848.00,99.54
3847.00,99.54
3846.00,99.54
3845.00,99.54
3844.00,99.54
3843.00,99.54
3842.00,99.53
3841.00,99.53
3840.00,99.53
3839.00,99.53
3838.00,99.53
3837.00,99.53
3836.00,99.53
3835.00,99.53
3834.00,99.53
3833.00,99.53
3832.00,99.53
