Created as New Dataset,PS Granule GF
cm-1,%T
4000.00,99.88
3999.00,99.88
3998.00,99.88
3997.00,99.89
3996.00,99.89
3995.00,99.89
3994.00,99.89
3993.00,99.89
3992.00,99.89
3991.00,99.89
3990.00,99.90
3989.00,99.90
3988.00,99.90
3987.00,99.89
3986.00,99.89
3985.00,99.89
3984.00,99.89
3983.00,99.89
3982.00,99.89
3981.00,99.89
3980.00,99.88
3979.00,99.88
3978.00,99.88
3977.00,99.88
3976.00,99.88
3975.00,99.88
3974.00,99.88
3973.00,99.89
3972.00,99.89
3971.00,99.89
3970.00,99.89
3969.00,99.89
3968.00,99.89
3967.00,99.89
3966.00,99.89
3965.00,99.89
3964.00,99.89
3963.00,99.89
3962.00,99.89
3961.00,99.89
3960.00,99.88
3959.00,99.88
3958.00,99.88
3957.00,99.88
3956.00,99.88
3955.00,99.88
3954.00,99.88
3953.00,99.88
3952.00,99.88
3951.00,99.88
3950.00,99.88
3949.00,99.88
3948.00,99.88
3947.00,99.88
3946.00,99.88
3945.00,99.88
3944.00,99.88
3943.00,99.88
3942.00,99.88
3941.00,99.88
3940.00,99.88
3939.00,99.88
3938.00,99.88
3937.00,99.88
3936.00,99.88
3935.00,99.88
3934.00,99.88
3933.00,99.88
3932.00,99.88
3931.00,99.88
3930.00,99.88
3929.00,99.88
3928.00,99.88
3927.00,99.88
3926.00,99.88
3925.00,99.87
3924.00,99.87
3923.00,99.88
3922.00,99.87
3921.00,99.87
3920.00,99.88
3919.00,99.88
3918.00,99.88
3917.00,99.88
3916.00,99.88
3915.00,99.88
3914.00,99.88
3913.00,99.88
3912.00,99.88
3911.00,99.87
3910.00,99.88
3909.00,99.88
3908.00,99.88
3907.00,99.88
3906.00,99.87
3905.00,99.87
3904.00,99.87
3903.00,99.87
3902.00,99.87
3901.00,99.87
3900.00,99.87
3899.00,99.87
3898.00,99.87
3897.00,99.87
3896.00,99.87
3895.00,99.87
3894.00,99.86
3893.00,99.86
3892.00,99.86
3891.00,99.86
3890.00,99.86
3889.00,99.86
3888.00,99.86
3887.00,99.87
3886.00,99.87
3885.00,99.87
3884.00,99.87
3883.00,99.87
3882.00,99.87
3881.00,99.86
3880.00,99.86
3879.00,99.86
3878.00,99.86
3877.00,99.86
3876.00,99.86
3875.00,99.87
3874.00,99.87
3873.00,99.87
3872.00,99.86
3871.00,99.86
3870.00,99.87
3869.00,99.87
3868.00,99.87
3867.00,99.87
3866.00,99.86
3865.00,99.86
3864.00,99.86
3863.00,99.86
3862.00,99.86
3861.00,99.86
3860.00,99.86
3859.00,99.86
3858.00,99.86
3857.00,99.86
3856.00,99.86
