Created as New Dataset,PS pellet 35kDa Sigma
cm-1,%T
4000.00,94.95
3999.00,94.95
3998.00,94.96
3997.00,94.96
3996.00,94.96
3995.00,94.96
3994.00,94.96
3993.00,94.97
3992.00,94.97
3991.00,94.96
3990.00,94.96
3989.00,94.96
3988.00,94.96
3987.00,94.96
3986.00,94.96
3985.00,94.96
3984.00,94.97
3983.00,94.97
3982.00,94.97
3981.00,94.97
3980.00,94.97
3979.00,94.97
3978.00,94.96
3977.00,94.96
3976.00,94.96
3975.00,94.96
3974.00,94.96
3973.00,94.96
3972.00,94.96
3971.00,94.96
3970.00,94.96
3969.00,94.96
3968.00,94.97
3967.00,94.97
3966.00,94.97
3965.00,94.97
3964.00,94.97
3963.00,94.97
3962.00,94.97
3961.00,94.97
3960.00,94.97
3959.00,94.97
3958.00,94.97
3957.00,94.97
3956.00,94.97
3955.00,94.97
3954.00,94.96
3953.00,94.96
3952.00,94.96
3951.00,94.96
3950.00,94.96
3949.00,94.96
3948.00,94.96
3947.00,94.96
3946.00,94.96
3945.00,94.96
3944.00,94.96
3943.00,94.96
3942.00,94.96
3941.00,94.96
3940.00,94.96
3939.00,94.96
3938.00,94.96
3937.00,94.96
3936.00,94.96
3935.00,94.95
3934.00,94.95
3933.00,94.95
3932.00,94.95
3931.00,94.95
3930.00,94.95
3929.00,94.96
3928.00,94.96
3927.00,94.96
3926.00,94.96
3925.00,94.96
3924.00,94.96
3923.00,94.96
3922.00,94.96
3921.00,94.96
3920.00,94.96
3919.00,94.95
3918.00,94.95
3917.00,94.95
3916.00,94.95
3915.00,94.94
3914.00,94.94
3913.00,94.94
3912.00,94.94
3911.00,94.94
3910.00,94.94
3909.00,94.95
3908.00,94.95
3907.00,94.95
3906.00,94.95
3905.00,94.95
3904.00,94.95
3903.00,94.95
3902.00,94.95
3901.00,94.95
3900.00,94.95
3899.00,94.95
3898.00,94.95
3897.00,94.95
3896.00,94.94
3895.00,94.94
3894.00,94.94
3893.00,94.94
3892.00,94.94
3891.00,94.94
3890.00,94.94
3889.00,94.94
3888.00,94.94
3887.00,94.94
3886.00,94.94
3885.00,94.94
3884.00,94.95
3883.00,94.94
3882.00,94.94
3881.00,94.94
3880.00,94.94
3879.00,94.94
3878.00,94.94
3877.00,94.93
3876.00,94.93
3875.00,94.93
3874.00,94.94
3873.00,94.94
3872.00,94.93
3871.00,94.93
3870.00,94.93
3869.00,94.94
3868.00,94.94
3867.00,94.93
3866.00,94.93
3865.00,94.93
3864.00,94.92
3863.00,94.92
3862.00,94.92
3861.00,94.92
3860.00,94.92
3859.00,94.93
3858.00,94.94
3857.00,94.94
3856.00,94.95
3855.00,94.95
3854.00,94.94
3853.00,94.94
3852.00,94.93
3851.00,94.93
3850.00,94.93
3849.00,94.92
3848.00,94.92
3847.00,94.91
3846.00,94.91
3845.00,94.91
3844.00,94.91
3843.00,94.91
3842.00,94.91
3841.00,94.91
3840.00,94.91
3839.00,94.91
3838.00,94.91
3837.00,94.91
3836.00,94.91
3835.00,94.91
3834.00,94.90
3833.00,94.90
3832.00,94.90
3831.00,94.90
3830.00,94.89
3829.00,94.89
3828.00,94.89
3827.00,94.89
3826.00,94.90
3825.00,94.90
3824.00,94.90
3823.00,94.89
3822.00,94.89
3821.00,94.89
3820.00,94.89
