Created as New Dataset,PU (polyurethane) GF
cm-1,%T
4000.00,99.76
3999.00,99.76
3998.00,99.76
3997.00,99.76
3996.00,99.76
3995.00,99.76
3994.00,99.76
3993.00,99.76
3992.00,99.76
3991.00,99.76
3990.00,99.76
3989.00,99.76
3988.00,99.76
3987.00,99.76
3986.00,99.75
3985.00,99.76
3984.00,99.76
3983.00,99.76
3982.00,99.75
3981.00,99.75
3980.00,99.75
3979.00,99.75
3978.00,99.76
3977.00,99.76
3976.00,99.76
3975.00,99.76
3974.00,99.76
3973.00,99.76
3972.00,99.76
3971.00,99.76
3970.00,99.76
3969.00,99.76
3968.00,99.77
3967.00,99.77
3966.00,99.77
3965.00,99.77
3964.00,99.77
3963.00,99.77
3962.00,99.77
3961.00,99.77
3960.00,99.77
3959.00,99.78
3958.00,99.78
3957.00,99.78
3956.00,99.78
3955.00,99.78
3954.00,99.78
3953.00,99.78
3952.00,99.78
3951.00,99.78
3950.00,99.78
3949.00,99.78
3948.00,99.78
3947.00,99.78
3946.00,99.78
3945.00,99.79
3944.00,99.79
3943.00,99.79
3942.00,99.79
3941.00,99.79
3940.00,99.80
3939.00,99.80
3938.00,99.80
3937.00,99.80
3936.00,99.80
3935.00,99.80
3934.00,99.80
3933.00,99.80
3932.00,99.80
3931.00,99.80
3930.00,99.80
3929.00,99.80
3928.00,99.80
3927.00,99.80
3926.00,99.80
3925.00,99.80
3924.00,99.80
3923.00,99.80
3922.00,99.80
3921.00,99.80
3920.00,99.81
3919.00,99.81
3918.00,99.81
3917.00,99.81
3916.00,99.81
3915.00,99.81
3914.00,99.81
3913.00,99.81
3912.00,99.81
3911.00,99.81
3910.00,99.82
3909.00,99.82
3908.00,99.82
3907.00,99.82
3906.00,99.82
3905.00,99.82
3904.00,99.81
3903.00,99.81
3902.00,99.80
3901.00,99.80
3900.00,99.80
3899.00,99.81
3898.00,99.81
3897.00,99.82
3896.00,99.82
3895.00,99.82
3894.00,99.82
3893.00,99.82
3892.00,99.82
3891.00,99.82
3890.00,99.82
3889.00,99.82
3888.00,99.82
3887.00,99.82
3886.00,99.82
3885.00,99.82
3884.00,99.82
3883.00,99.81
3882.00,99.81
3881.00,99.81
3880.00,99.81
3879.00,99.82
3878.00,99.82
3877.00,99.81
3876.00,99.81
3875.00,99.82
3874.00,99.83
3873.00,99.83
3872.00,99.83
3871.00,99.83
3870.00,99.83
3869.00,99.83
3868.00,99.83
3867.00,99.83
3866.00,99.82
3865.00,99.83
3864.00,99.83
3863.00,99.83
3862.00,99.83
3861.00,99.83
3860.00,99.83
3859.00,99.83
3858.00,99.83
3857.00,99.84
3856.00,99.84
3855.00,99.84
3854.00,99.83
3853.00,99.84
3852.00,99.84
3851.00,99.83
3850.00,99.83
3849.00,99.83
3848.00,99.82
3847.00,99.82
3846.00,99.82
3845.00,99.82
3844.00,99.82
3843.00,99.83
3842.00,99.83
3841.00,99.83
3840.00,99.83
3839.00,99.83
3838.00,99.83
3837.00,99.83
3836.00,99.83
3835.00,99.82
3834.00,99.82
3833.00,99.82
3832.00,99.82
3831.00,99.82
3830.00,99.82
3829.00,99.82
3828.00,99.82
3827.00,99.83
3826.00,99.83
3825.00,99.83
3824.00,99.83
3823.00,99.83
3822.00,99.83
3821.00,99.83
3820.00,99.83
3819.00,99.83
3818.00,99.83
3817.00,99.82
3816.00,99.83
3815.00,99.83
3814.00,99.83
3813.00,99.83
3812.00,99.82
3811.00,99.83
3810.00,99.83
3809.00,99.83
3808.00,99.83
3807.00,99.84
3806.00,99.84
3805.00,99.84
3804.00,99.84
3803.00,99.84
3802.00,99.84
3801.00,99.84
3800.00,99.84
3799.00,99.84
3798.00,99.83
3797.00,99.83
3796.00,99.83
3795.00,99.83
3794.00,99.84
3793.00,99.84
3792.00,99.84
3791.00,99.84
3790.00,99.84
3789.00,99.84
3788.00,99.84
3787.00,99.84
3786.00,99.84
3785.00,99.84
3784.00,99.84
3783.00,99.84
3782.00,99.83
3781.00,99.83
3780.00,99.83
3779.00,99.83
3778.00,99.83
3777.00,99.84
3776.00,99.84
3775.00,99.84
3774.00,99.84
3773.00,99.84
3772.00,99.84
3771.00,99.84
3770.00,99.84
3769.00,99.84
3768.00,99.84
3767.00,99.84
3766.00,99.83
3765.00,99.83
3764.00,99.83
3763.00,99.83
3762.00,99.83
3761.00,99.84
3760.00,99.84
3759.00,99.84
3758.00,99.84
3757.00,99.84
3756.00,99.85
3755.00,99.85
3754.00,99.85
3753.00,99.86
3752.00,99.86
3751.00,99.86
3750.00,99.86
3749.00,99.86
3748.00,99.86
3747.00,99.86
3746.00,99.85
3745.00,99.85
3744.00,99.85
3743.00,99.85
3742.00,99.84
3741.00,99.83
3740.00,99.83
3739.00,99.83
3738.00,99.83
3737.00,99.84
3736.00,99.84
3735.00,99.84
3734.00,99.84
3733.00,99.84
3732.00,99.84
3731.00,99.84
3730.00,99.84
3729.00,99.84
3728.00,99.84
3727.00,99.84
3726.00,99.84
3725.00,99.84
3724.00,99.84
3723.00,99.84
3722.00,99.84
3721.00,99.85
3720.00,99.85
3719.00,99.85
3718.00,99.85
3717.00,99.85
3716.00,99.85
3715.00,99.85
3714.00,99.84
3713.00,99.84
3712.00,99.84
3711.00,99.83
3710.00,99.83
3709.00,99.82
3708.00,99.82
3707.00,99.82
3706.00,99.82
3705.00,99.82
3704.00,99.81
3703.00,99.80
3702.00,99.80
3701.00,99.79
3700.00,99.79
3699.00,99.79
3698.00,99.78
3697.00,99.78
3696.00,99.78
3695.00,99.79
3694.00,99.78
3693.00,99.78
3692.00,99.78
3691.00,99.77
3690.00,99.77
3689.00,99.76
3688.00,99.75
3687.00,99.75
3686.00,99.74
3685.00,99.74
3684.00,99.74
3683.00,99.74
3682.00,99.74
3681.00,99.74
3680.00,99.74
3679.00,99.74
3678.00,99.74
3677.00,99.73
3676.00,99.72
3675.00,99.72
3674.00,99.72
3673.00,99.71
3672.00,99.70
3671.00,99.70
3670.00,99.70
3669.00,99.70
3668.00,99.70
3667.00,99.70
3666.00,99.70
3665.00,99.69
3664.00,99.69
3663.00,99.69
3662.00,99.68
3661.00,99.68
3660.00,99.68
3659.00,99.67
3658.00,99.67
3657.00,99.66
3656.00,99.66
3655.00,99.66
3654.00,99.66
3653.00,99.66
3652.00,99.65
3651.00,99.64
3650.00,99.63
3649.00,99.62
3648.00,99.61
3647.00,99.60
3646.00,99.59
3645.00,99.59
3644.00,99.58
3643.00,99.58
3642.00,99.58
3641.00,99.57
3640.00,99.57
3639.00,99.57
3638.00,99.57
3637.00,99.57
3636.00,99.57
3635.00,99.57
3634.00,99.56
3633.00,99.56
3632.00,99.55
3631.00,99.54
3630.00,99.54
3629.00,99.53
3628.00,99.53
3627.00,99.53
3626.00,99.52
3625.00,99.52
3624.00,99.51
3623.00,99.51
3622.00,99.50
3621.00,99.50
3620.00,99.48
3619.00,99.47
3618.00,99.46
3617.00,99.45
3616.00,99.45
3615.00,99.44
3614.00,99.43
3613.00,99.42
3612.00,99.41
3611.00,99.40
3610.00,99.39
3609.00,99.39
3608.00,99.38
3607.00,99.37
3606.00,99.36
3605.00,99.35
3604.00,99.35
3603.00,99.34
3602.00,99.34
3601.00,99.33
3600.00,99.33
3599.00,99.32
3598.00,99.32
3597.00,99.31
3596.00,99.30
3595.00,99.29
3594.00,99.28
3593.00,99.28
3592.00,99.27
3591.00,99.27
3590.00,99.26
3589.00,99.25
3588.00,99.23
3587.00,99.22
3586.00,99.21
3585.00,99.21
3584.00,99.20
3583.00,99.20
3582.00,99.19
3581.00,99.18
3580.00,99.18
3579.00,99.17
3578.00,99.16
3577.00,99.16
3576.00,99.15
3575.00,99.14
3574.00,99.13
3573.00,99.12
3572.00,99.12
3571.00,99.12
3570.00,99.11
3569.00,99.11
3568.00,99.10
3567.00,99.09
3566.00,99.09
3565.00,99.09
3564.00,99.09
3563.00,99.08
3562.00,99.08
3561.00,99.07
3560.00,99.06
3559.00,99.06
3558.00,99.06
3557.00,99.06
3556.00,99.06
3555.00,99.05
3554.00,99.05
3553.00,99.04
3552.00,99.04
3551.00,99.03
3550.00,99.03
3549.00,99.03
3548.00,99.02
3547.00,99.02
3546.00,99.02
3545.00,99.01
3544.00,99.01
3543.00,99.00
3542.00,99.00
3541.00,99.00
3540.00,99.00
3539.00,99.00
3538.00,98.99
3537.00,98.99
3536.00,98.98
3535.00,98.98
3534.00,98.97
3533.00,98.97
3532.00,98.96
3531.00,98.96
3530.00,98.96
3529.00,98.96
3528.00,98.95
3527.00,98.95
3526.00,98.94
3525.00,98.93
3524.00,98.93
3523.00,98.92
3522.00,98.92
3521.00,98.92
3520.00,98.92
3519.00,98.92
3518.00,98.91
3517.00,98.91
3516.00,98.91
3515.00,98.91
3514.00,98.91
3513.00,98.91
3512.00,98.91
3511.00,98.91
3510.00,98.90
3509.00,98.90
3508.00,98.89
3507.00,98.89
3506.00,98.89
3505.00,98.89
3504.00,98.89
3503.00,98.89
3502.00,98.89
3501.00,98.89
3500.00,98.89
3499.00,98.89
3498.00,98.89
3497.00,98.88
3496.00,98.88
3495.00,98.88
3494.00,98.89
3493.00,98.89
3492.00,98.89
3491.00,98.89
3490.00,98.89
3489.00,98.89
3488.00,98.89
3487.00,98.89
3486.00,98.89
3485.00,98.89
3484.00,98.88
3483.00,98.88
3482.00,98.88
3481.00,98.88
3480.00,98.88
3479.00,98.88
3478.00,98.88
3477.00,98.88
3476.00,98.87
3475.00,98.87
3474.00,98.87
3473.00,98.87
3472.00,98.86
3471.00,98.86
3470.00,98.85
3469.00,98.84
3468.00,98.83
3467.00,98.81
3466.00,98.78
3465.00,98.76
3464.00,98.73
3463.00,98.70
3462.00,98.68
3461.00,98.66
3460.00,98.64
3459.00,98.62
3458.00,98.59
3457.00,98.57
3456.00,98.55
3455.00,98.54
3454.00,98.53
3453.00,98.53
3452.00,98.52
3451.00,98.53
3450.00,98.53
3449.00,98.53
3448.00,98.52
3447.00,98.53
3446.00,98.53
3445.00,98.54
3444.00,98.54
3443.00,98.55
3442.00,98.56
3441.00,98.58
3440.00,98.59
3439.00,98.60
3438.00,98.61
3437.00,98.62
3436.00,98.62
3435.00,98.62
3434.00,98.61
3433.00,98.61
3432.00,98.61
3431.00,98.60
3430.00,98.60
3429.00,98.59
3428.00,98.58
3427.00,98.57
3426.00,98.56
3425.00,98.55
3424.00,98.54
3423.00,98.54
3422.00,98.53
3421.00,98.52
3420.00,98.51
3419.00,98.50
3418.00,98.48
3417.00,98.47
3416.00,98.46
3415.00,98.45
3414.00,98.44
3413.00,98.42
3412.00,98.41
3411.00,98.39
3410.00,98.38
3409.00,98.36
3408.00,98.34
3407.00,98.32
3406.00,98.31
3405.00,98.30
3404.00,98.29
3403.00,98.28
3402.00,98.27
3401.00,98.25
3400.00,98.22
3399.00,98.18
3398.00,98.15
3397.00,98.12
3396.00,98.09
3395.00,98.07
3394.00,98.04
3393.00,98.02
3392.00,97.99
3391.00,97.95
3390.00,97.91
3389.00,97.87
3388.00,97.82
3387.00,97.78
3386.00,97.73
3385.00,97.69
3384.00,97.65
3383.00,97.60
3382.00,97.56
3381.00,97.51
3380.00,97.46
3379.00,97.41
3378.00,97.36
3377.00,97.30
3376.00,97.23
3375.00,97.17
3374.00,97.10
3373.00,97.04
3372.00,96.98
3371.00,96.92
3370.00,96.85
3369.00,96.77
3368.00,96.69
3367.00,96.60
3366.00,96.51
3365.00,96.42
3364.00,96.32
3363.00,96.23
3362.00,96.14
3361.00,96.05
3360.00,95.95
3359.00,95.85
3358.00,95.76
3357.00,95.65
3356.00,95.55
3355.00,95.45
3354.00,95.36
3353.00,95.26
3352.00,95.17
3351.00,95.07
3350.00,94.97
3349.00,94.87
3348.00,94.76
3347.00,94.66
3346.00,94.57
3345.00,94.48
3344.00,94.39
3343.00,94.30
3342.00,94.21
3341.00,94.13
3340.00,94.04
3339.00,93.96
3338.00,93.88
3337.00,93.80
3336.00,93.72
3335.00,93.65
3334.00,93.59
3333.00,93.52
3332.00,93.47
3331.00,93.41
3330.00,93.36
3329.00,93.32
3328.00,93.29
3327.00,93.26
3326.00,93.24
3325.00,93.21
3324.00,93.20
3323.00,93.19
3322.00,93.19
3321.00,93.20
3320.00,93.21
3319.00,93.23
3318.00,93.25
3317.00,93.28
3316.00,93.31
3315.00,93.35
3314.00,93.40
3313.00,93.45
3312.00,93.51
3311.00,93.57
3310.00,93.64
3309.00,93.71
3308.00,93.78
3307.00,93.86
3306.00,93.94
3305.00,94.02
3304.00,94.10
3303.00,94.19
3302.00,94.27
3301.00,94.36
3300.00,94.45
3299.00,94.54
3298.00,94.63
3297.00,94.73
3296.00,94.82
3295.00,94.92
3294.00,95.02
3293.00,95.11
3292.00,95.21
3291.00,95.31
3290.00,95.40
3289.00,95.50
3288.00,95.59
3287.00,95.69
3286.00,95.79
3285.00,95.88
3284.00,95.98
3283.00,96.07
3282.00,96.17
3281.00,96.26
3280.00,96.36
3279.00,96.45
3278.00,96.53
3277.00,96.62
3276.00,96.70
3275.00,96.78
3274.00,96.86
3273.00,96.93
3272.00,97.01
3271.00,97.09
3270.00,97.16
3269.00,97.22
3268.00,97.29
3267.00,97.35
3266.00,97.42
3265.00,97.48
3264.00,97.54
3263.00,97.60
3262.00,97.65
3261.00,97.70
3260.00,97.75
3259.00,97.80
3258.00,97.85
3257.00,97.89
3256.00,97.94
3255.00,97.98
3254.00,98.02
3253.00,98.06
3252.00,98.10
3251.00,98.13
3250.00,98.16
3249.00,98.19
3248.00,98.22
3247.00,98.25
3246.00,98.28
3245.00,98.31
3244.00,98.33
3243.00,98.36
3242.00,98.39
3241.00,98.41
3240.00,98.44
3239.00,98.46
3238.00,98.49
3237.00,98.51
3236.00,98.53
3235.00,98.55
3234.00,98.57
3233.00,98.59
3232.00,98.61
3231.00,98.63
3230.00,98.65
3229.00,98.67
3228.00,98.69
3227.00,98.71
3226.00,98.73
3225.00,98.75
3224.00,98.76
3223.00,98.78
3222.00,98.80
3221.00,98.82
3220.00,98.83
3219.00,98.85
3218.00,98.86
3217.00,98.88
3216.00,98.89
3215.00,98.91
3214.00,98.92
3213.00,98.93
3212.00,98.95
3211.00,98.97
3210.00,98.98
3209.00,98.99
3208.00,99.00
3207.00,99.01
3206.00,99.02
3205.00,99.03
3204.00,99.04
3203.00,99.05
3202.00,99.06
3201.00,99.07
3200.00,99.08
3199.00,99.09
3198.00,99.10
3197.00,99.10
3196.00,99.11
3195.00,99.11
3194.00,99.12
3193.00,99.13
3192.00,99.13
3191.00,99.14
3190.00,99.14
3189.00,99.15
3188.00,99.15
3187.00,99.16
3186.00,99.16
3185.00,99.17
3184.00,99.18
3183.00,99.19
3182.00,99.19
3181.00,99.20
