Created as New Dataset,PVA 100K Sigma
cm-1,%T
4000.00,99.87
3999.00,99.87
3998.00,99.87
3997.00,99.87
3996.00,99.87
3995.00,99.87
3994.00,99.86
3993.00,99.86
3992.00,99.86
3991.00,99.86
3990.00,99.85
3989.00,99.85
3988.00,99.85
3987.00,99.85
3986.00,99.85
3985.00,99.85
3984.00,99.85
3983.00,99.85
3982.00,99.85
3981.00,99.85
3980.00,99.85
3979.00,99.85
3978.00,99.85
3977.00,99.85
3976.00,99.85
3975.00,99.85
3974.00,99.85
3973.00,99.85
3972.00,99.85
3971.00,99.85
3970.00,99.85
3969.00,99.85
3968.00,99.85
3967.00,99.86
3966.00,99.86
3965.00,99.86
3964.00,99.86
3963.00,99.86
3962.00,99.85
3961.00,99.85
3960.00,99.85
3959.00,99.86
3958.00,99.86
3957.00,99.86
3956.00,99.86
3955.00,99.85
3954.00,99.85
3953.00,99.85
3952.00,99.85
3951.00,99.85
3950.00,99.85
3949.00,99.86
3948.00,99.86
3947.00,99.86
3946.00,99.86
3945.00,99.86
3944.00,99.86
3943.00,99.86
3942.00,99.86
3941.00,99.86
3940.00,99.86
3939.00,99.86
3938.00,99.86
3937.00,99.86
3936.00,99.86
3935.00,99.86
3934.00,99.86
3933.00,99.86
3932.00,99.86
3931.00,99.86
3930.00,99.86
3929.00,99.86
3928.00,99.86
3927.00,99.86
3926.00,99.85
3925.00,99.85
3924.00,99.86
3923.00,99.86
3922.00,99.85
3921.00,99.85
3920.00,99.85
3919.00,99.85
3918.00,99.85
3917.00,99.85
3916.00,99.86
3915.00,99.86
3914.00,99.86
3913.00,99.86
3912.00,99.85
3911.00,99.85
3910.00,99.85
3909.00,99.85
3908.00,99.85
3907.00,99.85
3906.00,99.85
3905.00,99.85
3904.00,99.85
3903.00,99.85
3902.00,99.84
3901.00,99.84
3900.00,99.83
3899.00,99.83
3898.00,99.84
3897.00,99.84
3896.00,99.85
3895.00,99.85
3894.00,99.85
3893.00,99.85
3892.00,99.85
3891.00,99.85
3890.00,99.85
3889.00,99.85
3888.00,99.85
3887.00,99.85
3886.00,99.85
3885.00,99.85
3884.00,99.85
3883.00,99.84
3882.00,99.84
3881.00,99.84
3880.00,99.85
3879.00,99.85
3878.00,99.85
3877.00,99.85
3876.00,99.84
3875.00,99.84
3874.00,99.84
3873.00,99.83
3872.00,99.83
3871.00,99.83
3870.00,99.83
3869.00,99.83
3868.00,99.83
3867.00,99.83
3866.00,99.83
3865.00,99.84
3864.00,99.84
3863.00,99.84
3862.00,99.84
3861.00,99.84
3860.00,99.84
3859.00,99.84
3858.00,99.84
3857.00,99.83
3856.00,99.82
3855.00,99.82
3854.00,99.82
3853.00,99.83
3852.00,99.83
3851.00,99.83
3850.00,99.84
3849.00,99.84
3848.00,99.84
3847.00,99.84
3846.00,99.84
3845.00,99.84
3844.00,99.84
3843.00,99.83
3842.00,99.83
3841.00,99.82
3840.00,99.82
3839.00,99.82
3838.00,99.82
3837.00,99.83
3836.00,99.83
3835.00,99.83
3834.00,99.83
3833.00,99.83
3832.00,99.83
3831.00,99.84
3830.00,99.84
3829.00,99.83
3828.00,99.83
3827.00,99.84
3826.00,99.84
3825.00,99.83
3824.00,99.83
3823.00,99.82
3822.00,99.82
3821.00,99.82
3820.00,99.82
3819.00,99.82
3818.00,99.82
3817.00,99.82
3816.00,99.83
3815.00,99.83
3814.00,99.83
3813.00,99.83
3812.00,99.83
3811.00,99.83
3810.00,99.84
3809.00,99.83
3808.00,99.83
3807.00,99.82
3806.00,99.82
3805.00,99.81
3804.00,99.81
3803.00,99.80
3802.00,99.81
3801.00,99.81
3800.00,99.82
3799.00,99.82
3798.00,99.82
3797.00,99.82
3796.00,99.82
3795.00,99.82
3794.00,99.82
3793.00,99.83
3792.00,99.83
3791.00,99.83
3790.00,99.83
3789.00,99.83
3788.00,99.83
3787.00,99.83
3786.00,99.83
3785.00,99.83
3784.00,99.83
3783.00,99.83
3782.00,99.83
3781.00,99.82
3780.00,99.82
3779.00,99.82
3778.00,99.82
3777.00,99.82
3776.00,99.82
3775.00,99.82
3774.00,99.83
3773.00,99.83
3772.00,99.83
3771.00,99.82
3770.00,99.82
3769.00,99.82
3768.00,99.81
3767.00,99.81
3766.00,99.81
3765.00,99.82
3764.00,99.82
3763.00,99.82
3762.00,99.82
3761.00,99.82
3760.00,99.82
3759.00,99.82
3758.00,99.81
3757.00,99.81
3756.00,99.80
3755.00,99.80
3754.00,99.79
3753.00,99.79
3752.00,99.79
3751.00,99.78
3750.00,99.78
3749.00,99.78
3748.00,99.78
3747.00,99.78
3746.00,99.78
3745.00,99.79
3744.00,99.80
3743.00,99.80
3742.00,99.80
3741.00,99.80
3740.00,99.80
3739.00,99.80
3738.00,99.80
3737.00,99.80
3736.00,99.79
3735.00,99.79
3734.00,99.79
3733.00,99.79
3732.00,99.80
3731.00,99.80
3730.00,99.81
3729.00,99.81
3728.00,99.81
3727.00,99.81
3726.00,99.81
3725.00,99.81
3724.00,99.81
3723.00,99.81
3722.00,99.81
3721.00,99.81
3720.00,99.81
3719.00,99.81
3718.00,99.81
3717.00,99.81
3716.00,99.82
3715.00,99.82
3714.00,99.82
3713.00,99.82
3712.00,99.82
3711.00,99.82
3710.00,99.81
3709.00,99.82
3708.00,99.82
3707.00,99.82
3706.00,99.82
3705.00,99.82
3704.00,99.81
3703.00,99.81
3702.00,99.81
3701.00,99.82
3700.00,99.82
3699.00,99.82
3698.00,99.82
3697.00,99.82
3696.00,99.82
3695.00,99.81
3694.00,99.81
3693.00,99.80
3692.00,99.80
3691.00,99.80
3690.00,99.79
3689.00,99.79
3688.00,99.79
3687.00,99.79
3686.00,99.79
3685.00,99.79
3684.00,99.79
3683.00,99.79
3682.00,99.78
3681.00,99.78
3680.00,99.77
3679.00,99.77
3678.00,99.76
3677.00,99.75
3676.00,99.75
3675.00,99.74
3674.00,99.74
3673.00,99.73
3672.00,99.72
3671.00,99.71
3670.00,99.71
3669.00,99.71
3668.00,99.71
3667.00,99.71
3666.00,99.71
3665.00,99.71
3664.00,99.71
3663.00,99.71
3662.00,99.70
3661.00,99.70
3660.00,99.70
3659.00,99.69
3658.00,99.68
3657.00,99.67
3656.00,99.66
3655.00,99.65
3654.00,99.65
3653.00,99.64
3652.00,99.63
3651.00,99.63
3650.00,99.62
3649.00,99.61
3648.00,99.60
3647.00,99.59
3646.00,99.59
3645.00,99.59
3644.00,99.59
3643.00,99.59
3642.00,99.60
3641.00,99.60
3640.00,99.60
3639.00,99.60
3638.00,99.60
3637.00,99.59
3636.00,99.59
3635.00,99.59
3634.00,99.59
3633.00,99.59
3632.00,99.59
3631.00,99.58
3630.00,99.57
3629.00,99.57
3628.00,99.57
3627.00,99.56
3626.00,99.56
3625.00,99.56
3624.00,99.56
3623.00,99.57
3622.00,99.57
3621.00,99.57
3620.00,99.57
3619.00,99.57
3618.00,99.57
3617.00,99.56
3616.00,99.56
3615.00,99.56
3614.00,99.57
3613.00,99.57
3612.00,99.57
3611.00,99.57
3610.00,99.58
3609.00,99.58
3608.00,99.59
3607.00,99.60
3606.00,99.61
3605.00,99.61
3604.00,99.62
3603.00,99.62
3602.00,99.62
3601.00,99.62
3600.00,99.62
3599.00,99.62
3598.00,99.63
3597.00,99.63
3596.00,99.64
3595.00,99.65
3594.00,99.65
3593.00,99.65
3592.00,99.65
3591.00,99.65
3590.00,99.66
3589.00,99.66
3588.00,99.66
3587.00,99.66
3586.00,99.66
3585.00,99.66
3584.00,99.66
3583.00,99.66
3582.00,99.66
3581.00,99.67
3580.00,99.67
3579.00,99.67
3578.00,99.68
3577.00,99.68
3576.00,99.68
3575.00,99.68
3574.00,99.68
3573.00,99.68
3572.00,99.67
3571.00,99.67
3570.00,99.67
3569.00,99.66
3568.00,99.65
3567.00,99.64
3566.00,99.64
3565.00,99.64
3564.00,99.65
3563.00,99.65
3562.00,99.65
3561.00,99.65
3560.00,99.65
3559.00,99.65
3558.00,99.65
3557.00,99.65
3556.00,99.64
3555.00,99.64
3554.00,99.64
3553.00,99.64
3552.00,99.64
3551.00,99.64
3550.00,99.64
3549.00,99.64
3548.00,99.64
3547.00,99.64
3546.00,99.64
3545.00,99.64
3544.00,99.63
3543.00,99.63
3542.00,99.63
3541.00,99.64
3540.00,99.64
3539.00,99.65
3538.00,99.65
3537.00,99.65
3536.00,99.65
3535.00,99.64
3534.00,99.64
3533.00,99.64
3532.00,99.65
3531.00,99.65
3530.00,99.65
3529.00,99.65
3528.00,99.65
3527.00,99.64
3526.00,99.64
3525.00,99.65
3524.00,99.65
3523.00,99.65
3522.00,99.65
3521.00,99.65
3520.00,99.65
3519.00,99.65
3518.00,99.66
3517.00,99.66
3516.00,99.67
3515.00,99.67
3514.00,99.66
3513.00,99.66
3512.00,99.65
3511.00,99.65
3510.00,99.65
3509.00,99.65
3508.00,99.65
3507.00,99.65
3506.00,99.65
3505.00,99.66
3504.00,99.66
3503.00,99.67
3502.00,99.67
3501.00,99.67
3500.00,99.67
3499.00,99.67
3498.00,99.67
3497.00,99.66
3496.00,99.67
3495.00,99.67
3494.00,99.67
3493.00,99.67
3492.00,99.66
3491.00,99.66
3490.00,99.66
3489.00,99.65
3488.00,99.65
3487.00,99.65
3486.00,99.65
3485.00,99.65
3484.00,99.65
3483.00,99.65
3482.00,99.64
3481.00,99.64
3480.00,99.63
3479.00,99.63
3478.00,99.62
3477.00,99.61
3476.00,99.60
3475.00,99.59
3474.00,99.59
3473.00,99.59
3472.00,99.58
3471.00,99.59
3470.00,99.58
3469.00,99.58
3468.00,99.58
3467.00,99.57
3466.00,99.56
3465.00,99.55
3464.00,99.55
3463.00,99.55
3462.00,99.55
3461.00,99.54
3460.00,99.53
3459.00,99.53
3458.00,99.52
3457.00,99.52
3456.00,99.52
3455.00,99.51
3454.00,99.51
3453.00,99.51
3452.00,99.51
3451.00,99.52
3450.00,99.52
3449.00,99.53
3448.00,99.53
3447.00,99.54
3446.00,99.54
3445.00,99.55
3444.00,99.55
3443.00,99.56
3442.00,99.57
3441.00,99.58
3440.00,99.59
3439.00,99.61
3438.00,99.62
3437.00,99.63
3436.00,99.64
3435.00,99.64
3434.00,99.64
3433.00,99.65
3432.00,99.65
3431.00,99.65
3430.00,99.66
3429.00,99.66
3428.00,99.66
3427.00,99.66
3426.00,99.67
3425.00,99.67
3424.00,99.67
3423.00,99.68
3422.00,99.68
3421.00,99.68
3420.00,99.69
3419.00,99.69
3418.00,99.69
3417.00,99.70
3416.00,99.70
3415.00,99.71
3414.00,99.71
3413.00,99.71
3412.00,99.71
3411.00,99.71
3410.00,99.71
3409.00,99.71
3408.00,99.71
3407.00,99.71
3406.00,99.72
3405.00,99.72
3404.00,99.73
3403.00,99.73
3402.00,99.74
3401.00,99.74
3400.00,99.74
3399.00,99.74
3398.00,99.74
3397.00,99.74
3396.00,99.74
3395.00,99.74
3394.00,99.74
3393.00,99.74
3392.00,99.74
3391.00,99.74
3390.00,99.74
3389.00,99.74
3388.00,99.74
3387.00,99.74
3386.00,99.74
3385.00,99.74
3384.00,99.74
3383.00,99.74
3382.00,99.74
3381.00,99.75
3380.00,99.75
3379.00,99.75
3378.00,99.75
3377.00,99.75
3376.00,99.74
3375.00,99.74
3374.00,99.75
3373.00,99.75
3372.00,99.75
3371.00,99.75
3370.00,99.74
3369.00,99.75
3368.00,99.75
3367.00,99.75
3366.00,99.75
3365.00,99.75
3364.00,99.75
3363.00,99.75
3362.00,99.75
3361.00,99.75
3360.00,99.75
3359.00,99.75
3358.00,99.75
3357.00,99.75
3356.00,99.75
3355.00,99.75
3354.00,99.76
3353.00,99.76
3352.00,99.76
3351.00,99.76
3350.00,99.75
3349.00,99.75
3348.00,99.75
3347.00,99.75
3346.00,99.76
3345.00,99.76
3344.00,99.76
3343.00,99.76
3342.00,99.76
3341.00,99.76
3340.00,99.76
3339.00,99.76
3338.00,99.76
3337.00,99.76
3336.00,99.76
3335.00,99.76
3334.00,99.76
3333.00,99.76
3332.00,99.76
3331.00,99.77
3330.00,99.77
3329.00,99.76
3328.00,99.76
3327.00,99.76
3326.00,99.76
3325.00,99.76
3324.00,99.76
3323.00,99.76
3322.00,99.76
3321.00,99.76
3320.00,99.75
3319.00,99.76
3318.00,99.76
3317.00,99.76
3316.00,99.77
3315.00,99.77
3314.00,99.77
3313.00,99.77
3312.00,99.77
3311.00,99.77
3310.00,99.77
3309.00,99.77
3308.00,99.76
3307.00,99.76
3306.00,99.76
3305.00,99.76
3304.00,99.76
3303.00,99.76
3302.00,99.76
3301.00,99.76
3300.00,99.77
3299.00,99.77
3298.00,99.76
3297.00,99.76
3296.00,99.76
3295.00,99.76
3294.00,99.76
3293.00,99.76
3292.00,99.75
3291.00,99.76
3290.00,99.76
3289.00,99.76
3288.00,99.76
3287.00,99.76
3286.00,99.76
3285.00,99.76
3284.00,99.76
3283.00,99.76
3282.00,99.76
3281.00,99.75
3280.00,99.75
3279.00,99.75
3278.00,99.76
3277.00,99.76
3276.00,99.76
3275.00,99.76
3274.00,99.76
3273.00,99.75
3272.00,99.75
3271.00,99.75
3270.00,99.75
3269.00,99.75
3268.00,99.76
3267.00,99.76
3266.00,99.76
3265.00,99.76
3264.00,99.75
3263.00,99.75
3262.00,99.75
3261.00,99.75
3260.00,99.75
3259.00,99.76
3258.00,99.76
3257.00,99.76
3256.00,99.76
3255.00,99.76
3254.00,99.76
3253.00,99.76
3252.00,99.76
3251.00,99.76
3250.00,99.76
3249.00,99.76
3248.00,99.76
3247.00,99.76
3246.00,99.76
3245.00,99.76
3244.00,99.76
3243.00,99.76
3242.00,99.76
3241.00,99.76
3240.00,99.76
3239.00,99.76
3238.00,99.76
3237.00,99.76
3236.00,99.76
