Created as New Dataset,PVC powder GF
cm-1,%T
4000.00,97.28
3999.00,97.28
3998.00,97.28
3997.00,97.29
3996.00,97.29
3995.00,97.29
3994.00,97.29
3993.00,97.29
3992.00,97.29
3991.00,97.29
3990.00,97.29
3989.00,97.29
3988.00,97.29
3987.00,97.29
3986.00,97.28
3985.00,97.28
3984.00,97.28
3983.00,97.28
3982.00,97.29
3981.00,97.29
3980.00,97.29
3979.00,97.29
3978.00,97.29
3977.00,97.29
3976.00,97.29
3975.00,97.29
3974.00,97.29
3973.00,97.29
3972.00,97.29
3971.00,97.29
3970.00,97.28
3969.00,97.28
3968.00,97.28
3967.00,97.28
3966.00,97.28
3965.00,97.28
3964.00,97.29
3963.00,97.29
3962.00,97.28
3961.00,97.28
3960.00,97.28
3959.00,97.28
3958.00,97.28
3957.00,97.29
3956.00,97.29
3955.00,97.29
3954.00,97.29
3953.00,97.28
3952.00,97.28
3951.00,97.28
3950.00,97.28
3949.00,97.28
3948.00,97.28
3947.00,97.28
3946.00,97.28
3945.00,97.29
3944.00,97.29
3943.00,97.28
3942.00,97.28
3941.00,97.28
3940.00,97.28
3939.00,97.28
3938.00,97.28
3937.00,97.29
3936.00,97.29
3935.00,97.29
3934.00,97.28
3933.00,97.28
3932.00,97.27
3931.00,97.27
3930.00,97.27
3929.00,97.27
3928.00,97.27
3927.00,97.28
3926.00,97.28
3925.00,97.28
3924.00,97.28
3923.00,97.28
3922.00,97.27
3921.00,97.28
3920.00,97.28
3919.00,97.28
3918.00,97.27
3917.00,97.27
3916.00,97.27
3915.00,97.27
3914.00,97.27
3913.00,97.27
3912.00,97.27
3911.00,97.27
3910.00,97.27
3909.00,97.27
3908.00,97.27
3907.00,97.27
3906.00,97.27
3905.00,97.27
3904.00,97.27
3903.00,97.26
3902.00,97.26
3901.00,97.25
3900.00,97.25
3899.00,97.25
3898.00,97.26
3897.00,97.26
3896.00,97.26
3895.00,97.27
3894.00,97.27
3893.00,97.27
3892.00,97.27
3891.00,97.26
3890.00,97.26
3889.00,97.26
3888.00,97.26
3887.00,97.26
3886.00,97.26
3885.00,97.26
3884.00,97.26
3883.00,97.25
3882.00,97.25
3881.00,97.25
3880.00,97.25
3879.00,97.25
3878.00,97.25
3877.00,97.25
