Created as New Dataset,GF-PVC043 By Administrator Date Tuesday, July 26 2022
cm-1,%T
4000.00,99.69
3999.00,99.69
3998.00,99.69
3997.00,99.70
3996.00,99.70
3995.00,99.70
3994.00,99.70
3993.00,99.68
3992.00,99.68
3991.00,99.69
3990.00,99.69
3989.00,99.69
3988.00,99.69
3987.00,99.69
3986.00,99.69
3985.00,99.69
3984.00,99.69
3983.00,99.69
3982.00,99.68
3981.00,99.68
3980.00,99.68
3979.00,99.68
3978.00,99.69
3977.00,99.69
3976.00,99.69
3975.00,99.70
3974.00,99.70
3973.00,99.70
3972.00,99.70
3971.00,99.70
3970.00,99.70
3969.00,99.70
3968.00,99.70
3967.00,99.70
3966.00,99.70
3965.00,99.70
3964.00,99.70
3963.00,99.70
3962.00,99.70
3961.00,99.70
3960.00,99.70
3959.00,99.70
3958.00,99.70
3957.00,99.70
3956.00,99.70
3955.00,99.70
3954.00,99.70
3953.00,99.70
3952.00,99.70
3951.00,99.70
3950.00,99.70
3949.00,99.71
3948.00,99.71
3947.00,99.71
3946.00,99.70
3945.00,99.70
3944.00,99.69
3943.00,99.69
3942.00,99.70
3941.00,99.70
3940.00,99.71
3939.00,99.71
3938.00,99.71
3937.00,99.71
3936.00,99.71
3935.00,99.71
3934.00,99.71
3933.00,99.70
3932.00,99.70
3931.00,99.70
3930.00,99.70
3929.00,99.70
3928.00,99.70
3927.00,99.70
3926.00,99.70
3925.00,99.70
3924.00,99.70
3923.00,99.70
3922.00,99.70
3921.00,99.70
3920.00,99.71
3919.00,99.71
3918.00,99.71
3917.00,99.71
3916.00,99.70
3915.00,99.70
3914.00,99.70
3913.00,99.70
3912.00,99.70
3911.00,99.71
3910.00,99.71
3909.00,99.71
3908.00,99.71
3907.00,99.70
3906.00,99.71
3905.00,99.71
3904.00,99.72
3903.00,99.72
3902.00,99.71
3901.00,99.70
3900.00,99.70
3899.00,99.70
3898.00,99.70
3897.00,99.70
3896.00,99.70
3895.00,99.70
3894.00,99.70
3893.00,99.70
3892.00,99.71
3891.00,99.71
3890.00,99.72
3889.00,99.72
3888.00,99.71
3887.00,99.71
3886.00,99.71
3885.00,99.72
3884.00,99.71
3883.00,99.70
3882.00,99.69
3881.00,99.69
3880.00,99.70
3879.00,99.71
3878.00,99.71
3877.00,99.71
3876.00,99.70
3875.00,99.71
3874.00,99.71
3873.00,99.72
3872.00,99.71
3871.00,99.70
3870.00,99.71
3869.00,99.72
3868.00,99.72
3867.00,99.71
3866.00,99.71
3865.00,99.71
3864.00,99.71
3863.00,99.71
3862.00,99.71
3861.00,99.71
3860.00,99.71
3859.00,99.72
3858.00,99.73
3857.00,99.73
3856.00,99.73
3855.00,99.72
3854.00,99.72
3853.00,99.72
3852.00,99.72
3851.00,99.71
3850.00,99.71
3849.00,99.70
3848.00,99.71
3847.00,99.71
3846.00,99.70
3845.00,99.70
3844.00,99.70
3843.00,99.71
3842.00,99.71
3841.00,99.71
3840.00,99.72
3839.00,99.72
3838.00,99.72
3837.00,99.72
3836.00,99.71
3835.00,99.71
3834.00,99.71
3833.00,99.70
3832.00,99.70
3831.00,99.70
3830.00,99.70
3829.00,99.70
3828.00,99.70
3827.00,99.71
3826.00,99.72
3825.00,99.73
3824.00,99.73
3823.00,99.72
3822.00,99.73
3821.00,99.73
3820.00,99.74
3819.00,99.73
3818.00,99.71
3817.00,99.70
3816.00,99.71
3815.00,99.72
3814.00,99.71
3813.00,99.71
3812.00,99.71
3811.00,99.71
3810.00,99.72
3809.00,99.72
3808.00,99.72
3807.00,99.73
3806.00,99.73
3805.00,99.74
3804.00,99.73
3803.00,99.73
3802.00,99.73
3801.00,99.74
3800.00,99.73
3799.00,99.72
3798.00,99.71
3797.00,99.71
3796.00,99.71
3795.00,99.71
3794.00,99.71
3793.00,99.70
3792.00,99.70
3791.00,99.70
3790.00,99.71
3789.00,99.71
3788.00,99.72
3787.00,99.72
3786.00,99.72
3785.00,99.72
3784.00,99.72
3783.00,99.72
3782.00,99.71
3781.00,99.71
3780.00,99.71
3779.00,99.71
3778.00,99.71
3777.00,99.70
3776.00,99.70
3775.00,99.71
3774.00,99.71
3773.00,99.72
3772.00,99.72
3771.00,99.72
3770.00,99.72
3769.00,99.72
3768.00,99.72
3767.00,99.71
3766.00,99.71
3765.00,99.71
3764.00,99.71
3763.00,99.71
3762.00,99.71
3761.00,99.71
3760.00,99.72
3759.00,99.72
3758.00,99.72
3757.00,99.73
3756.00,99.73
3755.00,99.74
3754.00,99.75
3753.00,99.77
3752.00,99.77
3751.00,99.78
3750.00,99.78
3749.00,99.78
3748.00,99.78
3747.00,99.77
3746.00,99.76
3745.00,99.76
3744.00,99.76
3743.00,99.76
3742.00,99.75
3741.00,99.74
3740.00,99.74
3739.00,99.74
3738.00,99.74
3737.00,99.74
3736.00,99.74
3735.00,99.74
3734.00,99.74
3733.00,99.74
3732.00,99.74
3731.00,99.74
3730.00,99.74
3729.00,99.74
3728.00,99.74
3727.00,99.74
3726.00,99.75
3725.00,99.74
3724.00,99.73
3723.00,99.73
3722.00,99.72
3721.00,99.72
3720.00,99.73
3719.00,99.73
3718.00,99.74
3717.00,99.75
3716.00,99.75
3715.00,99.75
3714.00,99.75
3713.00,99.75
3712.00,99.75
3711.00,99.74
3710.00,99.74
3709.00,99.73
3708.00,99.72
3707.00,99.72
3706.00,99.71
3705.00,99.71
3704.00,99.70
3703.00,99.70
3702.00,99.69
3701.00,99.70
3700.00,99.70
3699.00,99.69
3698.00,99.69
3697.00,99.69
3696.00,99.69
3695.00,99.69
3694.00,99.68
3693.00,99.68
3692.00,99.68
3691.00,99.67
3690.00,99.67
3689.00,99.67
3688.00,99.66
3687.00,99.66
3686.00,99.65
3685.00,99.65
3684.00,99.65
3683.00,99.65
3682.00,99.64
3681.00,99.64
3680.00,99.64
3679.00,99.64
3678.00,99.65
3677.00,99.65
3676.00,99.65
3675.00,99.65
3674.00,99.65
3673.00,99.63
3672.00,99.62
3671.00,99.61
3670.00,99.61
3669.00,99.62
3668.00,99.61
3667.00,99.61
3666.00,99.60
3665.00,99.61
3664.00,99.61
3663.00,99.62
3662.00,99.62
3661.00,99.62
3660.00,99.62
3659.00,99.62
3658.00,99.62
3657.00,99.63
3656.00,99.63
3655.00,99.63
3654.00,99.63
3653.00,99.62
3652.00,99.62
3651.00,99.62
3650.00,99.63
3649.00,99.63
3648.00,99.62
3647.00,99.61
3646.00,99.61
3645.00,99.61
3644.00,99.61
3643.00,99.61
3642.00,99.61
3641.00,99.60
3640.00,99.60
3639.00,99.60
3638.00,99.60
3637.00,99.60
3636.00,99.59
3635.00,99.59
3634.00,99.60
3633.00,99.60
3632.00,99.60
3631.00,99.60
3630.00,99.59
3629.00,99.59
3628.00,99.59
3627.00,99.58
3626.00,99.56
3625.00,99.55
3624.00,99.55
3623.00,99.54
3622.00,99.53
3621.00,99.53
3620.00,99.52
3619.00,99.52
3618.00,99.52
3617.00,99.52
3616.00,99.52
3615.00,99.52
3614.00,99.51
3613.00,99.51
3612.00,99.51
3611.00,99.50
3610.00,99.50
3609.00,99.49
3608.00,99.49
3607.00,99.48
3606.00,99.48
3605.00,99.47
3604.00,99.47
3603.00,99.47
3602.00,99.47
3601.00,99.47
3600.00,99.46
3599.00,99.46
3598.00,99.45
3597.00,99.45
3596.00,99.44
3595.00,99.44
3594.00,99.44
3593.00,99.45
3592.00,99.45
3591.00,99.45
3590.00,99.45
3589.00,99.44
3588.00,99.44
3587.00,99.43
3586.00,99.43
3585.00,99.43
3584.00,99.43
3583.00,99.43
3582.00,99.43
3581.00,99.43
3580.00,99.43
3579.00,99.43
3578.00,99.44
3577.00,99.44
3576.00,99.44
3575.00,99.44
3574.00,99.44
3573.00,99.44
3572.00,99.43
3571.00,99.43
3570.00,99.42
3569.00,99.42
3568.00,99.42
3567.00,99.42
3566.00,99.42
3565.00,99.42
3564.00,99.42
3563.00,99.41
3562.00,99.41
3561.00,99.41
3560.00,99.41
3559.00,99.40
3558.00,99.40
3557.00,99.40
3556.00,99.39
3555.00,99.39
3554.00,99.38
3553.00,99.38
3552.00,99.38
3551.00,99.38
3550.00,99.38
3549.00,99.38
3548.00,99.37
3547.00,99.37
3546.00,99.37
3545.00,99.36
3544.00,99.36
3543.00,99.36
3542.00,99.36
3541.00,99.35
3540.00,99.35
3539.00,99.35
3538.00,99.35
3537.00,99.35
3536.00,99.34
3535.00,99.34
3534.00,99.34
3533.00,99.34
3532.00,99.33
3531.00,99.33
3530.00,99.33
3529.00,99.33
3528.00,99.33
3527.00,99.33
3526.00,99.32
3525.00,99.31
3524.00,99.30
3523.00,99.30
3522.00,99.30
3521.00,99.30
3520.00,99.30
3519.00,99.30
3518.00,99.29
3517.00,99.29
3516.00,99.28
3515.00,99.28
3514.00,99.28
3513.00,99.27
3512.00,99.27
3511.00,99.27
3510.00,99.27
3509.00,99.27
3508.00,99.27
3507.00,99.26
3506.00,99.26
3505.00,99.26
3504.00,99.25
3503.00,99.24
3502.00,99.24
3501.00,99.23
3500.00,99.23
3499.00,99.23
3498.00,99.23
3497.00,99.23
3496.00,99.23
3495.00,99.22
3494.00,99.22
3493.00,99.22
3492.00,99.22
3491.00,99.21
3490.00,99.21
3489.00,99.21
3488.00,99.20
3487.00,99.20
3486.00,99.20
3485.00,99.19
3484.00,99.19
3483.00,99.19
3482.00,99.18
3481.00,99.18
3480.00,99.18
3479.00,99.17
3478.00,99.17
3477.00,99.17
3476.00,99.17
3475.00,99.17
3474.00,99.16
3473.00,99.16
3472.00,99.16
3471.00,99.15
3470.00,99.15
3469.00,99.15
3468.00,99.14
3467.00,99.14
3466.00,99.15
3465.00,99.15
3464.00,99.15
3463.00,99.14
3462.00,99.14
3461.00,99.13
3460.00,99.13
3459.00,99.13
3458.00,99.12
3457.00,99.12
3456.00,99.12
3455.00,99.12
3454.00,99.12
3453.00,99.12
3452.00,99.12
3451.00,99.12
3450.00,99.12
3449.00,99.12
3448.00,99.12
3447.00,99.13
3446.00,99.13
3445.00,99.12
3444.00,99.12
3443.00,99.12
3442.00,99.12
3441.00,99.12
3440.00,99.12
3439.00,99.12
3438.00,99.12
3437.00,99.12
3436.00,99.12
3435.00,99.12
3434.00,99.12
3433.00,99.12
3432.00,99.11
3431.00,99.11
3430.00,99.11
3429.00,99.11
3428.00,99.10
3427.00,99.10
3426.00,99.10
3425.00,99.10
3424.00,99.10
3423.00,99.11
3422.00,99.11
3421.00,99.11
3420.00,99.11
3419.00,99.11
3418.00,99.11
3417.00,99.11
3416.00,99.11
3415.00,99.10
3414.00,99.10
3413.00,99.11
3412.00,99.11
3411.00,99.11
3410.00,99.10
3409.00,99.10
3408.00,99.09
3407.00,99.09
3406.00,99.09
3405.00,99.09
3404.00,99.10
3403.00,99.10
3402.00,99.10
3401.00,99.10
3400.00,99.10
3399.00,99.10
3398.00,99.10
3397.00,99.10
3396.00,99.10
3395.00,99.10
3394.00,99.10
3393.00,99.10
3392.00,99.10
3391.00,99.10
3390.00,99.10
3389.00,99.10
3388.00,99.10
3387.00,99.10
3386.00,99.10
3385.00,99.09
3384.00,99.09
3383.00,99.09
3382.00,99.09
3381.00,99.09
3380.00,99.09
3379.00,99.09
3378.00,99.09
3377.00,99.09
3376.00,99.09
3375.00,99.09
3374.00,99.09
3373.00,99.09
3372.00,99.09
3371.00,99.09
3370.00,99.09
3369.00,99.09
3368.00,99.09
3367.00,99.09
3366.00,99.08
3365.00,99.08
3364.00,99.08
3363.00,99.08
3362.00,99.08
3361.00,99.08
3360.00,99.08
3359.00,99.08
3358.00,99.08
3357.00,99.08
3356.00,99.08
3355.00,99.08
3354.00,99.09
3353.00,99.09
3352.00,99.09
3351.00,99.09
3350.00,99.09
3349.00,99.09
3348.00,99.08
3347.00,99.08
3346.00,99.08
3345.00,99.08
3344.00,99.09
3343.00,99.09
3342.00,99.09
3341.00,99.09
3340.00,99.09
3339.00,99.09
3338.00,99.09
3337.00,99.09
3336.00,99.09
3335.00,99.09
3334.00,99.10
3333.00,99.10
3332.00,99.10
3331.00,99.11
3330.00,99.11
3329.00,99.10
3328.00,99.10
3327.00,99.10
3326.00,99.10
3325.00,99.10
3324.00,99.10
3323.00,99.10
3322.00,99.10
3321.00,99.11
3320.00,99.11
3319.00,99.11
3318.00,99.11
3317.00,99.11
3316.00,99.11
3315.00,99.11
3314.00,99.11
3313.00,99.12
3312.00,99.12
3311.00,99.12
3310.00,99.13
3309.00,99.13
3308.00,99.13
3307.00,99.12
3306.00,99.12
3305.00,99.12
3304.00,99.12
3303.00,99.12
3302.00,99.12
3301.00,99.13
3300.00,99.13
3299.00,99.14
3298.00,99.14
3297.00,99.14
3296.00,99.14
3295.00,99.14
3294.00,99.14
3293.00,99.14
3292.00,99.14
3291.00,99.14
3290.00,99.14
3289.00,99.14
3288.00,99.14
3287.00,99.15
3286.00,99.15
3285.00,99.15
3284.00,99.15
3283.00,99.15
3282.00,99.15
3281.00,99.15
3280.00,99.16
3279.00,99.16
3278.00,99.16
3277.00,99.17
3276.00,99.17
3275.00,99.17
3274.00,99.17
3273.00,99.17
3272.00,99.17
3271.00,99.17
3270.00,99.17
3269.00,99.17
3268.00,99.17
3267.00,99.17
3266.00,99.17
3265.00,99.17
3264.00,99.17
3263.00,99.18
3262.00,99.18
3261.00,99.18
3260.00,99.18
3259.00,99.18
3258.00,99.19
3257.00,99.19
3256.00,99.19
3255.00,99.19
3254.00,99.19
3253.00,99.19
3252.00,99.19
3251.00,99.19
3250.00,99.20
3249.00,99.20
3248.00,99.20
3247.00,99.20
3246.00,99.20
3245.00,99.21
3244.00,99.21
3243.00,99.21
3242.00,99.22
3241.00,99.22
3240.00,99.22
3239.00,99.22
3238.00,99.22
3237.00,99.22
3236.00,99.22
3235.00,99.22
3234.00,99.22
3233.00,99.22
3232.00,99.22
3231.00,99.23
3230.00,99.23
3229.00,99.22
3228.00,99.22
3227.00,99.22
3226.00,99.23
3225.00,99.23
3224.00,99.23
3223.00,99.23
3222.00,99.23
3221.00,99.23
3220.00,99.23
3219.00,99.23
3218.00,99.23
3217.00,99.24
3216.00,99.24
3215.00,99.24
3214.00,99.24
3213.00,99.24
3212.00,99.24
3211.00,99.25
3210.00,99.25
3209.00,99.25
3208.00,99.25
3207.00,99.26
3206.00,99.26
3205.00,99.26
3204.00,99.26
3203.00,99.26
3202.00,99.26
3201.00,99.26
3200.00,99.26
3199.00,99.26
3198.00,99.26
3197.00,99.27
3196.00,99.27
3195.00,99.27
3194.00,99.28
3193.00,99.28
3192.00,99.28
3191.00,99.28
3190.00,99.28
3189.00,99.29
3188.00,99.29
3187.00,99.30
3186.00,99.30
3185.00,99.30
3184.00,99.30
3183.00,99.30
3182.00,99.30
3181.00,99.31
3180.00,99.31
3179.00,99.31
3178.00,99.31
3177.00,99.31
3176.00,99.31
3175.00,99.31
3174.00,99.32
3173.00,99.32
3172.00,99.32
3171.00,99.32
3170.00,99.33
3169.00,99.33
3168.00,99.33
3167.00,99.33
3166.00,99.33
3165.00,99.33
3164.00,99.33
3163.00,99.34
3162.00,99.34
3161.00,99.34
3160.00,99.34
3159.00,99.34
3158.00,99.35
3157.00,99.35
3156.00,99.35
3155.00,99.36
3154.00,99.36
3153.00,99.36
3152.00,99.36
3151.00,99.36
3150.00,99.36
3149.00,99.36
3148.00,99.36
3147.00,99.36
3146.00,99.37
3145.00,99.37
3144.00,99.37
3143.00,99.37
3142.00,99.37
3141.00,99.37
3140.00,99.38
3139.00,99.38
3138.00,99.38
3137.00,99.38
3136.00,99.38
3135.00,99.38
3134.00,99.39
3133.00,99.39
3132.00,99.39
3131.00,99.39
3130.00,99.39
3129.00,99.39
3128.00,99.39
3127.00,99.39
3126.00,99.39
3125.00,99.39
3124.00,99.39
3123.00,99.39
3122.00,99.39
3121.00,99.40
3120.00,99.40
3119.00,99.40
3118.00,99.40
3117.00,99.39
