Created as New Dataset,PVOH MW 31K
cm-1,%T
4000.00,99.40
3999.00,99.40
3998.00,99.40
3997.00,99.40
3996.00,99.40
3995.00,99.41
3994.00,99.40
3993.00,99.40
3992.00,99.40
3991.00,99.40
3990.00,99.40
3989.00,99.40
3988.00,99.40
3987.00,99.40
3986.00,99.40
3985.00,99.40
3984.00,99.40
3983.00,99.40
3982.00,99.40
3981.00,99.40
3980.00,99.40
3979.00,99.40
3978.00,99.40
3977.00,99.40
3976.00,99.41
3975.00,99.41
3974.00,99.40
3973.00,99.40
3972.00,99.40
3971.00,99.40
3970.00,99.39
3969.00,99.40
3968.00,99.40
3967.00,99.40
3966.00,99.40
3965.00,99.40
3964.00,99.40
3963.00,99.40
3962.00,99.40
3961.00,99.40
3960.00,99.40
3959.00,99.40
3958.00,99.40
3957.00,99.40
3956.00,99.40
3955.00,99.40
3954.00,99.41
3953.00,99.41
3952.00,99.41
3951.00,99.41
3950.00,99.41
3949.00,99.41
3948.00,99.41
3947.00,99.41
3946.00,99.41
3945.00,99.41
3944.00,99.40
3943.00,99.40
3942.00,99.39
3941.00,99.40
3940.00,99.40
3939.00,99.40
3938.00,99.40
3937.00,99.40
3936.00,99.40
3935.00,99.40
3934.00,99.40
3933.00,99.40
3932.00,99.40
3931.00,99.40
3930.00,99.40
3929.00,99.40
3928.00,99.40
3927.00,99.41
3926.00,99.41
3925.00,99.41
3924.00,99.41
3923.00,99.40
3922.00,99.40
3921.00,99.40
3920.00,99.40
3919.00,99.40
3918.00,99.40
3917.00,99.40
3916.00,99.40
3915.00,99.40
3914.00,99.40
3913.00,99.40
3912.00,99.40
3911.00,99.40
3910.00,99.41
3909.00,99.41
3908.00,99.41
3907.00,99.41
3906.00,99.40
3905.00,99.40
3904.00,99.40
3903.00,99.40
3902.00,99.40
3901.00,99.40
3900.00,99.40
3899.00,99.40
3898.00,99.40
3897.00,99.40
3896.00,99.40
3895.00,99.40
3894.00,99.40
3893.00,99.40
3892.00,99.40
3891.00,99.41
3890.00,99.41
3889.00,99.41
3888.00,99.41
3887.00,99.41
3886.00,99.41
3885.00,99.41
3884.00,99.40
3883.00,99.40
3882.00,99.39
3881.00,99.39
3880.00,99.40
3879.00,99.40
3878.00,99.41
3877.00,99.41
3876.00,99.40
3875.00,99.40
3874.00,99.40
3873.00,99.41
3872.00,99.41
3871.00,99.41
3870.00,99.40
3869.00,99.40
3868.00,99.40
3867.00,99.40
3866.00,99.40
3865.00,99.40
3864.00,99.40
3863.00,99.41
3862.00,99.41
3861.00,99.41
3860.00,99.41
3859.00,99.41
3858.00,99.41
3857.00,99.42
3856.00,99.43
3855.00,99.43
3854.00,99.41
3853.00,99.40
3852.00,99.40
3851.00,99.40
3850.00,99.40
3849.00,99.39
3848.00,99.39
3847.00,99.39
3846.00,99.40
3845.00,99.40
3844.00,99.40
3843.00,99.40
3842.00,99.40
3841.00,99.40
3840.00,99.41
3839.00,99.41
3838.00,99.41
3837.00,99.40
3836.00,99.40
3835.00,99.40
3834.00,99.40
3833.00,99.40
3832.00,99.40
3831.00,99.40
3830.00,99.40
3829.00,99.40
3828.00,99.40
3827.00,99.40
3826.00,99.40
3825.00,99.41
3824.00,99.41
3823.00,99.41
3822.00,99.41
3821.00,99.40
3820.00,99.41
3819.00,99.41
3818.00,99.40
3817.00,99.40
3816.00,99.39
3815.00,99.40
3814.00,99.40
3813.00,99.40
3812.00,99.40
3811.00,99.40
3810.00,99.40
3809.00,99.40
3808.00,99.40
3807.00,99.40
3806.00,99.41
3805.00,99.41
3804.00,99.41
3803.00,99.40
3802.00,99.40
