Created as New Dataset,SAN (30% acrylonitrile)
cm-1,%T
4000.00,98.43
3999.00,98.43
3998.00,98.43
3997.00,98.43
3996.00,98.43
3995.00,98.43
3994.00,98.43
3993.00,98.43
3992.00,98.43
3991.00,98.43
3990.00,98.43
3989.00,98.44
3988.00,98.44
3987.00,98.44
3986.00,98.44
3985.00,98.44
3984.00,98.44
3983.00,98.44
3982.00,98.43
3981.00,98.43
3980.00,98.43
3979.00,98.43
3978.00,98.43
3977.00,98.43
3976.00,98.43
3975.00,98.43
3974.00,98.43
3973.00,98.42
3972.00,98.43
3971.00,98.43
3970.00,98.43
3969.00,98.43
3968.00,98.43
3967.00,98.43
3966.00,98.43
3965.00,98.43
3964.00,98.43
3963.00,98.43
3962.00,98.43
3961.00,98.43
3960.00,98.43
3959.00,98.43
3958.00,98.43
3957.00,98.43
3956.00,98.44
3955.00,98.43
3954.00,98.43
3953.00,98.43
3952.00,98.43
3951.00,98.43
3950.00,98.43
3949.00,98.42
3948.00,98.42
3947.00,98.42
3946.00,98.41
3945.00,98.42
3944.00,98.42
3943.00,98.42
3942.00,98.42
3941.00,98.42
3940.00,98.42
3939.00,98.42
3938.00,98.43
3937.00,98.43
3936.00,98.43
3935.00,98.42
3934.00,98.42
3933.00,98.42
3932.00,98.41
3931.00,98.41
3930.00,98.41
3929.00,98.41
3928.00,98.41
3927.00,98.41
3926.00,98.41
3925.00,98.42
3924.00,98.42
3923.00,98.42
3922.00,98.41
3921.00,98.41
3920.00,98.41
3919.00,98.42
3918.00,98.42
3917.00,98.42
3916.00,98.42
3915.00,98.42
3914.00,98.42
3913.00,98.42
3912.00,98.42
3911.00,98.42
3910.00,98.42
3909.00,98.42
3908.00,98.42
3907.00,98.42
3906.00,98.42
3905.00,98.43
3904.00,98.42
3903.00,98.42
3902.00,98.41
3901.00,98.41
3900.00,98.41
3899.00,98.41
3898.00,98.41
3897.00,98.41
3896.00,98.41
3895.00,98.41
3894.00,98.41
3893.00,98.41
3892.00,98.42
3891.00,98.42
3890.00,98.42
3889.00,98.42
3888.00,98.42
3887.00,98.42
3886.00,98.42
3885.00,98.42
3884.00,98.41
3883.00,98.40
3882.00,98.40
3881.00,98.41
3880.00,98.41
3879.00,98.41
3878.00,98.41
3877.00,98.41
3876.00,98.42
3875.00,98.42
3874.00,98.42
3873.00,98.42
3872.00,98.41
3871.00,98.41
3870.00,98.41
3869.00,98.41
3868.00,98.40
3867.00,98.40
3866.00,98.40
3865.00,98.40
3864.00,98.41
3863.00,98.41
3862.00,98.40
3861.00,98.40
3860.00,98.40
3859.00,98.40
3858.00,98.40
3857.00,98.39
3856.00,98.39
3855.00,98.39
3854.00,98.39
3853.00,98.39
3852.00,98.39
3851.00,98.38
3850.00,98.38
3849.00,98.38
3848.00,98.38
3847.00,98.39
3846.00,98.39
3845.00,98.39
3844.00,98.39
3843.00,98.39
3842.00,98.39
3841.00,98.39
3840.00,98.39
3839.00,98.39
3838.00,98.40
3837.00,98.40
3836.00,98.39
3835.00,98.38
3834.00,98.38
3833.00,98.37
3832.00,98.37
3831.00,98.37
3830.00,98.37
3829.00,98.37
3828.00,98.37
3827.00,98.37
3826.00,98.38
3825.00,98.37
