Random Forest Feature Importance Analysis (Full Dataset)
========================================================

Top 50 Wavenumbers by Gini Importance:

Rank  Wavenumber (cm-1)   Gini Importance
1     2850.00             0.020669       
2     2844.00             0.017822       
3     2856.00             0.012133       
4     720.00              0.011974       
5     2934.00             0.010983       
6     2832.00             0.010967       
7     2838.00             0.010954       
8     2922.00             0.010785       
9     2928.00             0.010635       
10    2862.00             0.010602       
11    2874.00             0.010365       
12    2868.00             0.010124       
13    2958.00             0.009952       
14    2940.00             0.009652       
15    696.00              0.008571       
16    732.00              0.008491       
17    2880.00             0.008283       
18    2886.00             0.008009       
19    2946.00             0.007962       
20    2964.00             0.007921       
21    2826.00             0.007079       
22    2898.00             0.007017       
23    2952.00             0.007005       
24    1098.00             0.006817       
25    1236.00             0.006664       
26    1380.00             0.006609       
27    726.00              0.006431       
28    2904.00             0.006395       
29    702.00              0.006151       
30    1248.00             0.006117       
31    2820.00             0.006081       
32    756.00              0.005969       
33    1086.00             0.005940       
34    2970.00             0.005878       
35    1704.00             0.005657       
36    2892.00             0.005638       
37    750.00              0.005587       
38    1374.00             0.005570       
39    1716.00             0.005570       
40    690.00              0.005519       
41    2916.00             0.005479       
42    1728.00             0.005406       
43    1230.00             0.005402       
44    1734.00             0.005110       
45    1104.00             0.005029       
46    714.00              0.004569       
47    2910.00             0.004552       
48    1254.00             0.004537       
49    1092.00             0.004533       
50    1242.00             0.004444       
