class_name,variant,true_label,pred_1d,conf_1d,time_1d_ms,correct_1d,pred_2d,conf_2d,time_gaf_ms,time_2d_model_ms,time_2d_total_ms,correct_2d
HDPE,original,HDPE,HDPE,1.0000,6.1124,True,HDPE,0.9993,0.2635,6.1181,6.3816,True
HDPE,noisy,HDPE,HDPE,0.9999,5.3687,True,HDPE,0.9996,0.3137,5.5798,5.8935,True
HDPE,shifted,HDPE,HDPE,1.0000,5.3655,True,HDPE,0.9993,0.2185,5.2762,5.4947,True
HDPE,corrupted,HDPE,HDPE,0.9999,5.7543,True,HDPE,0.9996,0.2392,5.8445,6.0836,True
LDPE,original,LDPE,LDPE,1.0000,5.5438,True,LDPE,1.0000,0.2611,5.1761,5.4371,True
LDPE,noisy,LDPE,LDPE,1.0000,4.9556,True,LDPE,1.0000,0.2271,4.9180,5.1451,True
LDPE,shifted,LDPE,LDPE,1.0000,4.9424,True,LDPE,1.0000,0.2176,5.0109,5.2284,True
LDPE,corrupted,LDPE,LDPE,1.0000,4.9428,True,LDPE,1.0000,0.2162,4.9407,5.1569,True
PP,original,PP,PP,0.9999,4.8501,True,PP,1.0000,0.2147,5.0157,5.2304,True
PP,noisy,PP,PP,0.9999,4.9125,True,PP,1.0000,0.2167,4.9296,5.1463,True
PP,shifted,PP,PP,0.9999,5.1420,True,PP,1.0000,0.2291,5.4865,5.7156,True
PP,corrupted,PP,PP,0.9999,5.6753,True,PP,1.0000,0.2360,6.2565,6.4924,True
PS,original,PS,PS,1.0000,5.0053,True,PS,1.0000,0.2248,6.2115,6.4363,True
PS,noisy,PS,PS,1.0000,7.5046,True,PS,1.0000,0.2868,7.2173,7.5040,True
PS,shifted,PS,PS,1.0000,7.1115,True,PS,1.0000,0.2789,8.3785,8.6573,True
PS,corrupted,PS,PS,1.0000,4.8992,True,PS,1.0000,0.2235,4.7426,4.9661,True
PVC,original,PVC,PVC,1.0000,4.7737,True,PVC,1.0000,0.2152,4.7598,4.9750,True
PVC,noisy,PVC,PVC,1.0000,4.8378,True,PVC,1.0000,0.2199,4.9576,5.1774,True
PVC,shifted,PVC,PVC,1.0000,4.9020,True,PVC,1.0000,0.2183,4.8671,5.0854,True
PVC,corrupted,PVC,PVC,1.0000,4.8756,True,PVC,1.0000,0.2165,4.8957,5.1122,True
PET,original,PET,PET,1.0000,4.8443,True,PET,1.0000,0.2170,4.8409,5.0579,True
PET,noisy,PET,PET,1.0000,4.8420,True,PET,1.0000,0.2154,4.8291,5.0445,True
PET,shifted,PET,PET,1.0000,4.8402,True,PET,1.0000,0.2169,4.8057,5.0225,True
PET,corrupted,PET,PET,1.0000,4.8497,True,PET,1.0000,0.2155,4.8282,5.0438,True
